fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.005,0.0001,32.769999999999996,7.249999999999999,51.870000000000005,2.9899999999999998,KNeighbors,2,2,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0029,0.0001,0.002,0.0001,32.24,8.95,34.35,3.42,LinearSVC,2,2,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1625,0.0005,0.0103,0.0,33.339999999999996,3.38,91.81,1.48,RandomForest,2,2,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.151,0.0033,0.0049,0.0001,33.29,9.02,91.81,1.48,XGB,2,2,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1432,0.0006,0.0026,0.0,33.339999999999996,4.42,39.37,1.4200000000000002,MLP,2,2,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0027,0.0001,0.0021,0.0,31.61,5.36,36.79,2.81,GaussianNB,2,2,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0023,0.0001,0.005,0.0001,46.0,7.449999999999999,60.34,3.94,KNeighbors,3,3,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0031,0.0001,0.002,0.0001,47.73,5.13,50.43,1.09,LinearSVC,3,3,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1631,0.0002,0.0102,0.0001,44.3,6.09,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.144,0.0069,0.0049,0.0002,41.39,4.49,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1502,0.0008,0.0026,0.0,47.13,1.43,55.31,1.72,MLP,3,3,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0027,0.0,0.0021,0.0,50.55,8.06,58.620000000000005,1.15,GaussianNB,3,3,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0024,0.0001,0.005,0.0001,43.66,8.32,58.47,4.47,KNeighbors,4,4,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0032,0.0,0.002,0.0,42.54,5.56,44.83,2.0500000000000003,LinearSVC,4,4,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1681,0.0004,0.0102,0.0001,40.81,6.510000000000001,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.148,0.0072,0.0052,0.0001,37.95,4.42,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1519,0.0008,0.0026,0.0,43.68,4.6899999999999995,53.87,4.53,MLP,4,4,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0027,0.0,0.0021,0.0,44.79,8.959999999999999,53.02,3.4099999999999997,GaussianNB,4,4,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0024,0.0001,0.0051,0.0001,59.209999999999994,2.86,70.83,2.4299999999999997,KNeighbors,5,5,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0033,0.0001,0.002,0.0,55.17999999999999,6.52,65.81,1.8499999999999999,LinearSVC,5,5,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1649,0.0006,0.0102,0.0,57.49999999999999,4.8500000000000005,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.134,0.0064,0.0053,0.0001,54.620000000000005,3.9,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1529,0.0008,0.0026,0.0,62.660000000000004,3.32,70.83,3.38,MLP,5,5,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0028,0.0001,0.0021,0.0,41.949999999999996,11.5,50.42,12.590000000000002,GaussianNB,5,5,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0025,0.0001,0.0052,0.0001,48.29,5.92,61.919999999999995,2.8400000000000003,KNeighbors,6,6,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0033,0.0001,0.002,0.0,50.019999999999996,7.290000000000001,58.040000000000006,2.86,LinearSVC,6,6,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1689,0.0003,0.0102,0.0,51.21,7.960000000000001,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1381,0.0027,0.0054,0.0001,42.54,7.4399999999999995,100.0,0.0,XGB,6,6,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.1552,0.0003,0.0027,0.0001,46.550000000000004,6.510000000000001,65.09,2.07,MLP,6,6,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0027,0.0,0.0021,0.0,40.239999999999995,2.09,53.02,4.15,GaussianNB,6,6,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0024,0.0,0.0051,0.0001,55.779999999999994,9.629999999999999,67.82000000000001,2.06,KNeighbors,7,7,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
0.0036,0.0001,0.0021,0.0001,59.730000000000004,5.72,72.7,2.5,LinearSVC,7,7,KGroups_max,gini_importance,False,0:05:38.041181,0:05:40.427116,Carcinom
