fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.005,0.0001,49.13,10.48,66.82000000000001,2.06,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0026,0.0001,0.0019,0.0001,51.43,13.05,57.45,2.91,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1608,0.0005,0.0101,0.0001,42.07,11.09,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0849,0.0025,0.0045,0.0001,39.129999999999995,7.19,100.0,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1322,0.0006,0.0026,0.0,50.82,15.920000000000002,61.839999999999996,2.35,MLP,2,2,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0023,0.0001,0.0019,0.0,54.37,12.64,61.260000000000005,3.64,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0024,0.0001,0.005,0.0001,50.86000000000001,5.83,67.83,1.82,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0027,0.0001,0.0019,0.0,46.839999999999996,11.04,55.7,0.9400000000000001,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1608,0.0003,0.0101,0.0,48.52,8.82,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0855,0.001,0.0046,0.0001,43.830000000000005,9.78,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1361,0.0003,0.0026,0.0001,52.61,9.75,65.5,1.9800000000000002,MLP,3,3,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0024,0.0001,0.0019,0.0,56.15,8.48,63.31,2.02,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0024,0.0001,0.005,0.0001,53.190000000000005,9.42,67.97999999999999,2.91,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0027,0.0001,0.002,0.0001,48.61,14.41,58.040000000000006,4.8500000000000005,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1673,0.0005,0.0101,0.0001,50.29,8.08,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0851,0.0032,0.0048,0.0002,47.949999999999996,9.84,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1372,0.0004,0.0026,0.0,53.23,12.75,67.54,2.4,MLP,4,4,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0024,0.0,0.002,0.0,49.14,11.92,59.209999999999994,3.2800000000000002,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0024,0.0001,0.005,0.0001,58.489999999999995,4.71,73.83,2.0,KNeighbors,5,5,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.0028,0.0,0.002,0.0001,60.25,9.77,67.69,1.77,LinearSVC,5,5,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.1665,0.0003,0.0101,0.0,63.13999999999999,5.029999999999999,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
0.082,0.0032,0.0049,0.0001,56.720000000000006,2.45,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:04:57.060416,0:04:59.113084,TOX_171
