fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0048,0.0001,69.46,4.390000000000001,76.72,2.1399999999999997,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.0018,0.0001,72.89,4.03,75.37,0.79,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1602,0.0006,0.0099,0.0,67.01,4.91,99.00999999999999,0.9400000000000001,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0904,0.0025,0.0046,0.0001,65.53999999999999,4.01,99.14,0.5499999999999999,XGB,2,2,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1406,0.0006,0.0026,0.0,72.89,4.03,75.12,0.98,MLP,2,2,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0,0.0019,0.0,73.91,4.95,74.88,1.7399999999999998,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0001,0.0053,0.0001,83.73,7.5600000000000005,87.07000000000001,2.03,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0028,0.0001,0.002,0.0,82.74000000000001,4.9799999999999995,85.1,1.9900000000000002,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1615,0.0005,0.0102,0.0001,86.72999999999999,5.04,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0767,0.005,0.0046,0.0001,82.74000000000001,5.27,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1483,0.0003,0.0026,0.0,84.71,7.93,87.32,1.76,MLP,3,3,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0001,0.0019,0.0,83.74000000000001,5.09,86.21,1.72,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0,0.0053,0.0001,86.71,2.15,88.67,0.95,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0028,0.0001,0.0019,0.0,89.14999999999999,3.34,87.92999999999999,1.15,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1668,0.0006,0.01,0.0001,85.22,0.2,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0718,0.0036,0.0047,0.0001,84.23,4.45,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1511,0.0005,0.0026,0.0,88.66000000000001,2.25,89.41,0.7000000000000001,MLP,4,4,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0001,0.002,0.0,86.7,2.22,87.81,1.69,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0055,0.0002,77.34,5.27,84.11,1.7500000000000002,KNeighbors,5,5,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0029,0.0001,0.002,0.0,77.83,6.09,82.50999999999999,1.49,LinearSVC,5,5,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1681,0.0009,0.01,0.0001,78.75999999999999,6.9,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0798,0.0037,0.0048,0.0001,78.78,4.9799999999999995,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1515,0.0004,0.0026,0.0,78.77,7.470000000000001,83.25,1.7399999999999998,MLP,5,5,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0001,0.0019,0.0,80.73,7.430000000000001,83.25,1.73,GaussianNB,5,5,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0001,0.0053,0.0001,89.62,5.949999999999999,92.12,1.4200000000000002,KNeighbors,6,6,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0029,0.0001,0.0019,0.0001,90.62,4.07,92.36,1.79,LinearSVC,6,6,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1645,0.0006,0.01,0.0001,92.09,4.12,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0709,0.0019,0.0051,0.0001,91.60000000000001,3.81,100.0,0.0,XGB,6,6,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1532,0.0004,0.0027,0.0001,89.62,4.81,93.96,0.69,MLP,6,6,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.002,0.0001,84.28,13.61,87.53999999999999,11.379999999999999,GaussianNB,6,6,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0,0.0054,0.0001,93.58999999999999,1.4000000000000001,93.72,1.01,KNeighbors,7,7,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.003,0.0001,0.002,0.0,92.62,2.96,94.69999999999999,0.7100000000000001,LinearSVC,7,7,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1658,0.0006,0.0101,0.0,89.16,1.38,100.0,0.0,RandomForest,7,7,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0682,0.0053,0.0053,0.0001,89.17,2.17,100.0,0.0,XGB,7,7,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.155,0.0004,0.0027,0.0001,92.12,1.05,96.67,1.04,MLP,7,7,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.002,0.0,91.14999999999999,1.24,93.84,0.86,GaussianNB,7,7,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0054,0.0002,91.12,4.130000000000001,92.85,1.3,KNeighbors,8,8,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0031,0.0001,0.002,0.0001,89.63,3.7199999999999998,92.61,1.38,LinearSVC,8,8,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1672,0.0009,0.01,0.0001,90.64999999999999,4.68,100.0,0.0,RandomForest,8,8,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0759,0.0043,0.0054,0.0001,92.12,2.02,100.0,0.0,XGB,8,8,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1555,0.0002,0.0026,0.0001,89.64999999999999,3.2199999999999998,94.83,0.33,MLP,8,8,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0024,0.0,0.002,0.0,88.16000000000001,4.09,92.12,2.02,GaussianNB,8,8,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.0054,0.0001,90.62,5.37,92.36,1.13,KNeighbors,9,9,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0032,0.0001,0.002,0.0001,90.63,3.2199999999999998,93.97,0.91,LinearSVC,9,9,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1705,0.0007,0.0099,0.0001,92.07,6.23,100.0,0.0,RandomForest,9,9,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0721,0.0045,0.0056,0.0001,91.59,6.2700000000000005,100.0,0.0,XGB,9,9,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1571,0.0003,0.0026,0.0,88.62,5.81,96.06,0.33999999999999997,MLP,9,9,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.002,0.0,92.09,5.93,95.07,0.8699999999999999,GaussianNB,9,9,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0055,0.0001,94.08999999999999,2.8000000000000003,94.33,1.02,KNeighbors,10,10,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0032,0.0001,0.002,0.0001,92.61,3.54,96.67,0.9400000000000001,LinearSVC,10,10,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1717,0.0012,0.01,0.0001,91.12,3.73,100.0,0.0,RandomForest,10,10,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0722,0.0047,0.006,0.0,90.11,4.02,100.0,0.0,XGB,10,10,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1585,0.0003,0.0026,0.0,92.10000000000001,3.2800000000000002,97.28999999999999,0.7100000000000001,MLP,10,10,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.002,0.0,92.61,2.9899999999999998,94.95,0.6799999999999999,GaussianNB,10,10,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0054,0.0001,94.08999999999999,2.1999999999999997,93.47,0.72,KNeighbors,11,11,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0033,0.0001,0.002,0.0001,91.61,3.7699999999999996,96.92,0.98,LinearSVC,11,11,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1725,0.0006,0.01,0.0001,94.1,2.16,100.0,0.0,RandomForest,11,11,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0774,0.0037,0.0062,0.0001,91.11,3.83,100.0,0.0,XGB,11,11,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1588,0.0004,0.0026,0.0,92.10000000000001,2.76,98.03,0.6799999999999999,MLP,11,11,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.002,0.0,93.60000000000001,2.78,95.19999999999999,1.02,GaussianNB,11,11,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0055,0.0001,91.62,2.8000000000000003,92.85,1.1400000000000001,KNeighbors,12,12,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0034,0.0001,0.0021,0.0,90.63,4.02,95.19999999999999,1.1900000000000002,LinearSVC,12,12,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1706,0.001,0.01,0.0,94.57,2.08,100.0,0.0,RandomForest,12,12,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.074,0.0032,0.0064,0.0,92.10000000000001,2.76,100.0,0.0,XGB,12,12,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1585,0.0004,0.0026,0.0,91.60000000000001,3.39,97.66,0.27,MLP,12,12,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.002,0.0,87.24,11.959999999999999,92.97,6.4399999999999995,GaussianNB,12,12,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0055,0.0001,92.13,1.9900000000000002,93.10000000000001,0.6799999999999999,KNeighbors,13,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0034,0.0001,0.002,0.0,91.61,5.1499999999999995,94.83,1.66,LinearSVC,13,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1724,0.0012,0.01,0.0,94.11,4.45,100.0,0.0,RandomForest,13,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0781,0.0035,0.0066,0.0001,92.12,2.69,100.0,0.0,XGB,13,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1587,0.0003,0.0026,0.0,90.64999999999999,4.03,96.92,0.44,MLP,13,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.002,0.0,86.72999999999999,9.34,86.95,7.829999999999999,GaussianNB,13,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.0055,0.0001,93.57,3.81,94.83,1.04,KNeighbors,14,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0033,0.0001,0.002,0.0,92.11,2.09,98.77,0.43,LinearSVC,14,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1697,0.0006,0.0099,0.0,94.57,2.08,100.0,0.0,RandomForest,14,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0763,0.0036,0.0065,0.0001,91.62,1.37,100.0,0.0,XGB,14,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.1587,0.0002,0.0026,0.0001,94.56,2.74,98.52,0.33999999999999997,MLP,14,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0,0.002,0.0,92.61,2.9899999999999998,95.07,0.76,GaussianNB,14,13,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
0.0025,0.0001,0.0054,0.0001,93.08999999999999,4.74,94.46,1.58,KNeighbors,15,14,KGroups_max,gini_importance,False,0:04:53.534096,0:04:55.675901,lung
