fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.004,0.0001,50.760000000000005,8.450000000000001,59.24,2.33,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0026,0.0001,0.0019,0.0001,47.9,10.22,55.82,1.6199999999999999,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1496,0.0007,0.0098,0.0,50.760000000000005,10.76,59.589999999999996,2.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0744,0.0016,0.0043,0.0001,52.0,7.1499999999999995,59.589999999999996,2.0,XGB,2,2,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1001,0.0003,0.0025,0.0001,52.0,7.1499999999999995,59.589999999999996,2.0,MLP,2,2,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0025,0.0001,0.002,0.0,20.76,7.630000000000001,33.2,7.000000000000001,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0022,0.0001,0.0041,0.0001,40.86,18.34,59.589999999999996,2.6599999999999997,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0026,0.0,0.0019,0.0001,49.14,9.98,59.919999999999995,2.82,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1503,0.0003,0.0098,0.0001,42.67,11.88,65.41,2.62,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.081,0.0024,0.0045,0.0002,39.71,9.77,65.41,2.62,XGB,3,3,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1035,0.0005,0.0026,0.0,45.050000000000004,12.35,63.0,4.3,MLP,3,3,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0025,0.0,0.002,0.0,42.57,6.4,49.61,7.5200000000000005,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0023,0.0001,0.0041,0.0001,45.33,8.559999999999999,63.71,5.9799999999999995,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0027,0.0001,0.0019,0.0001,46.760000000000005,15.39,62.339999999999996,2.41,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1516,0.0002,0.0098,0.0001,42.57,9.24,81.17999999999999,3.6900000000000004,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0839,0.0024,0.0047,0.0001,45.33,8.37,79.81,4.15,XGB,4,4,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1052,0.0002,0.0026,0.0,53.620000000000005,13.99,70.22,4.4799999999999995,MLP,4,4,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0025,0.0,0.002,0.0,29.14,13.38,39.050000000000004,4.3999999999999995,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0022,0.0001,0.0041,0.0001,60.19,7.720000000000001,75.69,4.73,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0027,0.0,0.0019,0.0001,64.29,9.15,75.68,3.7699999999999996,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1515,0.0002,0.0098,0.0,65.42999999999999,14.57,90.41,1.55,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0803,0.0018,0.0049,0.0001,60.099999999999994,15.28,90.41,1.55,XGB,5,5,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1065,0.0004,0.0026,0.0,57.330000000000005,11.88,83.21,2.33,MLP,5,5,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0025,0.0,0.002,0.0,36.86,6.859999999999999,48.949999999999996,4.93,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0022,0.0001,0.004,0.0001,50.67,8.82,72.95,4.34,KNeighbors,6,6,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0028,0.0,0.0019,0.0001,57.43000000000001,12.6,77.4,1.38,LinearSVC,6,6,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.151,0.0003,0.0098,0.0001,53.71,14.74,97.6,0.9299999999999999,RandomForest,6,6,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0778,0.0021,0.005,0.0001,52.190000000000005,13.200000000000001,97.6,0.9299999999999999,XGB,6,6,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1073,0.0004,0.0026,0.0001,64.38000000000001,7.199999999999999,87.68,3.0300000000000002,MLP,6,6,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0025,0.0,0.002,0.0001,41.24,17.59,58.160000000000004,10.26,GaussianNB,6,6,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0022,0.0001,0.004,0.0001,67.05,6.0,79.46,2.04,KNeighbors,7,7,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0027,0.0,0.0019,0.0001,71.33,6.87,84.58,2.79,LinearSVC,7,7,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1507,0.0003,0.0098,0.0001,69.81,11.32,97.26,0.9400000000000001,RandomForest,7,7,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0735,0.0012,0.0051,0.0001,68.57,12.740000000000002,97.26,0.9400000000000001,XGB,7,7,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1068,0.0004,0.0026,0.0001,69.89999999999999,14.469999999999999,94.88,2.6599999999999997,MLP,7,7,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0025,0.0001,0.002,0.0,48.1,17.48,60.25,4.2299999999999995,GaussianNB,7,7,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0022,0.0001,0.0039,0.0001,63.05,9.879999999999999,73.28,1.7000000000000002,KNeighbors,8,8,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0028,0.0001,0.0019,0.0001,56.379999999999995,18.75,81.88,8.200000000000001,LinearSVC,8,8,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1509,0.0002,0.0097,0.0,63.05,7.290000000000001,100.0,0.0,RandomForest,8,8,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.073,0.0016,0.0052,0.0002,56.28999999999999,17.65,100.0,0.0,XGB,8,8,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1088,0.0002,0.0025,0.0,60.480000000000004,21.58,97.6,1.96,MLP,8,8,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0024,0.0,0.002,0.0,50.760000000000005,14.760000000000002,66.81,4.9799999999999995,GaussianNB,8,8,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0021,0.0001,0.0037,0.0001,68.38,6.6000000000000005,76.73,3.2099999999999995,KNeighbors,9,9,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0028,0.0001,0.0019,0.0001,64.29,9.15,89.39,1.82,LinearSVC,9,9,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1504,0.0005,0.0096,0.0,68.38,8.110000000000001,100.0,0.0,RandomForest,9,9,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0697,0.0006,0.0053,0.0001,67.05,6.0,100.0,0.0,XGB,9,9,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.1088,0.0002,0.0025,0.0,63.05,7.290000000000001,98.98,1.52,MLP,9,9,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0024,0.0,0.002,0.0,61.809999999999995,11.540000000000001,79.07,6.36,GaussianNB,9,9,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0021,0.0001,0.0037,0.0001,68.57,8.57,76.72,1.7999999999999998,KNeighbors,10,10,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0028,0.0,0.0019,0.0001,59.14,15.010000000000002,91.43,3.2300000000000004,LinearSVC,10,10,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.151,0.0005,0.0096,0.0,72.86,18.57,100.0,0.0,RandomForest,10,10,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
0.0704,0.0012,0.0053,0.0002,64.48,12.520000000000001,100.0,0.0,XGB,10,10,KGroups_max,mutual_info,False,0:03:47.028524,0:03:48.695265,lung_discrete
