dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,37,27,98.57,3.19,RandomForest,KGroups_max++,entropy,False,0:03:04.266260,0:03:05.433225
CLL_SUB_111,2,2,63.95,8.53,RandomForest,KGroups_max++,entropy,False,0:03:10.351672,0:03:11.566988
Carcinom,88,85,90.81,2.3800000000000003,RandomForest,KGroups_max++,entropy,False,0:05:24.782114,0:05:26.682857
GLIOMA,24,23,86.0,11.4,RandomForest,KGroups_max++,entropy,False,0:03:17.270310,0:03:18.498411
GLI_85,2,2,81.17999999999999,9.67,RandomForest,KGroups_max++,entropy,False,0:02:55.372310,0:02:56.500764
Prostate_GE,79,73,95.1,6.99,RandomForest,KGroups_max++,entropy,False,0:03:27.013675,0:03:28.329001
SMK_CAN_187,56,46,74.89,14.94,RandomForest,KGroups_max++,entropy,False,0:04:28.721996,0:04:30.415851
TOX_171,7,7,54.44,9.27,RandomForest,KGroups_max++,entropy,False,0:04:06.626012,0:04:08.165231
colon,46,22,95.0,7.449999999999999,RandomForest,KGroups_max++,entropy,False,0:02:58.094647,0:02:59.239562
leukemia,57,45,100.0,0.0,RandomForest,KGroups_max++,entropy,False,0:03:03.377365,0:03:04.536538
lung,55,47,95.55,2.11,RandomForest,KGroups_max++,entropy,False,0:04:35.761130,0:04:37.482876
lung_discrete,72,36,91.81,7.26,RandomForest,KGroups_max++,entropy,False,0:03:27.875414,0:03:29.168821
lymphoma,100,46,89.68,9.57,RandomForest,KGroups_max++,entropy,False,0:03:43.938444,0:03:45.333945
nci9,57,43,68.33,6.97,RandomForest,KGroups_max++,entropy,False,0:03:43.685684,0:03:45.042513
