dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,41,28,100.0,0.0,RandomForest,KGroups_max,gini_importance,False,0:03:12.325887,0:03:13.860081
CLL_SUB_111,25,23,85.53,5.09,RandomForest,KGroups_max,gini_importance,False,0:04:05.606190,0:04:07.457746
Carcinom,85,70,91.36,2.1399999999999997,RandomForest,KGroups_max,gini_importance,False,0:05:38.393591,0:05:40.821906
GLIOMA,84,62,88.0,13.04,RandomForest,KGroups_max,gini_importance,False,0:03:24.997216,0:03:26.556650
GLI_85,46,32,96.47,3.22,RandomForest,KGroups_max,gini_importance,False,0:03:25.221770,0:03:26.723279
Prostate_GE,29,23,94.14,8.02,RandomForest,KGroups_max,gini_importance,False,0:03:27.394282,0:03:28.892864
SMK_CAN_187,43,35,73.27,10.5,RandomForest,KGroups_max,gini_importance,False,0:04:31.253894,0:04:33.202084
TOX_171,73,55,77.83,8.469999999999999,RandomForest,KGroups_max,gini_importance,False,0:05:02.920709,0:05:05.333567
colon,69,42,90.13,7.02,RandomForest,KGroups_max,gini_importance,False,0:03:11.409323,0:03:12.816929
leukemia,15,14,100.0,0.0,RandomForest,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722
lung,30,27,97.04,2.07,RandomForest,KGroups_max,gini_importance,False,0:04:58.528163,0:05:00.625760
lung_discrete,69,48,88.94999999999999,6.45,RandomForest,KGroups_max,gini_importance,False,0:03:41.073075,0:03:42.623211
lymphoma,53,46,88.63,5.34,RandomForest,KGroups_max,gini_importance,False,0:04:03.275877,0:04:04.965272
nci9,64,41,71.67,13.94,RandomForest,KGroups_max,gini_importance,False,0:03:46.605322,0:03:48.171853
