fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0038,0.0001,37.53,14.180000000000001,45.33,4.61,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0024,0.0,0.0018,0.0001,60.370000000000005,3.45,60.41,0.88,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.1487,0.0004,0.0095,0.0001,56.16,9.22,62.239999999999995,1.71,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0716,0.0014,0.0038,0.0001,58.26,6.859999999999999,62.239999999999995,1.71,XGB,2,2,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.1061,0.0002,0.0024,0.0,59.31999999999999,4.89,61.72,1.27,MLP,2,2,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0024,0.0,0.002,0.0,29.26,13.889999999999999,36.46,3.1399999999999997,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.002,0.0001,0.0038,0.0001,54.16,5.75,58.86,7.21,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0025,0.0,0.0018,0.0,61.419999999999995,8.95,69.0,3.9600000000000004,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.1501,0.0002,0.0095,0.0001,64.42,14.879999999999999,72.39,2.4299999999999997,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0802,0.0031,0.004,0.0001,64.47,11.690000000000001,72.39,2.4299999999999997,XGB,3,3,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.1091,0.0003,0.0024,0.0,65.53,9.86,71.09,2.4299999999999997,MLP,3,3,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0024,0.0,0.002,0.0,48.11,14.6,53.910000000000004,5.2,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.002,0.0001,0.0038,0.0001,52.21,9.01,61.47,5.62,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.0026,0.0,0.0018,0.0001,68.74,3.7900000000000005,73.19,2.25,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
0.151,0.0004,0.0093,0.0005,65.63,2.6599999999999997,78.9,1.16,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:56.711601,0:03:58.164927,lymphoma
