fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0039,0.0001,80.47999999999999,3.52,89.92,2.35,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0024,0.0,0.0018,0.0,83.24000000000001,4.279999999999999,89.92999999999999,1.49,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1513,0.0007,0.0093,0.0005,81.89999999999999,8.17,90.62,2.03,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0191,0.0009,0.0035,0.0001,79.05,5.42,89.57000000000001,2.53,XGB,2,2,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0941,0.0005,0.0023,0.0001,80.47999999999999,3.52,90.62,2.03,MLP,2,2,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0001,0.0018,0.0,83.33,3.75,88.89,2.65,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0001,0.0038,0.0001,94.48,5.64,94.78999999999999,1.24,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0023,0.0001,0.0018,0.0,95.81,3.83,95.83,0.96,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1514,0.0005,0.0088,0.0007,95.81,3.83,95.83,0.96,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0181,0.0003,0.0035,0.0001,93.05,6.909999999999999,95.14,0.79,XGB,3,3,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0961,0.0006,0.0024,0.0001,95.81,3.83,95.83,0.96,MLP,3,3,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0,0.0018,0.0,93.05,6.909999999999999,94.1,0.96,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0001,0.0038,0.0001,91.62,5.76,96.53,1.7399999999999998,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0023,0.0,0.0018,0.0,94.38,5.949999999999999,97.91,1.46,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1513,0.0006,0.0088,0.0006,91.62,5.76,97.91,1.46,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0196,0.0007,0.004,0.0001,88.94999999999999,9.28,97.22,0.97,XGB,4,4,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0987,0.0004,0.0024,0.0,94.38,5.949999999999999,97.91,1.46,MLP,4,4,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0022,0.0001,0.0019,0.0,92.95,8.75,97.57000000000001,0.96,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0022,0.0,0.004,0.0001,90.29,10.47,93.39,3.34,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0024,0.0001,0.0018,0.0,94.38,5.949999999999999,97.91,2.2800000000000002,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1516,0.0007,0.0096,0.0002,94.38,3.15,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0197,0.0007,0.0041,0.0001,93.05,6.909999999999999,98.26,2.15,XGB,5,5,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1002,0.0003,0.0024,0.0,95.81,6.34,98.61,0.7799999999999999,MLP,5,5,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0,0.0018,0.0,94.28999999999999,7.82,95.82000000000001,2.02,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0001,0.0038,0.0002,95.81,6.34,96.87,0.79,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0024,0.0001,0.0018,0.0,94.38,5.949999999999999,99.65,0.7799999999999999,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1503,0.0005,0.009,0.0007,94.28999999999999,5.9799999999999995,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0203,0.0008,0.0043,0.0,94.28999999999999,5.9799999999999995,99.3,0.95,XGB,6,6,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.101,0.0006,0.0023,0.0001,95.81,6.34,98.61,0.7799999999999999,MLP,6,6,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0022,0.0,0.0019,0.0,95.71,6.39,97.56,2.01,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0022,0.0001,0.0039,0.0001,97.24000000000001,3.7900000000000005,98.6,1.47,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0024,0.0,0.0019,0.0,95.89999999999999,6.02,100.0,0.0,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1519,0.0004,0.0095,0.0001,98.57000000000001,3.19,100.0,0.0,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0203,0.0005,0.0048,0.0001,94.48,7.57,100.0,0.0,XGB,7,7,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1028,0.0006,0.0025,0.0001,95.89999999999999,6.02,100.0,0.0,MLP,7,7,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0022,0.0,0.0019,0.0,93.05,6.909999999999999,98.61,1.46,GaussianNB,7,7,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0001,0.0038,0.0002,97.14,3.91,98.26,1.24,KNeighbors,8,8,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0024,0.0001,0.0019,0.0,95.89999999999999,6.02,100.0,0.0,LinearSVC,8,8,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1515,0.0006,0.009,0.0006,97.24000000000001,3.7900000000000005,100.0,0.0,RandomForest,8,8,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0208,0.0005,0.0046,0.0001,98.57000000000001,3.19,100.0,0.0,XGB,8,8,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.1031,0.0003,0.0024,0.0001,98.67,2.98,100.0,0.0,MLP,8,8,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0,0.0019,0.0,94.48,5.64,99.3,0.95,GaussianNB,8,8,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0021,0.0001,0.0038,0.0001,97.24000000000001,3.7900000000000005,98.6,1.47,KNeighbors,9,9,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.0024,0.0001,0.0019,0.0,97.33000000000001,5.96,100.0,0.0,LinearSVC,9,9,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
0.152,0.0006,0.0091,0.0005,98.67,2.98,100.0,0.0,RandomForest,9,9,KGroups_max,gini_importance,False,0:03:04.122710,0:03:05.463722,leukemia
