fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,93.14,4.72,95.15,2.2399999999999998,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0023,0.0,0.0018,0.0,93.14,4.72,93.76,1.51,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1514,0.0004,0.0091,0.0001,94.57,5.609999999999999,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0175,0.001,0.0031,0.0001,93.14,4.72,97.92,1.46,XGB,2,2,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0963,0.0004,0.002,0.0001,94.48,3.1,94.45,0.75,MLP,2,2,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0,0.0019,0.0,95.89999999999999,6.02,96.53,2.13,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.002,0.0001,0.0037,0.0001,94.48,3.1,93.41000000000001,1.8599999999999999,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0023,0.0,0.0018,0.0,97.24000000000001,3.7900000000000005,96.52,1.25,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1522,0.0016,0.0091,0.0001,95.81,6.34,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0178,0.0009,0.0033,0.0001,94.57,5.609999999999999,98.97,0.9400000000000001,XGB,3,3,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0994,0.0002,0.002,0.0001,97.24000000000001,3.7900000000000005,97.22,0.95,MLP,3,3,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0,0.0019,0.0,95.89999999999999,3.74,95.14,1.43,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.002,0.0001,0.0037,0.0001,91.71000000000001,5.79,93.06,1.24,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0023,0.0,0.0018,0.0,94.48,5.92,94.8,1.2,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.152,0.0003,0.0091,0.0001,95.89999999999999,6.02,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0183,0.0006,0.0035,0.0001,94.57,5.609999999999999,98.97,1.54,XGB,4,4,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1001,0.0003,0.0021,0.0001,93.05,5.06,95.83,1.59,MLP,4,4,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0001,0.0019,0.0,94.57,5.609999999999999,94.45,1.4200000000000002,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.002,0.0001,0.0037,0.0001,88.94999999999999,3.5900000000000003,93.75,1.9900000000000002,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0023,0.0,0.0018,0.0,94.38,3.15,95.83,0.9900000000000001,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1521,0.0004,0.0092,0.0002,95.81,3.83,100.0,0.0,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0187,0.0003,0.0037,0.0001,94.48,3.1,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1011,0.0002,0.002,0.0001,93.05,0.26,96.53,1.24,MLP,5,5,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0,0.0019,0.0,95.71,3.91,96.17999999999999,0.8099999999999999,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0001,0.0038,0.0001,94.48,3.1,96.52,1.25,KNeighbors,6,6,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0023,0.0,0.0019,0.0,95.89999999999999,6.02,99.3,0.95,LinearSVC,6,6,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1527,0.0003,0.0091,0.0001,97.33000000000001,5.96,100.0,0.0,RandomForest,6,6,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0193,0.0003,0.0039,0.0001,97.33000000000001,5.96,100.0,0.0,XGB,6,6,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1023,0.0002,0.002,0.0001,97.24000000000001,3.7900000000000005,99.3,0.95,MLP,6,6,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0,0.0019,0.0,95.81,6.34,97.57000000000001,0.96,GaussianNB,6,6,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0001,0.0037,0.0001,91.71000000000001,5.79,96.53,1.22,KNeighbors,7,7,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0023,0.0,0.0019,0.0,95.89999999999999,3.74,99.31,0.9400000000000001,LinearSVC,7,7,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1527,0.0002,0.0091,0.0,95.89999999999999,3.74,100.0,0.0,RandomForest,7,7,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0198,0.0002,0.0041,0.0001,97.33000000000001,3.65,100.0,0.0,XGB,7,7,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1023,0.0007,0.0021,0.0001,98.67,2.98,98.96000000000001,0.95,MLP,7,7,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0,0.0019,0.0,97.24000000000001,3.7900000000000005,97.57000000000001,0.96,GaussianNB,7,7,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0001,0.0037,0.0001,91.81,5.53,93.06,1.7399999999999998,KNeighbors,8,8,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0024,0.0,0.0019,0.0,94.57,5.609999999999999,100.0,0.0,LinearSVC,8,8,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.1521,0.0004,0.0091,0.0,93.24,8.17,100.0,0.0,RandomForest,8,8,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0202,0.0004,0.0043,0.0001,91.9,10.94,100.0,0.0,XGB,8,8,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.103,0.0004,0.0021,0.0001,94.57,5.609999999999999,100.0,0.0,MLP,8,8,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0,0.0019,0.0,94.57,5.609999999999999,98.96000000000001,0.95,GaussianNB,8,8,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
0.0021,0.0001,0.0038,0.0001,93.14,4.72,94.1,0.96,KNeighbors,9,9,KGroups_max,mutual_info,False,0:03:08.859071,0:03:10.039672,ALLAML
