fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0046,0.0001,32.17,2.91,51.43,1.52,KNeighbors,2,2,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0028,0.0001,0.0019,0.0001,38.550000000000004,5.680000000000001,40.089999999999996,1.8900000000000001,LinearSVC,2,2,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1644,0.0005,0.0099,0.0,33.900000000000006,5.41,96.84,1.3,RandomForest,2,2,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1599,0.0041,0.0045,0.0001,32.22,7.33,96.41,1.1400000000000001,XGB,2,2,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1421,0.0004,0.0024,0.0,37.980000000000004,5.27,41.24,1.3299999999999998,MLP,2,2,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0026,0.0,0.0021,0.0,25.290000000000003,4.279999999999999,28.59,1.28,GaussianNB,2,2,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0022,0.0,0.0048,0.0001,32.769999999999996,5.66,53.879999999999995,2.36,KNeighbors,3,3,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.003,0.0001,0.002,0.0,39.06,4.08,42.39,1.23,LinearSVC,3,3,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1664,0.0004,0.0101,0.0001,33.95,6.81,97.41,0.4,RandomForest,3,3,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1514,0.0045,0.0046,0.0001,29.92,3.62,97.27,0.33,XGB,3,3,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1464,0.0005,0.0024,0.0,41.38,10.0,48.57,1.9,MLP,3,3,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0025,0.0001,0.002,0.0,30.44,3.0,34.06,3.2099999999999995,GaussianNB,3,3,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0021,0.0001,0.0046,0.0002,35.63,6.23,52.580000000000005,2.64,KNeighbors,4,4,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0031,0.0001,0.0019,0.0,41.410000000000004,5.510000000000001,48.85,1.53,LinearSVC,4,4,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1711,0.0013,0.0101,0.0002,37.980000000000004,6.64,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1547,0.0063,0.0048,0.0001,39.11,4.19,100.0,0.0,XGB,4,4,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.152,0.0008,0.0024,0.0,40.82,4.44,53.879999999999995,3.56,MLP,4,4,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0025,0.0001,0.002,0.0,25.869999999999997,2.0500000000000003,32.04,2.55,GaussianNB,4,4,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0022,0.0001,0.0047,0.0002,35.04,6.72,53.02,2.92,KNeighbors,5,5,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0032,0.0001,0.0019,0.0,37.330000000000005,7.670000000000001,45.98,2.7,LinearSVC,5,5,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1723,0.0003,0.0099,0.0001,35.06,5.489999999999999,100.0,0.0,RandomForest,5,5,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.151,0.0031,0.0049,0.0001,33.900000000000006,6.45,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1526,0.0033,0.0024,0.0001,39.09,2.73,55.03,2.53,MLP,5,5,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0026,0.0,0.0021,0.0,28.74,6.069999999999999,36.35,0.91,GaussianNB,5,5,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0023,0.0,0.0048,0.0001,45.39,5.390000000000001,60.06,2.81,KNeighbors,6,6,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0034,0.0,0.002,0.0,50.660000000000004,9.82,60.199999999999996,2.34,LinearSVC,6,6,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1719,0.0003,0.01,0.0001,54.06999999999999,5.3100000000000005,100.0,0.0,RandomForest,6,6,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.142,0.0039,0.0049,0.0,51.73,5.390000000000001,100.0,0.0,XGB,6,6,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.152,0.0006,0.0024,0.0001,50.05,7.359999999999999,68.82000000000001,1.95,MLP,6,6,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0025,0.0,0.002,0.0,36.22,2.7199999999999998,45.69,4.3,GaussianNB,6,6,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0022,0.0001,0.0047,0.0001,55.67999999999999,12.08,69.25,2.63,KNeighbors,7,7,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0035,0.0001,0.0019,0.0001,59.14,8.309999999999999,69.83,1.38,LinearSVC,7,7,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1702,0.0009,0.0099,0.0001,57.45,9.049999999999999,100.0,0.0,RandomForest,7,7,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.14,0.0018,0.0052,0.0001,52.82,11.64,100.0,0.0,XGB,7,7,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1546,0.0003,0.0025,0.0001,60.29,8.110000000000001,78.45,1.66,MLP,7,7,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0026,0.0,0.0021,0.0,45.410000000000004,5.92,55.75,5.76,GaussianNB,7,7,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0022,0.0001,0.0047,0.0,47.13,5.1499999999999995,63.36000000000001,1.7399999999999998,KNeighbors,8,8,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0038,0.0001,0.002,0.0,52.86,3.5000000000000004,63.63999999999999,3.18,LinearSVC,8,8,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1696,0.0005,0.0099,0.0002,55.7,7.31,100.0,0.0,RandomForest,8,8,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1454,0.0024,0.0054,0.0,53.410000000000004,6.54,100.0,0.0,XGB,8,8,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1549,0.0012,0.0025,0.0,56.86,6.09,77.73,1.35,MLP,8,8,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0027,0.0,0.0021,0.0,37.92,2.88,47.699999999999996,4.590000000000001,GaussianNB,8,8,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0023,0.0,0.0049,0.0001,48.25,5.6000000000000005,67.53,2.73,KNeighbors,9,9,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.004,0.0001,0.002,0.0,54.56999999999999,8.6,73.57000000000001,4.130000000000001,LinearSVC,9,9,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1754,0.0008,0.01,0.0001,56.88999999999999,5.37,100.0,0.0,RandomForest,9,9,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1434,0.0026,0.0056,0.0001,58.08,7.21,100.0,0.0,XGB,9,9,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1552,0.0006,0.0024,0.0,56.3,5.67,81.03,1.5,MLP,9,9,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0026,0.0001,0.0021,0.0,54.05,8.63,65.23,2.34,GaussianNB,9,9,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0022,0.0001,0.0048,0.0,47.660000000000004,7.9799999999999995,63.07000000000001,2.8400000000000003,KNeighbors,10,10,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0041,0.0001,0.0018,0.0002,47.160000000000004,8.7,66.38,2.73,LinearSVC,10,10,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.18,0.0009,0.0099,0.0001,49.38,7.86,100.0,0.0,RandomForest,10,10,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.159,0.0069,0.0059,0.0001,44.81,8.57,100.0,0.0,XGB,10,10,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1569,0.0005,0.0025,0.0001,48.27,8.83,82.33,1.7399999999999998,MLP,10,10,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0027,0.0,0.0021,0.0,36.199999999999996,7.41,53.16,3.42,GaussianNB,10,10,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0022,0.0001,0.0047,0.0001,54.0,11.360000000000001,66.52,1.08,KNeighbors,11,11,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0041,0.0002,0.002,0.0001,52.86,10.100000000000001,73.42,1.8399999999999999,LinearSVC,11,11,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1771,0.0008,0.0098,0.0001,58.540000000000006,10.36,100.0,0.0,RandomForest,11,11,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1467,0.0068,0.006,0.0001,57.410000000000004,12.97,100.0,0.0,XGB,11,11,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1568,0.0007,0.0025,0.0,55.13,9.89,86.63,2.55,MLP,11,11,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0027,0.0,0.0021,0.0,48.82,5.42,64.5,5.75,GaussianNB,11,11,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0023,0.0001,0.0049,0.0001,50.55,7.2700000000000005,66.09,1.16,KNeighbors,12,12,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0044,0.0002,0.0021,0.0,56.32,4.2299999999999995,78.02,1.92,LinearSVC,12,12,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.178,0.0004,0.0101,0.0001,63.82,5.0,100.0,0.0,RandomForest,12,12,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1502,0.0051,0.0061,0.0001,60.370000000000005,2.7199999999999998,100.0,0.0,XGB,12,12,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.1558,0.0003,0.0025,0.0,59.209999999999994,4.52,90.08,2.25,MLP,12,12,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0027,0.0001,0.0021,0.0,40.77,5.220000000000001,53.580000000000005,4.91,GaussianNB,12,12,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
0.0025,0.0005,0.0048,0.0,58.07,9.049999999999999,71.98,4.08,KNeighbors,13,13,KGroups_max,mutual_info,False,0:06:01.530039,0:06:04.117421,Carcinom
