fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0046,0.0001,64.11,12.5,75.66000000000001,3.9,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0022,0.0,0.0018,0.0,64.13,16.07,66.31,3.8600000000000003,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1566,0.0007,0.0097,0.0001,69.45,14.42,99.72999999999999,0.37,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0318,0.0007,0.0033,0.0002,66.83,11.559999999999999,100.0,0.0,XGB,2,2,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1341,0.0002,0.0023,0.0001,67.84,18.78,71.78999999999999,2.09,MLP,2,2,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0,0.0018,0.0,66.25999999999999,16.220000000000002,66.84,3.34,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.002,0.0001,0.0046,0.0001,70.55,6.15,78.88,2.17,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0023,0.0001,0.0018,0.0,63.6,15.310000000000002,69.92,3.1300000000000003,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.156,0.0003,0.0097,0.0,73.24000000000001,10.76,99.87,0.3,RandomForest,3,3,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0326,0.0004,0.0035,0.0001,71.08,7.090000000000001,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1374,0.0003,0.0024,0.0,70.53,13.66,75.94,1.1900000000000002,MLP,3,3,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0,0.0018,0.0,68.39,15.39,70.72,3.2399999999999998,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0001,0.0046,0.0001,65.69,14.05,77.0,3.8,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0023,0.0,0.0018,0.0,62.050000000000004,12.17,69.38,3.04,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1623,0.0006,0.0096,0.0,68.35,12.36,99.87,0.3,RandomForest,4,4,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0334,0.0007,0.0036,0.0001,64.62,9.29,100.0,0.0,XGB,4,4,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1405,0.0004,0.0024,0.0,69.49,12.61,77.14,1.9300000000000002,MLP,4,4,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0001,0.0018,0.0,65.75,15.540000000000001,68.97999999999999,2.76,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0001,0.0046,0.0001,65.22,15.190000000000001,78.07,3.8699999999999997,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0023,0.0001,0.0018,0.0,67.36999999999999,12.64,71.25,3.6900000000000004,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1621,0.0004,0.0096,0.0,69.45,10.280000000000001,100.0,0.0,RandomForest,5,5,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0352,0.0007,0.0039,0.0001,66.22,10.27,100.0,0.0,XGB,5,5,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1426,0.0006,0.0024,0.0,70.00999999999999,14.01,77.8,2.29,MLP,5,5,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0,0.0018,0.0,68.96,13.669999999999998,71.78999999999999,3.6700000000000004,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0021,0.0001,0.0046,0.0001,66.3,16.5,78.08,4.37,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0023,0.0,0.0018,0.0001,65.25,11.959999999999999,71.65,4.5600000000000005,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.1623,0.0007,0.0096,0.0001,71.14,11.459999999999999,100.0,0.0,RandomForest,6,6,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.0368,0.0009,0.004,0.0,67.35,11.66,100.0,0.0,XGB,6,6,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
0.143,0.0007,0.0024,0.0001,68.97999999999999,15.190000000000001,79.28,2.6599999999999997,MLP,6,6,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648,SMK_CAN_187
