fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0046,0.0001,81.74,4.63,85.84,0.89,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0024,0.0,0.0018,0.0001,77.33,1.32,77.71000000000001,0.5700000000000001,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.1562,0.0003,0.0096,0.0001,81.76,3.39,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0701,0.0024,0.0037,0.0001,79.78,5.13,100.0,0.0,XGB,2,2,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.1374,0.0004,0.0024,0.0,82.22,4.97,83.49,2.1,MLP,2,2,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0022,0.0,0.0018,0.0,82.72,5.89,84.98,1.1199999999999999,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.002,0.0001,0.0047,0.0001,84.21,3.47,88.05,1.58,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0025,0.0,0.0018,0.0001,79.32000000000001,1.17,80.54,1.71,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.1562,0.0003,0.0096,0.0,87.18,3.2300000000000004,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0656,0.0025,0.0038,0.0001,85.71,5.8500000000000005,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.1418,0.0001,0.0024,0.0,84.7,3.42,87.07000000000001,1.0,MLP,3,3,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0022,0.0,0.0018,0.0,85.67,5.99,87.56,1.48,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.002,0.0001,0.0047,0.0001,88.17,4.05,92.12,1.21,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0026,0.0,0.0019,0.0,82.26,3.6799999999999997,84.36,1.7000000000000002,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.163,0.0006,0.0095,0.0001,88.16000000000001,4.12,100.0,0.0,RandomForest,4,4,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0649,0.0015,0.0041,0.0001,89.17,4.75,100.0,0.0,XGB,4,4,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.1448,0.0002,0.0024,0.0,87.2,4.01,88.92,1.15,MLP,4,4,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0022,0.0,0.0019,0.0,89.63,5.08,91.86999999999999,2.02,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0021,0.0001,0.0047,0.0001,87.15,5.779999999999999,91.38,1.24,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.0026,0.0,0.0019,0.0,83.24000000000001,2.75,84.85000000000001,0.97,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.1648,0.0006,0.0095,0.0,87.66000000000001,2.62,99.88,0.27,RandomForest,5,5,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
0.069,0.0018,0.0042,0.0001,87.68,6.47,100.0,0.0,XGB,5,5,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092,lung
