fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0048,0.0001,58.809999999999995,4.6,73.92999999999999,2.56,KNeighbors,2,2,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0024,0.0001,0.0018,0.0,68.44,11.87,69.38,3.62,LinearSVC,2,2,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1593,0.0006,0.0099,0.0001,60.41,3.63,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0332,0.0006,0.0039,0.0002,56.66,7.090000000000001,99.6,0.37,XGB,2,2,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1359,0.0021,0.0024,0.0001,66.29,10.22,70.59,3.1399999999999997,MLP,2,2,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0022,0.0,0.0019,0.0,66.83,11.379999999999999,69.38,3.38,GaussianNB,2,2,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0023,0.0001,0.0051,0.0001,60.97,7.48,74.06,2.04,KNeighbors,3,3,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0025,0.0001,0.0019,0.0,66.86999999999999,10.34,70.05,2.27,LinearSVC,3,3,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1605,0.0019,0.0101,0.0001,59.31999999999999,10.96,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0355,0.0003,0.0044,0.0001,59.31999999999999,13.23,99.87,0.3,XGB,3,3,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1429,0.0006,0.0026,0.0,66.27,9.1,72.46000000000001,2.2399999999999998,MLP,3,3,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0024,0.0001,0.002,0.0,65.78,15.76,66.57,3.27,GaussianNB,3,3,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0025,0.0,0.0055,0.0001,58.85,7.430000000000001,76.21,2.48,KNeighbors,4,4,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0027,0.0001,0.002,0.0,61.519999999999996,8.690000000000001,67.78,2.97,LinearSVC,4,4,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1698,0.001,0.0102,0.0001,59.35,7.199999999999999,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.038,0.0011,0.0046,0.0001,58.29,2.94,100.0,0.0,XGB,4,4,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.145,0.0004,0.0025,0.0001,61.0,7.66,72.72999999999999,1.5699999999999998,MLP,4,4,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0024,0.0001,0.002,0.0001,66.27,13.34,69.52000000000001,2.2800000000000002,GaussianNB,4,4,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0026,0.0001,0.0057,0.0002,64.17,8.17,80.61,2.4899999999999998,KNeighbors,5,5,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0026,0.0001,0.002,0.0001,68.45,14.399999999999999,74.46000000000001,4.1000000000000005,LinearSVC,5,5,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1696,0.0011,0.0103,0.0001,64.14999999999999,12.690000000000001,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0386,0.0015,0.0049,0.0001,60.919999999999995,9.13,100.0,0.0,XGB,5,5,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1484,0.0004,0.0026,0.0001,69.5,13.29,79.95,1.06,MLP,5,5,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0024,0.0001,0.0021,0.0001,67.92,15.97,70.99,3.1300000000000003,GaussianNB,5,5,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0026,0.0,0.0056,0.0001,66.27,10.59,75.0,2.27,KNeighbors,6,6,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0027,0.0001,0.0021,0.0,66.86999999999999,11.76,71.39,3.25,LinearSVC,6,6,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.17,0.0004,0.0103,0.0002,63.580000000000005,10.61,100.0,0.0,RandomForest,6,6,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0402,0.0015,0.005,0.0001,58.76,9.11,100.0,0.0,XGB,6,6,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.1497,0.0003,0.0027,0.0,61.47,10.77,76.87,2.58,MLP,6,6,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
0.0024,0.0,0.0021,0.0,63.629999999999995,11.41,68.45,2.71,GaussianNB,6,6,KGroups_max,Fvalue,False,0:04:53.810275,0:04:56.097530,SMK_CAN_187
