fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0044,0.0001,46.89,8.39,53.65,1.83,KNeighbors,2,2,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0028,0.0001,0.002,0.0001,61.419999999999995,3.3099999999999996,63.53,1.7999999999999998,LinearSVC,2,2,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.1533,0.0006,0.01,0.0001,54.05,13.459999999999999,64.58,2.08,RandomForest,2,2,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0837,0.0023,0.0046,0.0002,55.11000000000001,13.530000000000001,64.58,2.08,XGB,2,2,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.1093,0.0005,0.0026,0.0001,55.11000000000001,13.530000000000001,64.31,2.55,MLP,2,2,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0028,0.0,0.0022,0.0,28.32,11.129999999999999,29.43,7.9399999999999995,GaussianNB,2,2,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0025,0.0,0.0046,0.0001,58.26,4.3999999999999995,64.05999999999999,2.88,KNeighbors,3,3,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0029,0.0001,0.0021,0.0001,58.32000000000001,3.84,65.11,2.46,LinearSVC,3,3,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.1555,0.0006,0.0101,0.0,63.53,6.5,73.7,1.08,RandomForest,3,3,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0923,0.0022,0.0047,0.0001,61.370000000000005,6.510000000000001,72.92,1.71,XGB,3,3,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.1126,0.0003,0.0026,0.0,61.419999999999995,4.9799999999999995,70.05,1.8499999999999999,MLP,3,3,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
0.0028,0.0001,0.0022,0.0,45.050000000000004,17.27,52.1,6.03,GaussianNB,3,3,KGroups_max,Fvalue,False,0:04:12.928765,0:04:14.827252,lymphoma
