dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,4,4,100.0,0.0,MLP,KGroups_max++,Fvalue,False,0:03:04.349056,0:03:05.474088
CLL_SUB_111,15,14,78.38000000000001,4.95,MLP,KGroups_max++,Fvalue,False,0:03:55.374201,0:03:56.799303
Carcinom,81,14,75.9,9.3,MLP,KGroups_max++,Fvalue,False,0:04:23.080415,0:04:24.622188
GLIOMA,2,2,84.0,8.94,MLP,KGroups_max++,Fvalue,False,0:03:12.768032,0:03:13.934927
GLI_85,11,11,96.47,5.26,MLP,KGroups_max++,Fvalue,False,0:03:25.192143,0:03:26.447842
Prostate_GE,59,41,96.05,6.510000000000001,MLP,KGroups_max++,Fvalue,False,0:03:19.398355,0:03:20.633881
SMK_CAN_187,20,20,73.78,11.47,MLP,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648
TOX_171,94,71,67.23,3.46,MLP,KGroups_max++,Fvalue,False,0:04:55.377609,0:04:57.116678
colon,9,9,91.79,10.21,MLP,KGroups_max++,Fvalue,False,0:03:06.633029,0:03:07.770225
leukemia,53,31,100.0,0.0,MLP,KGroups_max++,Fvalue,False,0:02:53.911339,0:02:54.974099
lung,80,53,96.55,1.36,MLP,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092
lung_discrete,63,48,87.81,8.55,MLP,KGroups_max++,Fvalue,False,0:03:35.265895,0:03:36.548282
lymphoma,58,52,92.68,8.82,MLP,KGroups_max++,Fvalue,False,0:03:57.568665,0:03:58.970970
nci9,2,2,26.67,6.97,MLP,KGroups_max++,Fvalue,False,0:02:59.497376,0:03:00.568982
