dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,95.9,3.74,XGB,KGroups_max++,Fvalue,False,0:03:04.349056,0:03:05.474088
CLL_SUB_111,91,56,83.78999999999999,3.99,XGB,KGroups_max++,Fvalue,False,0:03:55.374201,0:03:56.799303
Carcinom,96,16,67.82000000000001,7.109999999999999,XGB,KGroups_max++,Fvalue,False,0:04:23.080415,0:04:24.622188
GLIOMA,46,30,88.0,13.04,XGB,KGroups_max++,Fvalue,False,0:03:12.768032,0:03:13.934927
GLI_85,7,7,94.12,7.199999999999999,XGB,KGroups_max++,Fvalue,False,0:03:25.192143,0:03:26.447842
Prostate_GE,57,39,95.14,4.88,XGB,KGroups_max++,Fvalue,False,0:03:19.398355,0:03:20.633881
SMK_CAN_187,81,76,74.86,13.57,XGB,KGroups_max++,Fvalue,False,0:04:34.017936,0:04:35.687648
TOX_171,60,48,69.61,6.93,XGB,KGroups_max++,Fvalue,False,0:04:55.377609,0:04:57.116678
colon,13,13,90.0,10.87,XGB,KGroups_max++,Fvalue,False,0:03:06.633029,0:03:07.770225
leukemia,93,49,100.0,0.0,XGB,KGroups_max++,Fvalue,False,0:02:53.911339,0:02:54.974099
lung,55,38,96.55,1.36,XGB,KGroups_max++,Fvalue,False,0:04:35.720705,0:04:37.377092
lung_discrete,69,53,89.14,3.39,XGB,KGroups_max++,Fvalue,False,0:03:35.265895,0:03:36.548282
lymphoma,22,22,87.74,13.44,XGB,KGroups_max++,Fvalue,False,0:03:57.568665,0:03:58.970970
nci9,2,2,21.67,9.5,XGB,KGroups_max++,Fvalue,False,0:02:59.497376,0:03:00.568982
