dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,67,64,100.0,0.0,RandomForest,KGroups_max++,cosine_sim,False,0:03:06.872546,0:03:07.998195
CLL_SUB_111,69,68,90.03999999999999,7.51,RandomForest,KGroups_max++,cosine_sim,False,0:04:11.504148,0:04:13.007004
Carcinom,62,62,90.77,5.220000000000001,RandomForest,KGroups_max++,cosine_sim,False,0:05:38.862316,0:05:40.767933
GLIOMA,93,84,86.0,5.48,RandomForest,KGroups_max++,cosine_sim,False,0:03:21.226986,0:03:22.427790
GLI_85,37,37,96.47,3.22,RandomForest,KGroups_max++,cosine_sim,False,0:03:25.574613,0:03:26.824773
Prostate_GE,26,26,95.1,6.99,RandomForest,KGroups_max++,cosine_sim,False,0:03:26.314066,0:03:27.582608
SMK_CAN_187,19,19,76.98,15.57,RandomForest,KGroups_max++,cosine_sim,False,0:04:36.149511,0:04:37.824327
TOX_171,97,96,73.18,8.459999999999999,RandomForest,KGroups_max++,cosine_sim,False,0:05:14.396497,0:05:16.222238
colon,10,10,90.13,10.89,RandomForest,KGroups_max++,cosine_sim,False,0:03:08.756325,0:03:09.899580
leukemia,27,27,100.0,0.0,RandomForest,KGroups_max++,cosine_sim,False,0:02:58.709925,0:02:59.784061
lung,42,42,96.06,2.78,RandomForest,KGroups_max++,cosine_sim,False,0:05:08.456310,0:05:10.266688
lung_discrete,43,33,93.05,6.909999999999999,RandomForest,KGroups_max++,cosine_sim,False,0:03:33.383694,0:03:34.656810
lymphoma,45,42,91.58,6.0,RandomForest,KGroups_max++,cosine_sim,False,0:03:58.077244,0:03:59.479658
nci9,59,59,61.67,11.18,RandomForest,KGroups_max++,cosine_sim,False,0:03:51.374167,0:03:52.717900
