dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,7,6,97.33,5.96,GaussianNB,KGroups_max++,variance,False,0:02:45.601142,0:02:46.627285
CLL_SUB_111,14,11,61.19,7.28,GaussianNB,KGroups_max++,variance,False,0:03:25.483249,0:03:26.746687
Carcinom,16,11,45.879999999999995,9.75,GaussianNB,KGroups_max++,variance,False,0:04:18.732893,0:04:20.268236
GLIOMA,3,3,64.0,11.4,GaussianNB,KGroups_max++,variance,False,0:02:56.635204,0:02:57.710224
GLI_85,4,4,88.24,7.199999999999999,GaussianNB,KGroups_max++,variance,False,0:02:59.977793,0:03:01.098990
Prostate_GE,2,2,92.14,7.580000000000001,GaussianNB,KGroups_max++,variance,False,0:03:06.238612,0:03:07.405995
SMK_CAN_187,2,2,66.25999999999999,16.220000000000002,GaussianNB,KGroups_max++,variance,False,0:03:33.882740,0:03:35.221023
TOX_171,9,7,63.8,10.81,GaussianNB,KGroups_max++,variance,False,0:03:52.426632,0:03:53.836923
colon,6,6,76.03,10.93,GaussianNB,KGroups_max++,variance,False,0:02:49.296003,0:02:50.335546
leukemia,6,6,98.67,2.98,GaussianNB,KGroups_max++,variance,False,0:02:46.474778,0:02:47.509744
lung,2,2,85.67,5.5,GaussianNB,KGroups_max++,variance,False,0:03:48.084984,0:03:49.487880
lung_discrete,7,6,62.95,4.24,GaussianNB,KGroups_max++,variance,False,0:03:13.215611,0:03:14.377448
lymphoma,7,6,68.74,3.790000000000001,GaussianNB,KGroups_max++,variance,False,0:03:26.290013,0:03:27.532358
nci9,15,12,43.33,17.080000000000002,GaussianNB,KGroups_max++,variance,False,0:03:24.486575,0:03:25.688914
