fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0038,0.0001,89.29,8.73,92.65,2.85,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0022,0.0,0.0018,0.0,92.14,7.580000000000001,92.16,2.0500000000000003,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1484,0.0004,0.0093,0.0001,87.33,11.03,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.02,0.0009,0.003,0.0001,86.38,11.110000000000001,99.02,0.5499999999999999,XGB,2,2,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1037,0.0004,0.0023,0.0001,91.14,7.4399999999999995,92.16,2.03,MLP,2,2,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0,0.0018,0.0,91.14,7.4399999999999995,91.17,1.82,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0001,0.0038,0.0001,92.19000000000001,8.77,93.88,2.2800000000000002,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0022,0.0,0.0018,0.0,94.1,6.45,94.12,2.6599999999999997,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1487,0.0006,0.0093,0.0,93.10000000000001,6.660000000000001,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0205,0.0011,0.0032,0.0001,92.10000000000001,7.55,98.77,0.01,XGB,3,3,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1059,0.0005,0.0024,0.0,95.1,6.99,95.34,2.35,MLP,3,3,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0,0.0018,0.0,96.05,6.510000000000001,94.85,2.6599999999999997,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0001,0.0039,0.0001,90.24,9.139999999999999,94.36,2.0500000000000003,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0022,0.0,0.0018,0.0,90.24,9.139999999999999,93.63,2.6599999999999997,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1503,0.0005,0.0093,0.0,86.38,7.88,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0215,0.0009,0.0035,0.0001,87.33,7.33,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1082,0.0004,0.0024,0.0,89.29,10.5,93.63,2.1999999999999997,MLP,4,4,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0021,0.0001,0.0018,0.0,92.14,8.95,92.4,1.82,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0001,0.0039,0.0001,94.14,6.460000000000001,94.84,2.68,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0023,0.0,0.0018,0.0,92.24,8.790000000000001,94.6,2.54,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1502,0.0005,0.0094,0.0,88.33,10.03,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0214,0.001,0.0036,0.0001,88.33,8.82,99.02,0.5499999999999999,XGB,5,5,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.109,0.0003,0.0024,0.0001,92.19000000000001,8.97,94.85,2.37,MLP,5,5,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0021,0.0,0.0018,0.0,95.1,6.99,94.85,1.06,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0001,0.0039,0.0001,94.1,8.23,95.83,2.54,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0023,0.0,0.0018,0.0,93.14,5.66,95.09,2.12,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1496,0.0006,0.0093,0.0,91.24,7.93,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0218,0.0014,0.0038,0.0001,86.48,11.34,99.27,0.67,XGB,6,6,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1097,0.0006,0.0024,0.0,92.14,8.95,95.34,2.19,MLP,6,6,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0021,0.0,0.0018,0.0,94.1,6.45,93.87,1.95,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.002,0.0001,0.0039,0.0001,92.14,7.580000000000001,94.36,2.83,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0023,0.0,0.0018,0.0,92.24,8.790000000000001,93.87,2.87,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1501,0.0004,0.0094,0.0,92.14,8.95,100.0,0.0,RandomForest,7,7,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.0231,0.0011,0.004,0.0001,90.24,7.8,99.02,0.5499999999999999,XGB,7,7,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
0.1105,0.0005,0.0025,0.0001,93.14,8.34,95.09,2.12,MLP,7,7,KGroups_max++,gini_importance,False,0:03:18.296752,0:03:19.527425,Prostate_GE
