fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0001,0.0044,0.0001,90.48,10.05,90.64,2.5700000000000003,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0025,0.0001,0.0019,0.0,91.81,7.26,91.67999999999999,1.8599999999999999,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.152,0.0005,0.0097,0.0005,93.14,4.72,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0198,0.0006,0.0042,0.0001,93.14,4.72,96.87,0.79,XGB,2,2,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0979,0.0003,0.0026,0.0001,86.0,5.2299999999999995,85.76,1.5,MLP,2,2,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0,0.0021,0.0,94.48,3.1,93.41000000000001,1.43,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0025,0.0,0.0044,0.0001,90.38000000000001,7.7,94.78999999999999,1.7399999999999998,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0027,0.0001,0.002,0.0001,93.14,4.72,94.45,1.8800000000000001,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1514,0.0005,0.01,0.0001,94.48,5.64,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0196,0.0009,0.0044,0.0001,93.14,4.72,98.61,1.46,XGB,3,3,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0997,0.0003,0.0026,0.0,91.81,7.26,95.15,2.23,MLP,3,3,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0,0.002,0.0,93.05,5.06,94.1,2.31,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0025,0.0,0.0044,0.0,88.86,6.38,96.17999999999999,1.4500000000000002,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0027,0.0001,0.0021,0.0001,94.28999999999999,5.9799999999999995,98.95,0.96,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1522,0.0006,0.0099,0.0001,93.14,4.72,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0201,0.0009,0.0046,0.0001,91.71000000000001,2.83,98.96000000000001,0.95,XGB,4,4,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1018,0.0003,0.0026,0.0,95.71,6.39,96.88,1.44,MLP,4,4,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0002,0.0021,0.0001,95.81,3.83,97.91,0.79,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0025,0.0001,0.0045,0.0001,96.0,5.96,96.88,0.76,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0027,0.0001,0.0021,0.0,97.24000000000001,3.7900000000000005,100.0,0.0,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1522,0.0003,0.0099,0.0,97.24000000000001,3.7900000000000005,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0205,0.0003,0.0048,0.0002,94.48,5.64,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1039,0.0004,0.0026,0.0,97.33000000000001,3.65,100.0,0.0,MLP,5,5,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0,0.0021,0.0,98.67,2.98,100.0,0.0,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0025,0.0001,0.0045,0.0001,92.95,8.75,96.52,1.25,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0027,0.0,0.0021,0.0,94.38,3.15,98.6,1.47,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1522,0.0008,0.01,0.0001,95.81,3.83,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0212,0.0002,0.005,0.0,94.48,5.64,100.0,0.0,XGB,6,6,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1038,0.0007,0.0026,0.0001,95.81,3.83,99.3,0.95,MLP,6,6,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0,0.002,0.0,97.14,3.91,97.91,0.79,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0,0.0043,0.0001,91.71000000000001,2.83,95.14,2.27,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0026,0.0001,0.002,0.0,94.48,3.1,97.91,1.46,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1526,0.0004,0.01,0.0,92.95,5.06,100.0,0.0,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0218,0.0001,0.0052,0.0001,93.05,6.909999999999999,100.0,0.0,XGB,7,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1036,0.0004,0.0026,0.0002,95.81,3.83,98.26,1.24,MLP,7,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0,0.002,0.0,97.33000000000001,3.65,96.88,2.25,GaussianNB,7,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0025,0.0,0.0045,0.0001,90.29,8.07,94.8,3.0,KNeighbors,8,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0027,0.0001,0.0021,0.0,92.95,5.06,98.96000000000001,0.95,LinearSVC,8,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1534,0.0011,0.01,0.0001,94.48,5.64,100.0,0.0,RandomForest,8,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0219,0.0003,0.0052,0.0001,95.81,3.83,100.0,0.0,XGB,8,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.1049,0.0007,0.0027,0.0001,93.05,8.75,96.88,1.44,MLP,8,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
0.0024,0.0001,0.0021,0.0,98.57000000000001,3.19,98.96000000000001,0.95,GaussianNB,8,7,KGroups_max,gini_importance,False,0:03:13.964878,0:03:15.467015,ALLAML
