fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,94.38,9.3,95.47,2.65,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0022,0.0,0.0018,0.0,94.38,9.3,93.74,2.63,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.1445,0.0004,0.0093,0.0,93.05,8.75,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0179,0.0011,0.0031,0.0001,92.95,8.75,97.22,1.5599999999999998,XGB,2,2,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0943,0.0004,0.0024,0.0001,91.71000000000001,9.19,93.4,2.8400000000000003,MLP,2,2,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.002,0.0001,0.0018,0.0,90.29,8.07,90.62,3.58,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.002,0.0001,0.0036,0.0001,94.28999999999999,9.31,95.82000000000001,2.6599999999999997,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0022,0.0,0.0018,0.0,97.14,6.39,96.17999999999999,2.26,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.145,0.0004,0.0093,0.0001,90.0,10.83,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0177,0.0007,0.0032,0.0001,91.52,9.33,97.22,1.5599999999999998,XGB,3,3,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0961,0.0002,0.0021,0.0001,95.71,6.39,96.52,2.15,MLP,3,3,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.002,0.0,0.0018,0.0,92.95,8.75,94.45,2.55,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.002,0.0001,0.0036,0.0001,94.48,5.64,94.8,1.71,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
0.0022,0.0,0.0018,0.0,91.71000000000001,11.360000000000001,93.75,3.38,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:08.896720,0:03:10.038751,ALLAML
