fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0042,0.0001,84.67,3.44,84.72,0.84,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0025,0.0001,0.002,0.0,83.33,3.75,85.07000000000001,0.9400000000000001,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.1485,0.0002,0.0097,0.0,83.33,3.75,85.07000000000001,0.9400000000000001,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0185,0.0002,0.004,0.0001,83.33,3.75,85.07000000000001,0.9400000000000001,XGB,2,2,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0951,0.0001,0.0025,0.0001,83.33,3.75,85.07000000000001,0.9400000000000001,MLP,2,2,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0022,0.0001,0.0019,0.0,84.67,3.44,84.72,0.84,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0023,0.0,0.0042,0.0001,89.05,5.72,92.36999999999999,2.59,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0025,0.0,0.0019,0.0,94.48,3.1,94.45,0.75,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.1483,0.0002,0.0098,0.0001,93.05,5.06,94.45,0.75,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0197,0.0005,0.0041,0.0001,90.38000000000001,6.08,94.1,0.96,XGB,3,3,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0978,0.0003,0.0025,0.0,94.48,3.1,94.45,0.75,MLP,3,3,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0022,0.0001,0.0019,0.0,93.05,5.06,90.64,4.46,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0021,0.0001,0.0039,0.0001,89.05,7.630000000000001,93.06,2.12,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
0.0024,0.0,0.0019,0.0,90.48,9.06,93.07,2.71,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:09.777322,0:03:11.190257,leukemia
