fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0039,0.0001,66.67999999999999,10.38,77.92,1.77,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0023,0.0,0.0017,0.0,72.06,3.91,73.65,1.3299999999999998,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1528,0.0006,0.0084,0.0,69.37,7.449999999999999,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0462,0.0032,0.0033,0.0001,74.78,9.379999999999999,100.0,0.0,XGB,2,2,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1079,0.0002,0.0023,0.0,72.89,7.4399999999999995,76.57000000000001,1.53,MLP,2,2,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0,0.0018,0.0,70.24000000000001,4.29,72.3,1.68,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,69.41000000000001,4.58,82.22,2.62,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0023,0.0,0.0018,0.0,70.24000000000001,6.25,71.61999999999999,3.82,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1524,0.0004,0.0095,0.0,77.47,5.58,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0447,0.0008,0.0035,0.0001,76.6,8.64,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1088,0.0004,0.0024,0.0,69.25,10.61,77.03,0.58,MLP,3,3,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0,0.0018,0.0,73.87,9.3,74.56,2.25,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,68.38,7.51,81.52000000000001,2.69,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0024,0.0,0.0018,0.0,71.98,12.36,75.0,3.8600000000000003,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1549,0.0005,0.0093,0.0001,75.64999999999999,2.7,100.0,0.0,RandomForest,4,4,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0455,0.001,0.0038,0.0001,77.39,6.64,100.0,0.0,XGB,4,4,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1134,0.0001,0.0024,0.0,72.89,9.29,80.4,1.77,MLP,4,4,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0,0.0018,0.0,73.83,8.86,76.8,2.35,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.002,0.0001,0.004,0.0001,65.81,7.95,79.5,2.46,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0024,0.0,0.0018,0.0,63.080000000000005,6.550000000000001,75.22999999999999,2.9899999999999998,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.156,0.0003,0.0088,0.0007,77.47,3.2399999999999998,100.0,0.0,RandomForest,5,5,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0475,0.0023,0.004,0.0001,72.96000000000001,5.59,100.0,0.0,XGB,5,5,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1137,0.0003,0.0023,0.0,67.63,5.34,78.16,3.19,MLP,5,5,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0,0.0018,0.0,69.45,12.690000000000001,77.48,1.0699999999999998,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,70.24000000000001,7.03,81.07,2.9899999999999998,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0024,0.0,0.0018,0.0,72.02,10.0,78.14999999999999,1.73,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1557,0.0004,0.0095,0.0,80.12,7.7299999999999995,100.0,0.0,RandomForest,6,6,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0493,0.0006,0.0042,0.0,77.42999999999999,9.2,100.0,0.0,XGB,6,6,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1155,0.0004,0.0025,0.0001,74.78,5.11,82.19999999999999,2.37,MLP,6,6,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0,0.0018,0.0,70.28,7.55,75.0,1.66,GaussianNB,6,6,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,72.09,3.51,80.85,1.18,KNeighbors,7,7,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0025,0.0,0.0018,0.0,73.83,7.6,79.73,1.38,LinearSVC,7,7,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1559,0.0004,0.0095,0.0,79.25,10.52,100.0,0.0,RandomForest,7,7,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0505,0.0008,0.0045,0.0001,72.89,14.499999999999998,100.0,0.0,XGB,7,7,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.1161,0.0007,0.0025,0.0001,73.79,11.469999999999999,85.13,2.18,MLP,7,7,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0,0.0018,0.0,64.82,8.309999999999999,75.91,2.76,GaussianNB,7,7,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,67.51,6.22,77.25,1.5599999999999998,KNeighbors,8,8,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
0.0025,0.0,0.0018,0.0,72.06,8.18,77.25,1.41,LinearSVC,8,8,KGroups_max++,Fvalue,False,0:04:00.070454,0:04:01.432968,CLL_SUB_111
