fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0039,0.0001,84.43,9.120000000000001,93.14,2.04,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0022,0.0,0.0018,0.0,87.29,8.75,91.42,1.96,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1483,0.0006,0.0083,0.0006,87.29,6.52,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.02,0.0011,0.003,0.0001,85.33,5.94,97.78999999999999,0.5499999999999999,XGB,2,2,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1048,0.0004,0.0019,0.0,87.29,5.59,91.91,1.1199999999999999,MLP,2,2,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0,0.0018,0.0,89.24,6.4399999999999995,91.42,1.53,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0038,0.0001,92.10000000000001,7.630000000000001,92.89,2.65,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0022,0.0,0.0018,0.0,90.19,7.84,93.38,1.8499999999999999,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1489,0.0008,0.0085,0.0006,90.19,7.84,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0208,0.0012,0.0032,0.0001,88.24,7.55,99.02,0.5499999999999999,XGB,3,3,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1065,0.0004,0.0019,0.0,92.10000000000001,7.630000000000001,92.89,2.35,MLP,3,3,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0,0.0018,0.0,91.14,7.4399999999999995,92.4,1.82,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,91.19,8.12,94.61,3.3000000000000003,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0022,0.0,0.0018,0.0,92.14,7.580000000000001,94.36,2.81,LinearSVC,4,4,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1503,0.0004,0.0083,0.0006,91.14,6.54,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.021,0.0008,0.0034,0.0001,90.19,4.89,99.51,0.6799999999999999,XGB,4,4,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1088,0.0003,0.0019,0.0,92.14,7.580000000000001,95.34,2.79,MLP,4,4,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0018,0.0,93.10000000000001,8.33,95.09,2.29,GaussianNB,4,4,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,90.14,6.18,92.15,1.66,KNeighbors,5,5,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0022,0.0,0.0018,0.0,89.14,6.6000000000000005,91.9,2.85,LinearSVC,5,5,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1503,0.0006,0.0083,0.0006,92.05,7.61,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0215,0.0008,0.0036,0.0001,89.24,8.01,99.27,0.67,XGB,5,5,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1082,0.0003,0.0019,0.0,90.14,6.18,93.13,1.11,MLP,5,5,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0,0.0018,0.0,92.05,7.61,92.39,1.8599999999999999,GaussianNB,5,5,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,93.05,7.6,93.38,1.66,KNeighbors,6,6,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,92.19000000000001,8.97,94.6,2.39,LinearSVC,6,6,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1506,0.0003,0.0088,0.0005,90.24,7.8,100.0,0.0,RandomForest,6,6,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0227,0.001,0.0037,0.0,91.14,7.4399999999999995,98.77,0.01,XGB,6,6,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.11,0.0003,0.0019,0.0,93.14,8.34,95.59,1.8599999999999999,MLP,6,6,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0,0.0018,0.0,92.14,8.95,93.87,1.51,GaussianNB,6,6,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,94.1,6.45,95.34,2.02,KNeighbors,7,7,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,94.1,5.5,94.85,1.83,LinearSVC,7,7,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1507,0.0006,0.0082,0.0005,94.05,8.219999999999999,100.0,0.0,RandomForest,7,7,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.023,0.0011,0.004,0.0001,90.19,6.13,99.02,0.5499999999999999,XGB,7,7,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1098,0.0008,0.0019,0.0001,95.05,6.12,94.85,1.83,MLP,7,7,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0018,0.0,93.10000000000001,5.64,92.89,0.5700000000000001,GaussianNB,7,7,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,92.19000000000001,8.309999999999999,95.34,2.01,KNeighbors,8,8,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,93.10000000000001,7.62,96.32,2.2800000000000002,LinearSVC,8,8,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1504,0.0009,0.0086,0.0006,93.10000000000001,7.62,100.0,0.0,RandomForest,8,8,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0231,0.0012,0.0041,0.0001,92.14,4.46,100.0,0.0,XGB,8,8,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1113,0.0002,0.0019,0.0,94.1,8.23,97.06,1.6500000000000001,MLP,8,8,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0018,0.0,96.05,6.510000000000001,95.09,2.12,GaussianNB,8,8,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,95.1,6.99,96.08,1.6,KNeighbors,9,9,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,90.29,9.77,98.53,1.02,LinearSVC,9,9,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1518,0.0007,0.0082,0.0005,92.10000000000001,6.76,100.0,0.0,RandomForest,9,9,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0236,0.0012,0.0044,0.0001,91.19,8.12,100.0,0.0,XGB,9,9,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1126,0.0015,0.0019,0.0,95.1,6.99,98.04,1.0999999999999999,MLP,9,9,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0018,0.0,95.1,6.99,94.36,1.11,GaussianNB,9,9,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.002,0.0001,0.0039,0.0001,92.10000000000001,7.55,94.36,2.21,KNeighbors,10,10,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,90.19,6.99,96.56,2.36,LinearSVC,10,10,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1513,0.0006,0.0082,0.0005,93.10000000000001,6.660000000000001,100.0,0.0,RandomForest,10,10,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0245,0.0013,0.0046,0.0001,93.10000000000001,8.33,99.02,0.5499999999999999,XGB,10,10,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1126,0.0005,0.0019,0.0,94.1,8.89,98.04,1.0999999999999999,MLP,10,10,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0018,0.0,92.14,8.95,91.66,2.03,GaussianNB,10,10,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0039,0.0001,94.05,8.219999999999999,94.12,2.19,KNeighbors,11,11,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,92.24,11.08,96.57,2.19,LinearSVC,11,11,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1517,0.0006,0.0084,0.0006,93.10000000000001,6.660000000000001,100.0,0.0,RandomForest,11,11,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0251,0.0015,0.0048,0.0001,91.24,6.34,99.75,0.5499999999999999,XGB,11,11,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1129,0.0004,0.0019,0.0,93.10000000000001,8.33,97.78999999999999,0.5499999999999999,MLP,11,11,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0018,0.0,92.14,8.95,93.87,1.51,GaussianNB,11,11,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0039,0.0001,92.14,8.95,93.87,1.73,KNeighbors,12,12,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0023,0.0,0.0018,0.0,91.14,6.54,97.06,1.8499999999999999,LinearSVC,12,12,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1514,0.0007,0.0086,0.0006,91.14,6.54,100.0,0.0,RandomForest,12,12,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0258,0.0015,0.005,0.0001,89.14,6.6000000000000005,99.26,0.67,XGB,12,12,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1135,0.0005,0.0019,0.0,94.14,6.460000000000001,98.04,1.0999999999999999,MLP,12,12,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0019,0.0,91.19,5.33,93.87,1.9300000000000002,GaussianNB,12,12,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0039,0.0001,93.14,5.66,93.87,1.9300000000000002,KNeighbors,13,13,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0024,0.0,0.0018,0.0,90.19,4.89,98.28,1.0999999999999999,LinearSVC,13,13,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1521,0.0006,0.0082,0.0005,94.1,6.45,100.0,0.0,RandomForest,13,13,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0263,0.0015,0.0052,0.0001,90.14,6.18,100.0,0.0,XGB,13,13,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.114,0.0002,0.0019,0.0,92.14,4.46,97.3,1.6,MLP,13,13,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0019,0.0001,94.14,8.02,94.85,1.6,GaussianNB,13,13,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0039,0.0001,92.14,7.580000000000001,94.11,2.02,KNeighbors,14,14,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0024,0.0,0.0018,0.0,86.33,7.89,97.55,1.5,LinearSVC,14,14,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1513,0.0005,0.008,0.0,93.10000000000001,5.64,100.0,0.0,RandomForest,14,14,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0268,0.0016,0.0054,0.0001,87.24,5.71,99.02,0.5499999999999999,XGB,14,14,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1139,0.0003,0.002,0.0001,92.10000000000001,6.76,98.04,1.0999999999999999,MLP,14,14,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0019,0.0,90.10000000000001,7.91,91.67,4.07,GaussianNB,14,14,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0039,0.0001,93.10000000000001,8.33,94.11,2.02,KNeighbors,15,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0024,0.0,0.0018,0.0,89.29,8.73,97.3,1.6,LinearSVC,15,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1525,0.0019,0.0082,0.0005,93.10000000000001,8.33,100.0,0.0,RandomForest,15,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0277,0.0016,0.0055,0.0001,93.19,7.41,99.75,0.5499999999999999,XGB,15,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1144,0.0005,0.0019,0.0,93.10000000000001,8.33,97.3,1.6,MLP,15,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0019,0.0,91.14,8.09,94.12,2.19,GaussianNB,15,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0001,0.0039,0.0001,91.14,6.54,93.87,2.44,KNeighbors,16,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0024,0.0,0.0018,0.0,88.29,6.5600000000000005,98.29,1.39,LinearSVC,16,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1519,0.0005,0.008,0.0,93.10000000000001,5.64,100.0,0.0,RandomForest,16,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0282,0.002,0.0055,0.0,92.14,4.46,100.0,0.0,XGB,16,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1149,0.0004,0.0019,0.0,92.10000000000001,6.76,98.04,1.0999999999999999,MLP,16,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0019,0.0,90.24,11.35,92.4,2.0,GaussianNB,16,15,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0019,0.0001,0.0038,0.0001,92.10000000000001,7.55,93.38,1.87,KNeighbors,17,16,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0024,0.0,0.0018,0.0,84.24000000000001,10.23,97.3,1.83,LinearSVC,17,16,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1536,0.0014,0.0081,0.0005,91.10000000000001,7.3999999999999995,100.0,0.0,RandomForest,17,16,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0281,0.0016,0.0057,0.0001,88.19,5.79,100.0,0.0,XGB,17,16,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1151,0.0003,0.0019,0.0001,91.10000000000001,7.3999999999999995,99.02,0.5499999999999999,MLP,17,16,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0019,0.0,92.10000000000001,7.55,92.65,2.87,GaussianNB,17,16,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0019,0.0001,0.0038,0.0001,93.10000000000001,5.64,94.61,1.38,KNeighbors,18,17,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0024,0.0,0.0019,0.0,90.29,9.17,98.77,1.23,LinearSVC,18,17,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1526,0.0009,0.0084,0.0006,94.1,6.45,100.0,0.0,RandomForest,18,17,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0286,0.0016,0.0059,0.0,89.24,6.4399999999999995,100.0,0.0,XGB,18,17,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.1164,0.0005,0.0019,0.0,94.14,6.460000000000001,99.02,0.5499999999999999,MLP,18,17,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
0.0021,0.0,0.0019,0.0,88.24,5.45,88.97,4.91,GaussianNB,18,17,KGroups_max,Fvalue,False,0:03:19.807224,0:03:21.005238,Prostate_GE
