dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,2,2,93.05,9.94,KNeighbors,KGroups_max,entropy,False,0:03:07.318699,0:03:08.433029
CLL_SUB_111,2,2,57.55,8.72,KNeighbors,KGroups_max,entropy,False,0:03:07.576982,0:03:08.682294
Carcinom,87,80,78.17,5.53,KNeighbors,KGroups_max,entropy,False,0:05:36.954253,0:05:38.763795
GLIOMA,11,11,82.0,10.95,KNeighbors,KGroups_max,entropy,False,0:03:16.850642,0:03:17.987792
GLI_85,2,2,80.0,7.89,KNeighbors,KGroups_max,entropy,False,0:02:53.795456,0:02:54.839839
Prostate_GE,74,69,88.38000000000001,11.14,KNeighbors,KGroups_max,entropy,False,0:03:32.569722,0:03:33.835536
SMK_CAN_187,83,63,72.72999999999999,15.45,KNeighbors,KGroups_max,entropy,False,0:04:27.327058,0:04:28.915608
TOX_171,3,3,52.03,7.739999999999999,KNeighbors,KGroups_max,entropy,False,0:04:04.215122,0:04:05.621265
colon,63,25,85.38,7.07,KNeighbors,KGroups_max,entropy,False,0:02:56.479437,0:02:57.522303
leukemia,97,63,95.81,3.83,KNeighbors,KGroups_max,entropy,False,0:03:07.505987,0:03:08.604565
lung,83,63,93.07,3.29,KNeighbors,KGroups_max,entropy,False,0:04:37.532852,0:04:39.117202
lung_discrete,64,32,90.48,7.52,KNeighbors,KGroups_max,entropy,False,0:03:25.271854,0:03:26.462220
lymphoma,81,36,84.32,8.41,KNeighbors,KGroups_max,entropy,False,0:03:42.069152,0:03:43.344508
nci9,98,58,48.33,3.73,KNeighbors,KGroups_max,entropy,False,0:03:46.298442,0:03:47.565856
