dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,94.57,5.609999999999999,MLP,KGroups_max,variance,False,0:02:46.668909,0:02:47.664577
CLL_SUB_111,10,9,70.28,6.83,MLP,KGroups_max,variance,False,0:03:24.773714,0:03:25.980334
Carcinom,24,11,74.1,8.0,MLP,KGroups_max,variance,False,0:04:17.629802,0:04:19.088632
GLIOMA,9,7,78.0,8.37,MLP,KGroups_max,variance,False,0:02:56.293055,0:02:57.320566
GLI_85,6,6,91.76,9.84,MLP,KGroups_max,variance,False,0:03:01.429877,0:03:02.519258
Prostate_GE,11,11,94.19,5.3100000000000005,MLP,KGroups_max,variance,False,0:03:05.367858,0:03:06.496474
SMK_CAN_187,7,6,63.61,16.5,MLP,KGroups_max,variance,False,0:03:34.005743,0:03:35.301259
TOX_171,7,6,57.879999999999995,9.94,MLP,KGroups_max,variance,False,0:03:51.014547,0:03:52.361180
colon,10,9,84.1,7.380000000000001,MLP,KGroups_max,variance,False,0:02:49.083324,0:02:50.090728
leukemia,6,6,100.0,0.0,MLP,KGroups_max,variance,False,0:02:46.851986,0:02:47.847365
lung,10,8,88.68,2.75,MLP,KGroups_max,variance,False,0:03:47.276371,0:03:48.604780
lung_discrete,8,6,71.05,6.75,MLP,KGroups_max,variance,False,0:03:12.169069,0:03:13.261890
lymphoma,8,6,73.95,8.34,MLP,KGroups_max,variance,False,0:03:24.597245,0:03:25.772216
nci9,13,10,43.33,13.69,MLP,KGroups_max,variance,False,0:03:24.795420,0:03:25.948947
