fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,80.77,8.75,85.89,1.4200000000000002,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0022,0.0,0.0018,0.0,82.17999999999999,9.27,82.25,2.23,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.1452,0.0003,0.0091,0.0005,79.10000000000001,6.72,85.89,1.4200000000000002,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0193,0.0008,0.003,0.0001,79.10000000000001,6.72,84.68,1.09,XGB,2,2,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0915,0.0002,0.0022,0.0,82.17999999999999,9.27,84.67,1.8900000000000001,MLP,2,2,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0,0.0018,0.0,82.17999999999999,9.27,82.25,2.23,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0001,0.0036,0.0001,82.17999999999999,6.79,85.48,1.7399999999999998,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0022,0.0,0.0018,0.0,87.05000000000001,9.49,86.69,1.79,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.1457,0.0003,0.0092,0.0005,83.85000000000001,8.05,90.32,1.7000000000000002,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0197,0.0006,0.0032,0.0001,80.51,13.930000000000001,88.72,0.98,XGB,3,3,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0929,0.0003,0.0022,0.0,87.05000000000001,9.49,87.5,2.17,MLP,3,3,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0,0.0018,0.0,85.50999999999999,9.04,87.5,2.17,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0001,0.0036,0.0001,83.72,8.51,88.3,2.2399999999999998,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0022,0.0,0.0018,0.0,85.50999999999999,9.04,86.69,1.79,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.1462,0.0002,0.0092,0.0005,82.31,6.64,91.13,1.7500000000000002,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0203,0.0008,0.0034,0.0001,78.85,14.01,89.12,1.02,XGB,4,4,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0961,0.0004,0.0022,0.0,85.38,10.93,87.49,2.65,MLP,4,4,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0021,0.0001,0.0018,0.0,85.50999999999999,9.04,87.5,2.17,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0001,0.0036,0.0001,85.26,12.33,90.73,3.63,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0022,0.0,0.0018,0.0,90.13,13.719999999999999,92.32000000000001,3.92,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.1464,0.0003,0.0089,0.0005,80.51,9.48,97.18,1.11,RandomForest,5,5,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0204,0.0007,0.0036,0.0001,82.17999999999999,10.75,93.54,2.9899999999999998,XGB,5,5,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0975,0.0005,0.0022,0.0001,88.59,13.84,94.74000000000001,2.34,MLP,5,5,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0021,0.0,0.0018,0.0,90.13,18.08,91.53,2.63,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0001,0.0036,0.0001,85.26,16.009999999999998,90.33,3.25,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0023,0.0,0.0018,0.0,85.38,12.42,91.92,3.52,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.1464,0.0002,0.009,0.0006,86.92,12.770000000000001,98.79,1.0999999999999999,RandomForest,6,6,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0215,0.0008,0.0038,0.0001,85.38,12.42,95.16,2.29,XGB,6,6,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0986,0.0005,0.0023,0.0,86.92,13.88,96.77,1.13,MLP,6,6,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0021,0.0,0.0018,0.0,83.85000000000001,16.53,89.5,3.05,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.002,0.0001,0.0036,0.0001,85.50999999999999,17.03,89.92,3.74,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0023,0.0,0.0018,0.0,90.0,14.91,94.74000000000001,2.34,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.1466,0.0002,0.0093,0.0005,83.85000000000001,8.05,98.79,1.0999999999999999,RandomForest,7,7,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.022,0.0008,0.0041,0.0001,85.38,12.42,96.77,1.13,XGB,7,7,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
0.0995,0.001,0.0023,0.0001,86.79,17.330000000000002,96.78,1.0999999999999999,MLP,7,7,KGroups_max++,gini_importance,False,0:03:04.455298,0:03:05.527526,colon
