fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0,0.0041,0.0001,65.77,9.379999999999999,77.47,1.82,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0023,0.0001,0.0017,0.0,63.91,10.82,67.57,2.18,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1515,0.0005,0.0091,0.0001,62.96000000000001,10.16,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0478,0.0024,0.003,0.0001,57.63,7.049999999999999,100.0,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1061,0.0007,0.002,0.0,66.64,9.51,74.55000000000001,2.17,MLP,2,2,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0021,0.0,0.0018,0.0,57.589999999999996,9.71,63.959999999999994,4.07,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,73.95,10.51,83.1,3.2199999999999998,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0023,0.0,0.0017,0.0,75.64999999999999,10.52,76.8,2.67,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1517,0.0005,0.0091,0.0,71.11,11.99,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0468,0.0027,0.0032,0.0001,67.51,12.34,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1104,0.0004,0.002,0.0,73.91,11.62,79.72,3.25,MLP,3,3,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0021,0.0,0.0018,0.0,66.64,10.54,71.16,2.68,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,74.82,8.01,81.3,3.45,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0023,0.0,0.0017,0.0,78.3,6.13,80.17,2.5700000000000003,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1539,0.0004,0.0091,0.0,71.23,4.65,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0468,0.0013,0.0034,0.0001,66.67999999999999,13.03,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1118,0.0002,0.002,0.0001,73.79,8.34,85.36,1.41,MLP,4,4,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0021,0.0,0.0018,0.0,59.37,13.5,75.89,2.55,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,77.42999999999999,13.320000000000002,81.53,3.6999999999999997,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0023,0.0,0.0018,0.0,74.7,4.42,77.48,3.18,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.155,0.0006,0.009,0.0,75.64999999999999,6.97,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0483,0.0013,0.0036,0.0001,77.42999999999999,7.32,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1127,0.0002,0.002,0.0,79.25,6.2,83.56,2.0500000000000003,MLP,5,5,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0021,0.0,0.0018,0.0,71.98,9.53,74.77000000000001,2.4299999999999997,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,64.94,8.21,79.51,3.39,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0024,0.0,0.0018,0.0,73.04,6.710000000000001,79.05,2.6,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1549,0.0007,0.0084,0.0006,71.11,7.13,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0502,0.0017,0.0038,0.0,67.51,7.7,100.0,0.0,XGB,6,6,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1138,0.0003,0.002,0.0,72.09,5.74,86.92999999999999,1.92,MLP,6,6,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0021,0.0,0.0018,0.0,64.74,10.18,71.16,3.05,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,70.16,12.879999999999999,78.14999999999999,3.05,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0024,0.0,0.0018,0.0,77.42999999999999,9.2,83.55,2.11,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1551,0.0005,0.0091,0.0,73.75,8.959999999999999,100.0,0.0,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.0492,0.0026,0.004,0.0001,73.72,10.530000000000001,100.0,0.0,XGB,7,7,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
0.1139,0.0003,0.002,0.0001,70.16,7.920000000000001,87.16000000000001,1.03,MLP,7,7,KGroups_max,gini_importance,False,0:03:55.689169,0:03:57.054914,CLL_SUB_111
