fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,77.64999999999999,7.670000000000001,85.59,1.92,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.0022,0.0,0.0018,0.0,81.17999999999999,6.4399999999999995,85.59,2.18,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.1485,0.0002,0.0088,0.0005,85.88,6.710000000000001,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.0203,0.0004,0.003,0.0001,83.53,4.92,98.53,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.0981,0.0004,0.002,0.0,84.71,6.710000000000001,86.18,1.68,MLP,2,2,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.002,0.0,0.0018,0.0,82.35,8.32,84.11999999999999,1.92,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.002,0.0001,0.0037,0.0001,89.41,7.670000000000001,93.24,0.8099999999999999,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.0022,0.0,0.0018,0.0,87.06,2.63,89.71000000000001,2.08,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.1486,0.0006,0.0091,0.0,91.75999999999999,7.89,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.0199,0.0007,0.0032,0.0001,90.59,5.26,99.11999999999999,0.8099999999999999,XGB,3,3,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.1,0.0003,0.002,0.0001,89.41,4.92,95.0,0.8099999999999999,MLP,3,3,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.002,0.0,0.0018,0.0,88.24,4.16,88.82,1.68,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
0.002,0.0001,0.0039,0.0001,85.88,3.2199999999999998,87.06,1.23,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:16.714210,0:03:17.889415,GLI_85
