fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0035,0.0001,80.25999999999999,16.48,83.85000000000001,3.5700000000000003,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.0022,0.0,0.0018,0.0,83.59,14.62,83.85000000000001,3.5700000000000003,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.145,0.0003,0.0085,0.0006,78.59,18.490000000000002,85.47,2.71,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.0193,0.0013,0.003,0.0001,78.72,15.39,85.47,2.71,XGB,2,2,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.0893,0.0003,0.0019,0.0,83.59,14.62,84.65,3.5000000000000004,MLP,2,2,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.002,0.0,0.0018,0.0,83.59,14.62,85.47,2.71,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.002,0.0001,0.0035,0.0001,78.85,14.01,87.49,3.06,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.0022,0.0,0.0018,0.0,74.36,13.13,79.44,4.33,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.1457,0.0002,0.0083,0.0006,83.46000000000001,16.75,92.73,2.36,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.02,0.0008,0.0032,0.0001,85.13,13.77,90.71000000000001,2.37,XGB,3,3,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.092,0.0002,0.0019,0.0,85.13,13.77,90.71000000000001,2.37,MLP,3,3,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.002,0.0,0.0018,0.0,82.17999999999999,10.75,88.29,3.1,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.002,0.0001,0.0035,0.0001,83.59,10.22,88.29,1.79,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
0.0022,0.0,0.0018,0.0,83.72,8.51,84.26,2.71,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:02.056883,0:03:03.125127,colon
