fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0044,0.0001,56.74,10.39,71.78999999999999,3.0300000000000002,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0024,0.0,0.0018,0.0001,41.48,7.24,52.33,2.71,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1563,0.0003,0.0096,0.0001,54.97,4.37,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0772,0.0037,0.0038,0.0001,51.459999999999994,7.920000000000001,100.0,0.0,XGB,2,2,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1273,0.0001,0.0024,0.0001,47.36,6.93,61.4,2.3,MLP,2,2,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0018,0.0,49.7,10.72,60.089999999999996,1.09,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.002,0.0001,0.0044,0.0001,52.07000000000001,4.1000000000000005,73.54,1.1400000000000001,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0024,0.0,0.0018,0.0001,50.870000000000005,2.46,58.63,1.11,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1563,0.0002,0.0096,0.0,56.74,6.5600000000000005,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0767,0.0032,0.004,0.0001,56.120000000000005,6.05,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1304,0.0006,0.0024,0.0,52.669999999999995,7.5,64.03999999999999,2.21,MLP,3,3,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0018,0.0,57.36,5.08,63.74999999999999,2.53,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.002,0.0001,0.0044,0.0001,48.52,9.06,70.47,1.67,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0025,0.0,0.0018,0.0001,43.26,6.88,57.599999999999994,2.03,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1628,0.0004,0.0096,0.0,55.58,4.93,100.0,0.0,RandomForest,4,4,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0778,0.0022,0.0041,0.0001,59.08,4.4799999999999995,100.0,0.0,XGB,4,4,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1334,0.0003,0.0024,0.0,46.760000000000005,8.08,65.5,2.55,MLP,4,4,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0001,0.0018,0.0,51.459999999999994,9.42,65.06,1.17,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,50.970000000000006,12.22,76.18,3.3099999999999996,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0025,0.0001,0.0019,0.0,47.36,9.55,60.96,1.77,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1621,0.0002,0.0096,0.0001,52.1,10.12,100.0,0.0,RandomForest,5,5,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.076,0.0019,0.0043,0.0001,55.61000000000001,8.18,100.0,0.0,XGB,5,5,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1359,0.0003,0.0024,0.0,48.57,8.67,70.77,2.8400000000000003,MLP,5,5,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0018,0.0,55.059999999999995,9.16,63.46000000000001,3.36,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.002,0.0001,0.0044,0.0001,44.47,5.48,66.66,2.6100000000000003,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0026,0.0,0.0019,0.0,50.27,7.359999999999999,63.449999999999996,4.03,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1624,0.0006,0.0096,0.0,54.35,5.220000000000001,100.0,0.0,RandomForest,6,6,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0848,0.0016,0.0045,0.0,53.75,6.74,100.0,0.0,XGB,6,6,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1348,0.0007,0.0025,0.0001,52.05,5.66,74.56,1.03,MLP,6,6,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0018,0.0,56.13,4.2,66.96,2.0,GaussianNB,6,6,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,56.71000000000001,8.77,76.75,1.73,KNeighbors,7,7,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0027,0.0001,0.0018,0.0,59.06,6.260000000000001,72.07000000000001,2.44,LinearSVC,7,7,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1623,0.0004,0.0096,0.0001,61.39,11.110000000000001,100.0,0.0,RandomForest,7,7,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0829,0.0026,0.0047,0.0001,56.74,10.79,100.0,0.0,XGB,7,7,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1369,0.0006,0.0025,0.0001,56.169999999999995,7.24,81.43,1.47,MLP,7,7,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0018,0.0,57.38999999999999,9.9,67.84,2.8000000000000003,GaussianNB,7,7,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,52.03,5.45,72.66,1.5,KNeighbors,8,8,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0028,0.0001,0.0019,0.0001,59.08,8.98,69.3,2.42,LinearSVC,8,8,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1621,0.0008,0.0096,0.0001,60.86,11.67,100.0,0.0,RandomForest,8,8,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0843,0.0051,0.0049,0.0001,59.040000000000006,13.86,100.0,0.0,XGB,8,8,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1387,0.0002,0.0024,0.0001,59.11,9.22,81.28999999999999,1.9300000000000002,MLP,8,8,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0019,0.0,56.220000000000006,8.64,68.27,2.12,GaussianNB,8,8,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,46.239999999999995,5.57,81.28999999999999,0.67,KNeighbors,9,9,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0028,0.0001,0.0018,0.0,56.169999999999995,6.619999999999999,71.64,2.36,LinearSVC,9,9,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.168,0.0004,0.0096,0.0,57.379999999999995,11.07,100.0,0.0,RandomForest,9,9,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.085,0.0043,0.0051,0.0001,57.97,12.17,100.0,0.0,XGB,9,9,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1394,0.0003,0.0024,0.0,56.13,2.9899999999999998,85.24000000000001,1.78,MLP,9,9,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0019,0.0,62.08,9.27,70.91,2.93,GaussianNB,9,9,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,49.18,12.920000000000002,82.45,1.8800000000000001,KNeighbors,10,10,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0029,0.0001,0.0018,0.0,54.400000000000006,7.21,72.81,2.4,LinearSVC,10,10,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1676,0.0008,0.0095,0.0002,63.74999999999999,7.9,100.0,0.0,RandomForest,10,10,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0846,0.002,0.0054,0.0001,63.23,10.31,100.0,0.0,XGB,10,10,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1409,0.0001,0.0025,0.0,57.36,9.75,88.6,1.5,MLP,10,10,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0001,0.0019,0.0,57.38999999999999,10.530000000000001,69.01,2.58,GaussianNB,10,10,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,48.52,2.93,75.14,1.7500000000000002,KNeighbors,11,11,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.003,0.0001,0.0019,0.0001,49.75,10.38,72.95,2.29,LinearSVC,11,11,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1675,0.0005,0.0096,0.0,60.27,6.4399999999999995,100.0,0.0,RandomForest,11,11,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0891,0.0018,0.0056,0.0,62.0,9.68,100.0,0.0,XGB,11,11,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1416,0.0007,0.0024,0.0001,53.21,9.55,88.16000000000001,2.59,MLP,11,11,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0019,0.0,59.68,5.29,71.06,3.2399999999999998,GaussianNB,11,11,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0045,0.0001,45.629999999999995,4.12,78.22,1.04,KNeighbors,12,12,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.003,0.0,0.0019,0.0001,52.66,8.21,75.73,2.48,LinearSVC,12,12,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1676,0.0004,0.0096,0.0,57.379999999999995,10.67,100.0,0.0,RandomForest,12,12,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0906,0.002,0.0058,0.0,50.870000000000005,9.84,100.0,0.0,XGB,12,12,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1404,0.0003,0.0024,0.0001,51.449999999999996,4.63,89.91,1.7500000000000002,MLP,12,12,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0,0.0019,0.0,60.3,8.93,72.81,3.0,GaussianNB,12,12,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0021,0.0001,0.0046,0.0001,48.55,5.08,81.28999999999999,2.42,KNeighbors,13,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0032,0.0001,0.0019,0.0001,55.04,10.209999999999999,78.51,3.55,LinearSVC,13,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1675,0.0005,0.0096,0.0001,64.96,9.71,100.0,0.0,RandomForest,13,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0932,0.0016,0.006,0.0001,62.050000000000004,11.97,100.0,0.0,XGB,13,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.142,0.0003,0.0025,0.0,51.480000000000004,5.88,92.99,1.7500000000000002,MLP,13,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0023,0.0,0.0019,0.0,50.39,9.58,69.74000000000001,3.61,GaussianNB,13,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0022,0.0001,0.0046,0.0001,53.73,7.430000000000001,79.67999999999999,1.8499999999999999,KNeighbors,14,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.0032,0.0001,0.0018,0.0,53.21,8.6,79.39,2.29,LinearSVC,14,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.1679,0.0003,0.0096,0.0001,61.980000000000004,9.54,100.0,0.0,RandomForest,14,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
0.095,0.0034,0.006,0.0001,55.55,8.459999999999999,100.0,0.0,XGB,14,13,KGroups_max++,Fvalue,False,0:04:57.446488,0:04:59.022945,TOX_171
