fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,48.79,9.44,48.46,8.43,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0024,0.0,0.0018,0.0001,55.11000000000001,7.64,57.29,1.6,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1466,0.0003,0.0093,0.0,53.0,7.21,58.330000000000005,1.83,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0758,0.0025,0.0037,0.0001,53.0,7.21,58.330000000000005,1.83,XGB,2,2,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1043,0.0003,0.0024,0.0,53.0,7.21,58.330000000000005,1.83,MLP,2,2,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0024,0.0,0.0019,0.0,25.840000000000003,13.56,32.81,9.76,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.002,0.0001,0.0038,0.0001,60.529999999999994,8.73,71.09,2.19,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0025,0.0,0.0019,0.0,58.32000000000001,3.84,65.36,2.78,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1481,0.0002,0.0094,0.0,65.68,10.59,78.64999999999999,1.68,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0801,0.0008,0.004,0.0001,64.63,8.309999999999999,78.64999999999999,1.68,XGB,3,3,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1086,0.0002,0.0023,0.0001,59.37,5.75,73.19,4.109999999999999,MLP,3,3,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0024,0.0,0.0019,0.0,55.16,3.54,59.68,10.39,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.002,0.0001,0.0038,0.0001,55.21,9.49,63.27,4.02,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0026,0.0001,0.0019,0.0,62.419999999999995,4.99,69.53,4.390000000000001,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1491,0.0004,0.0094,0.0,59.47,6.859999999999999,78.38000000000001,3.18,RandomForest,4,4,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0875,0.0034,0.0042,0.0001,56.21000000000001,6.25,77.60000000000001,2.85,XGB,4,4,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1106,0.0002,0.0024,0.0,64.63,5.24,70.30999999999999,1.79,MLP,4,4,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0024,0.0,0.0019,0.0,43.89,15.5,54.67999999999999,7.9799999999999995,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.002,0.0001,0.0038,0.0001,63.470000000000006,6.800000000000001,73.17,3.4799999999999995,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0026,0.0,0.0019,0.0,64.53,4.82,73.45,2.5700000000000003,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1499,0.0002,0.0095,0.0,69.74000000000001,7.090000000000001,88.8,2.21,RandomForest,5,5,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.084,0.0022,0.0044,0.0001,68.67999999999999,11.93,86.98,2.08,XGB,5,5,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.1129,0.0003,0.0024,0.0,63.580000000000005,6.069999999999999,80.73,0.62,MLP,5,5,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0024,0.0,0.0019,0.0,57.32000000000001,16.27,65.61,5.74,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.002,0.0001,0.0038,0.0001,60.419999999999995,10.85,78.38000000000001,2.19,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
0.0027,0.0,0.0019,0.0,59.419999999999995,9.8,80.74,3.3099999999999996,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:03:57.860879,0:03:59.119395,lymphoma
