fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0041,0.0001,93.05,4.72,93.06,1.24,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0025,0.0,0.0019,0.0,93.05,6.909999999999999,94.8,2.12,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.1483,0.0004,0.0098,0.0001,94.48,5.64,95.84,1.55,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0186,0.001,0.004,0.0001,93.05,4.72,95.14,1.47,XGB,2,2,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0954,0.0003,0.0026,0.0,93.05,6.909999999999999,94.8,2.12,MLP,2,2,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0022,0.0001,0.0019,0.0,93.05,6.909999999999999,94.45,1.4500000000000002,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0023,0.0001,0.0041,0.0001,94.57,8.709999999999999,97.92,1.44,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0025,0.0001,0.0019,0.0,96.0,8.94,98.61,0.77,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.1489,0.0003,0.0095,0.0005,94.57,8.709999999999999,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0197,0.0008,0.0042,0.0001,93.14,9.6,96.53,1.72,XGB,3,3,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0969,0.0004,0.0026,0.0,96.0,8.94,98.61,0.77,MLP,3,3,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0022,0.0001,0.0019,0.0,97.33000000000001,5.96,96.17999999999999,1.4500000000000002,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
0.0022,0.0001,0.0041,0.0001,97.33000000000001,5.96,97.23,1.55,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:04.697447,0:03:06.007216,leukemia
