dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,94.57,5.609999999999999,KNeighbors,KGroups_max,variance,False,0:02:54.671549,0:02:55.919506
CLL_SUB_111,8,8,70.32000000000001,10.74,KNeighbors,KGroups_max,variance,False,0:03:37.295533,0:03:38.899754
Carcinom,18,11,75.28,3.34,KNeighbors,KGroups_max,variance,False,0:04:30.810121,0:04:32.668303
GLIOMA,5,5,84.0,8.94,KNeighbors,KGroups_max,variance,False,0:03:07.553088,0:03:08.857641
GLI_85,2,2,90.59,5.26,KNeighbors,KGroups_max,variance,False,0:03:12.459927,0:03:13.876445
Prostate_GE,15,13,94.14,6.460000000000001,KNeighbors,KGroups_max,variance,False,0:03:17.184766,0:03:18.685562
SMK_CAN_187,8,7,65.75,12.1,KNeighbors,KGroups_max,variance,False,0:03:46.585375,0:03:48.235428
TOX_171,9,8,54.94,11.05,KNeighbors,KGroups_max,variance,False,0:04:03.036965,0:04:04.745125
colon,5,5,77.69,11.13,KNeighbors,KGroups_max,variance,False,0:02:59.216245,0:03:00.515974
leukemia,5,5,98.67,2.98,KNeighbors,KGroups_max,variance,False,0:02:56.656547,0:02:57.929272
lung,9,8,88.67,4.43,KNeighbors,KGroups_max,variance,False,0:03:58.700210,0:04:00.492310
lung_discrete,6,5,66.95,6.800000000000001,KNeighbors,KGroups_max,variance,False,0:03:23.333409,0:03:24.807845
lymphoma,6,5,67.63,8.9,KNeighbors,KGroups_max,variance,False,0:03:38.110345,0:03:39.723135
nci9,9,8,40.0,14.91,KNeighbors,KGroups_max,variance,False,0:03:37.642700,0:03:39.249397
