fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0034,0.0001,64.0,15.17,81.0,6.75,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0023,0.0,0.0017,0.0,68.0,4.47,74.5,3.26,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.1453,0.0002,0.0093,0.0,62.0,13.04,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0401,0.0007,0.0033,0.0001,72.0,21.68,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0897,0.0003,0.0023,0.0001,64.0,15.17,78.0,4.109999999999999,MLP,2,2,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0021,0.0,0.0018,0.0,64.0,15.17,76.5,5.76,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.002,0.0001,0.0034,0.0001,80.0,7.07,84.5,3.26,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0023,0.0,0.0017,0.0,80.0,7.07,82.5,2.5,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.1455,0.0001,0.0093,0.0001,82.0,8.37,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0385,0.0003,0.0035,0.0001,82.0,8.37,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0896,0.0003,0.0024,0.0,82.0,8.37,84.0,1.37,MLP,3,3,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0021,0.0,0.0018,0.0,78.0,4.47,84.5,2.09,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.002,0.0001,0.0034,0.0001,70.0,12.25,85.0,1.77,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0023,0.0,0.0017,0.0,66.0,15.17,84.5,2.74,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.146,0.0002,0.0093,0.0,64.0,19.49,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0398,0.0007,0.0037,0.0001,72.0,17.89,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0905,0.0002,0.0023,0.0001,66.0,13.420000000000002,86.5,2.2399999999999998,MLP,4,4,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0021,0.0,0.0018,0.0,66.0,16.73,85.0,2.5,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.002,0.0001,0.0034,0.0001,86.0,5.48,85.5,3.71,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0023,0.0,0.0017,0.0,76.0,8.94,90.0,4.33,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.1458,0.0002,0.0093,0.0,78.0,10.95,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0397,0.0003,0.0039,0.0001,78.0,10.95,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0916,0.0001,0.0023,0.0001,80.0,7.07,92.0,2.09,MLP,5,5,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0022,0.0,0.0018,0.0,76.0,11.4,89.5,2.74,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.002,0.0001,0.0034,0.0001,82.0,8.37,84.5,2.09,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0024,0.0,0.0018,0.0,76.0,8.94,91.0,4.18,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.1462,0.0003,0.0093,0.0,74.0,5.48,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0404,0.0006,0.004,0.0001,70.0,17.32,100.0,0.0,XGB,6,6,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0927,0.0002,0.0024,0.0001,78.0,4.47,93.0,3.26,MLP,6,6,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0022,0.0,0.0018,0.0,74.0,8.94,90.5,2.09,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.002,0.0001,0.0034,0.0001,82.0,8.37,90.0,2.5,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0024,0.0,0.0017,0.0,82.0,8.37,95.5,2.74,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.146,0.0003,0.0093,0.0001,84.0,5.48,100.0,0.0,RandomForest,7,7,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0396,0.0013,0.0042,0.0001,78.0,13.04,100.0,0.0,XGB,7,7,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
0.0935,0.0003,0.0024,0.0001,84.0,8.94,97.5,0.0,MLP,7,7,KGroups_max++,gini_importance,False,0:03:19.862762,0:03:20.938573,GLIOMA
