fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0046,0.0001,66.3,10.41,77.13,2.44,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0022,0.0,0.0018,0.0,61.99,10.61,62.96000000000001,2.3,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.1558,0.0004,0.0096,0.0001,71.64,7.02,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0313,0.0008,0.0031,0.0001,69.5,5.86,99.87,0.3,XGB,2,2,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.134,0.0003,0.0023,0.0001,68.95,11.18,72.32,1.5699999999999998,MLP,2,2,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0021,0.0,0.0018,0.0,68.44,11.4,67.65,2.92,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.002,0.0001,0.0046,0.0001,63.580000000000005,9.13,75.8,2.96,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0023,0.0,0.0018,0.0,68.42,13.05,70.86,1.3,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.1554,0.0004,0.0096,0.0,66.74,12.3,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0322,0.0008,0.0035,0.0001,68.35,12.13,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.1405,0.0003,0.0024,0.0,66.27,10.24,74.2,0.9299999999999999,MLP,3,3,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0021,0.0,0.0018,0.0,70.53,11.709999999999999,72.86,2.62,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.002,0.0001,0.0046,0.0001,69.5,4.9399999999999995,76.07000000000001,2.46,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.0023,0.0,0.0018,0.0,71.64,9.700000000000001,71.12,2.08,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.1617,0.0007,0.0096,0.0,68.92,11.25,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.033,0.0009,0.0037,0.0001,69.45,10.97,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
0.1415,0.0001,0.0024,0.0,69.46,8.39,77.94,3.6799999999999997,MLP,4,4,KGroups_max++,gini_importance,False,0:04:22.094692,0:04:23.547384,SMK_CAN_187
