fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0044,0.0001,68.58,10.05,78.16,3.9,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0025,0.0001,0.0018,0.0001,62.96000000000001,11.129999999999999,63.959999999999994,3.16,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.1554,0.0004,0.0099,0.0,67.55,5.08,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0509,0.0023,0.0042,0.0001,68.42,4.859999999999999,100.0,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.1116,0.0004,0.0026,0.0,65.69,9.120000000000001,69.82000000000001,1.92,MLP,2,2,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0023,0.0,0.0019,0.0,62.96000000000001,9.09,63.28,3.61,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0023,0.0001,0.0044,0.0001,64.82,4.17,76.35,1.2,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0026,0.0,0.0018,0.0,64.78,11.540000000000001,67.11,3.02,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.1562,0.0004,0.01,0.0,69.33,9.98,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0521,0.0011,0.0044,0.0001,64.74,12.46,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.1138,0.0006,0.0025,0.0,66.72,10.68,75.68,2.98,MLP,3,3,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0023,0.0001,0.0019,0.0,59.37,10.97,65.53,3.81,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0023,0.0001,0.0045,0.0001,60.36,8.73,73.42999999999999,3.6900000000000004,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0026,0.0001,0.0019,0.0,69.41000000000001,7.89,76.79,4.02,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.1586,0.0007,0.0099,0.0001,69.41000000000001,4.58,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0518,0.0011,0.0046,0.0002,72.96000000000001,5.59,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.1161,0.0003,0.0026,0.0,68.42,7.39,78.38000000000001,2.41,MLP,4,4,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0023,0.0001,0.0019,0.0,66.47999999999999,12.1,67.33,2.9899999999999998,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0024,0.0001,0.0046,0.0001,66.8,12.44,78.83,2.1999999999999997,KNeighbors,5,5,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
0.0026,0.0001,0.0019,0.0001,70.19999999999999,12.43,71.39,4.4799999999999995,LinearSVC,5,5,KGroups_max,gini_importance,False,0:04:07.989286,0:04:09.736135,CLL_SUB_111
