fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0039,0.0001,66.0,13.420000000000002,75.5,2.09,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0025,0.0,0.0018,0.0,66.0,5.48,72.5,1.77,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1501,0.0005,0.0098,0.0,62.0,8.37,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0483,0.0005,0.0041,0.0001,54.0,5.48,98.0,1.1199999999999999,XGB,2,2,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.093,0.0001,0.0025,0.0,68.0,4.47,74.5,2.74,MLP,2,2,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,68.0,10.95,76.0,4.54,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0022,0.0001,0.0039,0.0001,57.99999999999999,13.04,79.0,7.199999999999999,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0025,0.0,0.0018,0.0,46.0,13.420000000000002,70.0,5.0,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1502,0.0002,0.0098,0.0,62.0,8.37,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0447,0.0011,0.0044,0.0001,70.0,12.25,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0939,0.0003,0.0025,0.0001,56.00000000000001,15.17,83.0,7.79,MLP,3,3,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,56.00000000000001,11.4,78.0,4.81,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0001,0.0039,0.0001,68.0,13.04,72.0,2.09,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0025,0.0001,0.0018,0.0,60.0,7.07,74.0,4.87,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1508,0.0003,0.0098,0.0,62.0,13.04,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0469,0.0006,0.0045,0.0001,57.99999999999999,10.95,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0942,0.0002,0.0025,0.0001,57.99999999999999,8.37,78.0,3.26,MLP,4,4,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,72.0,10.95,75.5,2.09,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0022,0.0001,0.0039,0.0001,66.0,19.49,84.0,4.87,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0026,0.0001,0.0018,0.0,54.0,19.49,77.5,3.06,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.151,0.0002,0.0098,0.0,68.0,13.04,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0436,0.0005,0.0048,0.0001,68.0,16.43,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0959,0.0004,0.0025,0.0,68.0,19.24,95.0,1.77,MLP,5,5,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,70.0,15.809999999999999,89.0,6.2700000000000005,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0022,0.0001,0.0038,0.0001,62.0,4.47,78.0,5.970000000000001,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0026,0.0,0.0019,0.0,70.0,0.0,84.5,3.71,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1512,0.0004,0.0098,0.0,66.0,8.94,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0459,0.0006,0.005,0.0001,62.0,8.37,100.0,0.0,XGB,6,6,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0974,0.0005,0.0026,0.0001,66.0,5.48,91.5,2.2399999999999998,MLP,6,6,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0024,0.0001,0.0019,0.0,66.0,11.4,86.0,5.18,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0001,0.0039,0.0001,70.0,10.0,80.0,1.77,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0026,0.0,0.0018,0.0,72.0,4.47,87.0,3.26,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1505,0.0003,0.0098,0.0001,78.0,8.37,100.0,0.0,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0438,0.0008,0.0051,0.0001,74.0,8.94,100.0,0.0,XGB,7,7,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0964,0.0002,0.0026,0.0001,74.0,5.48,92.5,2.5,MLP,7,7,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,74.0,11.4,89.5,2.74,GaussianNB,7,7,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0022,0.0001,0.0037,0.0001,68.0,8.37,76.0,2.2399999999999998,KNeighbors,8,8,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0026,0.0,0.0018,0.0,68.0,14.829999999999998,91.5,2.85,LinearSVC,8,8,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1501,0.0003,0.0097,0.0001,70.0,14.14,100.0,0.0,RandomForest,8,8,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0453,0.0007,0.0052,0.0001,64.0,8.94,100.0,0.0,XGB,8,8,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0965,0.0002,0.0025,0.0,78.0,14.829999999999998,96.0,2.2399999999999998,MLP,8,8,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,76.0,5.48,86.0,3.7900000000000005,GaussianNB,8,8,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0021,0.0001,0.0037,0.0001,62.0,8.37,79.0,3.7900000000000005,KNeighbors,9,9,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0025,0.0001,0.0018,0.0001,56.00000000000001,15.17,90.5,2.74,LinearSVC,9,9,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1507,0.0001,0.0096,0.0001,66.0,8.94,100.0,0.0,RandomForest,9,9,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.045,0.0011,0.0053,0.0001,70.0,14.14,100.0,0.0,XGB,9,9,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0972,0.0002,0.0024,0.0001,60.0,14.14,97.5,1.77,MLP,9,9,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,62.0,16.43,75.5,6.94,GaussianNB,9,9,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0021,0.0001,0.0036,0.0001,60.0,18.709999999999997,80.5,5.42,KNeighbors,10,10,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0025,0.0,0.0019,0.0001,60.0,10.0,94.0,3.35,LinearSVC,10,10,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1501,0.0004,0.0095,0.0,74.0,8.94,100.0,0.0,RandomForest,10,10,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0434,0.0013,0.0052,0.0,80.0,10.0,100.0,0.0,XGB,10,10,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0963,0.0002,0.0025,0.0,76.0,11.4,100.0,0.0,MLP,10,10,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,70.0,12.25,92.0,3.26,GaussianNB,10,10,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0021,0.0001,0.0035,0.0001,74.0,16.73,84.5,6.94,KNeighbors,11,11,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0025,0.0,0.0018,0.0001,60.0,12.25,97.0,1.1199999999999999,LinearSVC,11,11,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1501,0.0004,0.0095,0.0,54.0,5.48,100.0,0.0,RandomForest,11,11,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0452,0.0022,0.0054,0.0001,60.0,10.0,100.0,0.0,XGB,11,11,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0977,0.0002,0.0025,0.0,70.0,7.07,100.0,0.0,MLP,11,11,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0,0.0019,0.0,57.99999999999999,10.95,89.5,4.109999999999999,GaussianNB,11,11,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0021,0.0001,0.0036,0.0001,64.0,11.4,79.0,2.2399999999999998,KNeighbors,12,12,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0026,0.0,0.0019,0.0001,60.0,7.07,93.0,2.09,LinearSVC,12,12,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.15,0.0006,0.0095,0.0,72.0,8.37,100.0,0.0,RandomForest,12,12,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0452,0.0012,0.0053,0.0001,76.0,8.94,100.0,0.0,XGB,12,12,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0991,0.0005,0.0025,0.0002,70.0,12.25,99.5,1.1199999999999999,MLP,12,12,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0024,0.0001,0.002,0.0,68.0,8.37,90.5,2.09,GaussianNB,12,12,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0022,0.0001,0.0038,0.0001,76.0,5.48,82.0,3.71,KNeighbors,13,13,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0029,0.0001,0.002,0.0001,68.0,13.04,98.5,1.37,LinearSVC,13,13,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.152,0.0002,0.0098,0.0,68.0,10.95,100.0,0.0,RandomForest,13,13,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0491,0.0016,0.0065,0.0001,57.99999999999999,10.95,100.0,0.0,XGB,13,13,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0995,0.0003,0.0026,0.0001,72.0,13.04,100.0,0.0,MLP,13,13,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0024,0.0,0.002,0.0,68.0,23.87,85.5,3.26,GaussianNB,13,13,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0023,0.0001,0.004,0.0001,76.0,5.48,83.5,3.7900000000000005,KNeighbors,14,14,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0028,0.0,0.0019,0.0001,57.99999999999999,14.829999999999998,99.0,1.37,LinearSVC,14,14,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.1519,0.0003,0.0097,0.0006,70.0,12.25,100.0,0.0,RandomForest,14,14,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0481,0.0007,0.0067,0.0001,78.0,8.37,100.0,0.0,XGB,14,14,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0998,0.0003,0.0026,0.0,68.0,10.95,100.0,0.0,MLP,14,14,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
0.0024,0.0,0.002,0.0,68.0,8.37,91.5,2.2399999999999998,GaussianNB,14,14,KGroups_max,gini_importance,False,0:03:27.638383,0:03:29.134537,GLIOMA
