fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.004,0.0001,56.10000000000001,4.37,61.650000000000006,1.7999999999999998,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0026,0.0001,0.0018,0.0,53.33,4.08,57.87,1.08,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1488,0.0004,0.0097,0.0,56.10000000000001,4.37,62.33,1.27,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0752,0.0012,0.0043,0.0001,58.86,4.97,62.33,1.27,XGB,2,2,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0996,0.0004,0.0025,0.0001,51.81,8.61,61.3,0.75,MLP,2,2,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0025,0.0,0.002,0.0,58.76,6.02,59.230000000000004,2.1399999999999997,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0022,0.0001,0.004,0.0001,49.14,12.139999999999999,61.980000000000004,3.1399999999999997,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0026,0.0001,0.0019,0.0001,64.48,10.9,68.49,1.96,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1499,0.0003,0.0098,0.0001,60.29,5.36,72.27,2.42,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0776,0.0016,0.0044,0.0001,60.19,7.720000000000001,72.27,2.42,XGB,3,3,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1017,0.0002,0.0025,0.0,61.519999999999996,6.75,71.23,1.39,MLP,3,3,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0024,0.0001,0.0019,0.0,53.43,8.92,57.84,4.82,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0021,0.0001,0.0039,0.0001,64.29,6.260000000000001,71.94,3.0700000000000003,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0026,0.0,0.0018,0.0001,64.29,8.25,70.19,4.68,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1507,0.0004,0.0095,0.0005,67.24,6.65,90.41,1.49,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0769,0.0016,0.0047,0.0001,72.67,7.920000000000001,88.36,1.4200000000000002,XGB,4,4,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1051,0.0004,0.0025,0.0001,68.57,11.450000000000001,82.53,2.82,MLP,4,4,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0025,0.0,0.002,0.0,63.13999999999999,6.859999999999999,70.86,5.55,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0023,0.0001,0.0041,0.0001,69.81,7.84,78.39,5.24,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0027,0.0,0.0019,0.0001,67.05,3.71,78.75,3.25,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1514,0.0003,0.0099,0.0001,67.05,3.71,91.44,1.2,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0791,0.0027,0.0049,0.0001,64.19,10.9,91.44,1.2,XGB,5,5,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1064,0.0003,0.0026,0.0,69.52000000000001,12.540000000000001,86.29,1.78,MLP,5,5,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0025,0.0001,0.002,0.0,60.29,8.93,66.03999999999999,11.16,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0023,0.0001,0.004,0.0001,61.62,6.0600000000000005,77.05,1.6400000000000001,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0028,0.0,0.002,0.0001,64.57000000000001,14.42,80.47,1.6099999999999999,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1519,0.0001,0.0099,0.0001,62.949999999999996,10.65,93.5,1.38,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0792,0.0009,0.0051,0.0001,56.19,10.5,93.5,1.38,XGB,6,6,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1068,0.0007,0.0026,0.0001,64.38000000000001,12.41,90.41,0.88,MLP,6,6,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0025,0.0001,0.002,0.0001,67.14,8.95,71.89,8.58,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0023,0.0001,0.0041,0.0001,65.62,7.489999999999999,74.97,7.04,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0028,0.0,0.0019,0.0001,71.14,9.06,84.25,1.77,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1515,0.0009,0.0098,0.0001,71.05,8.23,100.0,0.0,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0738,0.0023,0.0053,0.0001,65.71000000000001,7.03,100.0,0.0,XGB,7,7,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1078,0.0005,0.0026,0.0001,72.48,10.24,96.23,1.4500000000000002,MLP,7,7,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0025,0.0001,0.002,0.0001,62.949999999999996,7.9,79.06,8.67,GaussianNB,7,7,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0022,0.0001,0.004,0.0001,67.05,7.84,75.7,3.17,KNeighbors,8,8,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0029,0.0,0.0019,0.0001,62.86000000000001,5.220000000000001,78.08,0.7100000000000001,LinearSVC,8,8,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1516,0.0004,0.0098,0.0001,65.62,7.489999999999999,98.97,0.9400000000000001,RandomForest,8,8,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0777,0.0008,0.0055,0.0001,61.62,7.68,98.97,0.9400000000000001,XGB,8,8,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1084,0.0003,0.0026,0.0001,62.86000000000001,9.69,96.23,2.2399999999999998,MLP,8,8,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0025,0.0,0.002,0.0,58.86,7.08,78.08,4.74,GaussianNB,8,8,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0023,0.0001,0.0041,0.0001,69.62,15.260000000000002,79.44,1.81,KNeighbors,9,9,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0029,0.0,0.0019,0.0,69.71000000000001,4.96,87.33,2.6100000000000003,LinearSVC,9,9,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1518,0.0004,0.0098,0.0001,65.62,5.82,97.95,1.43,RandomForest,9,9,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0743,0.001,0.0057,0.0001,65.52,8.12,97.95,1.43,XGB,9,9,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.109,0.0007,0.0026,0.0,71.14,6.13,95.89999999999999,1.51,MLP,9,9,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0026,0.0,0.002,0.0,61.24000000000001,14.790000000000001,83.27,9.01,GaussianNB,9,9,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0023,0.0001,0.0041,0.0001,75.33,6.01,81.87,2.94,KNeighbors,10,10,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0029,0.0,0.0019,0.0,72.76,9.120000000000001,91.78,2.55,LinearSVC,10,10,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1521,0.0003,0.0098,0.0,68.57,2.6100000000000003,100.0,0.0,RandomForest,10,10,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0751,0.0005,0.006,0.0001,71.14,6.13,100.0,0.0,XGB,10,10,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.1091,0.0004,0.0026,0.0,79.24,8.97,96.92,1.44,MLP,10,10,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0026,0.0,0.0021,0.0,69.89999999999999,8.9,85.24000000000001,5.2,GaussianNB,10,10,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
0.0022,0.0001,0.004,0.0001,75.24,8.0,81.15,2.22,KNeighbors,11,11,KGroups_max,gini_importance,False,0:03:42.807906,0:03:44.455533,lung_discrete
