fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0043,0.0001,50.160000000000004,9.53,58.34,4.33,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0027,0.0,0.0019,0.0001,60.419999999999995,4.5600000000000005,60.68,1.4200000000000002,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1513,0.0006,0.0098,0.0,54.32,8.0,63.29,1.51,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0815,0.0027,0.0044,0.0001,54.26,5.66,63.29,1.51,XGB,2,2,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1082,0.0003,0.0025,0.0001,54.26,5.66,62.77,1.78,MLP,2,2,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0026,0.0,0.0021,0.0,53.53,21.86,54.93,7.199999999999999,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0023,0.0001,0.0043,0.0001,47.05,11.73,62.25000000000001,3.2300000000000004,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0027,0.0001,0.0019,0.0,53.16,4.71,63.800000000000004,1.46,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1532,0.0003,0.0099,0.0001,50.11,8.57,68.23,3.08,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0877,0.0022,0.0046,0.0001,49.16,12.709999999999999,68.23,3.08,XGB,3,3,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1112,0.0002,0.0025,0.0001,54.26,7.7299999999999995,65.89,2.87,MLP,3,3,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0026,0.0,0.002,0.0,37.79,19.67,50.77,9.26,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0023,0.0001,0.0043,0.0001,53.21,9.86,66.92,3.42,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0029,0.0001,0.002,0.0001,58.42,7.539999999999999,67.71000000000001,2.78,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1536,0.0004,0.0099,0.0001,53.16,10.91,80.99,2.15,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0919,0.0032,0.0048,0.0001,52.16,11.49,80.73,1.66,XGB,4,4,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1134,0.0003,0.0025,0.0,56.32,9.04,72.92,2.79,MLP,4,4,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0026,0.0,0.002,0.0,40.949999999999996,18.970000000000002,56.74,8.28,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0023,0.0001,0.0042,0.0001,67.78999999999999,8.110000000000001,74.49,3.29,KNeighbors,5,5,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0028,0.0001,0.002,0.0,68.89,8.91,77.62,3.1399999999999997,LinearSVC,5,5,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1532,0.0002,0.0098,0.0,62.629999999999995,7.539999999999999,91.41,2.68,RandomForest,5,5,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.09,0.0024,0.0048,0.0001,62.580000000000005,6.08,89.59,2.73,XGB,5,5,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.116,0.0003,0.0025,0.0001,67.84,7.6499999999999995,83.61,3.3300000000000005,MLP,5,5,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0025,0.0001,0.002,0.0,45.0,15.58,58.099999999999994,6.660000000000001,GaussianNB,5,5,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0021,0.0001,0.004,0.0001,55.32,10.12,75.02,4.8,KNeighbors,6,6,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0029,0.0,0.0019,0.0,62.580000000000005,8.04,80.74,3.3099999999999996,LinearSVC,6,6,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1526,0.0002,0.0097,0.0,61.629999999999995,12.2,93.49,1.59,RandomForest,6,6,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0889,0.0024,0.0049,0.0,60.629999999999995,13.98,93.49,1.59,XGB,6,6,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.117,0.0008,0.0026,0.0001,59.419999999999995,5.18,85.69,2.86,MLP,6,6,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0025,0.0,0.002,0.0,48.16,18.029999999999998,68.51,6.98,GaussianNB,6,6,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0021,0.0001,0.004,0.0001,70.84,2.67,81.77,3.7699999999999996,KNeighbors,7,7,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0029,0.0,0.002,0.0,66.84,15.299999999999999,86.46000000000001,2.1399999999999997,LinearSVC,7,7,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1523,0.0001,0.0096,0.0,71.05,14.649999999999999,97.39999999999999,0.91,RandomForest,7,7,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0857,0.0033,0.005,0.0001,66.95,16.39,96.61999999999999,1.47,XGB,7,7,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1182,0.0007,0.0025,0.0001,71.95,5.38,93.49,1.28,MLP,7,7,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0025,0.0,0.002,0.0,62.79,20.32,78.89,5.09,GaussianNB,7,7,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0021,0.0001,0.0039,0.0001,67.74,8.459999999999999,74.47,2.8000000000000003,KNeighbors,8,8,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0029,0.0001,0.0019,0.0,67.84,14.99,86.47,2.12,LinearSVC,8,8,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.153,0.0004,0.0096,0.0,72.95,7.62,99.22,0.7100000000000001,RandomForest,8,8,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0867,0.0026,0.0051,0.0001,68.84,18.33,99.22,0.7100000000000001,XGB,8,8,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1178,0.0002,0.0025,0.0,65.74,12.68,94.54,1.68,MLP,8,8,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0025,0.0,0.002,0.0,51.32,17.7,74.21,1.53,GaussianNB,8,8,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0021,0.0001,0.0039,0.0001,80.32000000000001,7.23,88.28,1.27,KNeighbors,9,9,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.003,0.0001,0.0019,0.0001,78.16,7.6499999999999995,96.35000000000001,0.59,LinearSVC,9,9,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1525,0.0003,0.0096,0.0,82.32000000000001,4.55,100.0,0.0,RandomForest,9,9,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0795,0.0017,0.0052,0.0002,77.11,4.52,99.21,1.17,XGB,9,9,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1193,0.0006,0.0025,0.0002,84.42,3.36,98.17,0.72,MLP,9,9,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0028,0.0001,0.0022,0.0001,77.21000000000001,8.92,89.05999999999999,3.02,GaussianNB,9,9,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0023,0.0001,0.0044,0.0002,69.84,5.3,78.13,2.8899999999999997,KNeighbors,10,10,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0034,0.0,0.0021,0.0001,69.89,7.049999999999999,92.71000000000001,0.73,LinearSVC,10,10,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1559,0.0004,0.01,0.0,72.05,11.200000000000001,98.17,1.17,RandomForest,10,10,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0928,0.002,0.0062,0.0001,69.95,9.15,97.65,1.71,XGB,10,10,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1203,0.0004,0.0026,0.0,70.95,7.16,94.01,1.15,MLP,10,10,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0027,0.0001,0.0021,0.0001,53.47,19.21,73.19,5.43,GaussianNB,10,10,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0023,0.0001,0.0043,0.0001,76.0,4.9,84.64,1.67,KNeighbors,11,11,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0034,0.0001,0.0021,0.0001,71.89,7.86,96.1,1.83,LinearSVC,11,11,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1557,0.0004,0.01,0.0001,73.0,5.0200000000000005,100.0,0.0,RandomForest,11,11,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0888,0.0012,0.0064,0.0,72.95,6.65,99.74,0.59,XGB,11,11,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1219,0.0003,0.0026,0.0,75.05,3.8600000000000003,97.14,1.08,MLP,11,11,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0027,0.0001,0.0021,0.0,54.42,17.44,83.08,5.08,GaussianNB,11,11,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0024,0.0,0.0044,0.0001,72.95,5.52,81.52000000000001,3.44,KNeighbors,12,12,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0034,0.0,0.002,0.0001,70.84,2.67,99.22,1.16,LinearSVC,12,12,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1558,0.0003,0.01,0.0001,75.11,13.25,100.0,0.0,RandomForest,12,12,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0875,0.0014,0.0067,0.0001,77.05,8.06,100.0,0.0,XGB,12,12,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.1212,0.0001,0.0026,0.0,75.05,11.21,99.74,0.58,MLP,12,12,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0027,0.0,0.0021,0.0,60.529999999999994,13.16,89.59,5.42,GaussianNB,12,12,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0023,0.0001,0.0043,0.0001,73.95,9.86,83.85000000000001,2.3800000000000003,KNeighbors,13,13,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
0.0034,0.0001,0.002,0.0,70.95,14.27,98.95,1.43,LinearSVC,13,13,KGroups_max,gini_importance,False,0:04:06.607258,0:04:08.581615,lymphoma
