fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0039,0.0001,64.98,9.07,72.3,1.32,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.0023,0.0,0.0017,0.0,68.58,7.02,69.82000000000001,1.18,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.1517,0.0004,0.0093,0.0002,57.589999999999996,5.6899999999999995,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.0512,0.001,0.0035,0.0001,51.23,14.52,100.0,0.0,XGB,2,2,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.1098,0.0002,0.0024,0.0,63.12,7.670000000000001,72.53,1.59,MLP,2,2,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.0021,0.0,0.0018,0.0,68.54,6.65,70.73,2.78,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,61.19,9.71,72.52,3.09,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.0023,0.0,0.0017,0.0,56.76,5.08,64.42,2.36,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.1522,0.0003,0.0095,0.0001,57.63,11.95,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.0498,0.0014,0.0037,0.0002,48.66,6.74,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
0.1115,0.0004,0.0023,0.0001,58.58,3.4099999999999997,73.65,3.49,MLP,3,3,KGroups_max++,mutual_info,False,0:04:11.397434,0:04:12.752166,CLL_SUB_111
