fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0035,0.0001,25.0,5.89,29.17,1.47,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0017,0.0,25.0,8.33,27.500000000000004,2.7199999999999998,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.1438,0.0003,0.0093,0.0,23.330000000000002,3.73,32.92,1.7399999999999998,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.072,0.0013,0.0037,0.0001,21.67,4.5600000000000005,31.25,1.47,XGB,2,2,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0931,0.0003,0.0024,0.0,23.330000000000002,6.97,32.92,1.7399999999999998,MLP,2,2,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0019,0.0,15.0,3.73,30.42,2.8000000000000003,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,38.33,9.5,44.17,3.42,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0017,0.0,43.33,10.870000000000001,44.58,3.16,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.1444,0.0002,0.0091,0.0005,36.67,7.449999999999999,47.08,1.8599999999999999,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0771,0.0025,0.0039,0.0001,35.0,10.870000000000001,45.0,4.8,XGB,3,3,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0953,0.0004,0.0024,0.0,38.33,9.5,46.67,2.3800000000000003,MLP,3,3,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0019,0.0,30.0,12.64,36.67,2.8000000000000003,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,25.0,10.209999999999999,39.17,1.7399999999999998,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0025,0.0001,0.0017,0.0,26.669999999999998,6.97,44.17,4.75,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.1459,0.0003,0.0092,0.0006,35.0,13.69,62.08,1.7399999999999998,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0855,0.0014,0.0042,0.0001,28.33,12.64,58.330000000000005,3.29,XGB,4,4,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0976,0.0005,0.0023,0.0001,28.33,4.5600000000000005,57.49999999999999,3.7800000000000002,MLP,4,4,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0019,0.0,35.0,9.13,47.5,2.7199999999999998,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,25.0,15.590000000000002,41.67,4.66,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0025,0.0001,0.0018,0.0001,20.0,13.94,42.08,4.01,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.1466,0.0001,0.0093,0.0,21.67,7.449999999999999,63.74999999999999,3.49,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0924,0.0031,0.0044,0.0001,21.67,9.5,61.25000000000001,3.16,XGB,5,5,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0993,0.0003,0.0024,0.0,21.67,15.14,59.58,3.7800000000000002,MLP,5,5,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0019,0.0,13.33,9.5,38.33,3.7800000000000002,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,41.67,16.669999999999998,58.75,1.7399999999999998,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0026,0.0,0.0018,0.0001,41.67,10.209999999999999,63.74999999999999,5.43,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.1469,0.0003,0.0094,0.0,33.33,15.590000000000002,85.83,2.7199999999999998,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0872,0.0009,0.0045,0.0,35.0,10.870000000000001,85.83,2.7199999999999998,XGB,6,6,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.1012,0.0002,0.0024,0.0001,43.33,10.870000000000001,81.25,3.29,MLP,6,6,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.002,0.0,26.669999999999998,10.870000000000001,49.58,4.52,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,38.33,9.5,57.49999999999999,6.18,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0026,0.0,0.0018,0.0001,23.330000000000002,10.870000000000001,67.08,4.97,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.147,0.0003,0.0094,0.0001,31.669999999999998,6.97,92.92,1.1400000000000001,RandomForest,7,7,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.092,0.0013,0.0048,0.0001,28.33,4.5600000000000005,92.08,0.9299999999999999,XGB,7,7,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.101,0.0005,0.0025,0.0001,33.33,8.33,88.75,2.3800000000000003,MLP,7,7,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0019,0.0,21.67,7.449999999999999,49.17,2.3800000000000003,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,43.33,12.36,60.0,5.779999999999999,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0027,0.0001,0.0019,0.0001,30.0,9.5,64.58,2.08,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.147,0.0005,0.0094,0.0001,40.0,12.36,98.33,0.9299999999999999,RandomForest,8,8,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0884,0.0021,0.005,0.0001,45.0,4.5600000000000005,97.5,2.2800000000000002,XGB,8,8,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.102,0.0002,0.0022,0.0002,43.33,6.97,94.17,1.7399999999999998,MLP,8,8,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0024,0.0,0.0019,0.0,38.33,4.5600000000000005,53.75,5.19,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.002,0.0001,0.0035,0.0001,45.0,12.64,55.00000000000001,5.43,KNeighbors,9,9,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.0028,0.0001,0.0019,0.0001,36.67,7.449999999999999,70.42,4.52,LinearSVC,9,9,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
0.148,0.0003,0.0094,0.0001,36.67,17.28,94.58,2.3800000000000003,RandomForest,9,9,KGroups_max++,mutual_info,False,0:03:56.142579,0:03:57.380523,nci9
