fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0044,0.0001,25.88,3.6900000000000004,26.0,4.38,KNeighbors,2,2,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0029,0.0001,0.0019,0.0,29.9,1.8499999999999999,30.599999999999998,0.45999999999999996,LinearSVC,2,2,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1497,0.0004,0.0091,0.0001,29.9,1.8499999999999999,32.76,1.15,RandomForest,2,2,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0715,0.0015,0.0032,0.0001,28.17,1.4200000000000002,32.76,1.15,XGB,2,2,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1303,0.0001,0.0021,0.0001,29.9,1.8499999999999999,30.599999999999998,0.45999999999999996,MLP,2,2,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0025,0.0,0.002,0.0,28.17,1.4200000000000002,29.599999999999998,0.91,GaussianNB,2,2,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.002,0.0001,0.0044,0.0001,25.85,1.79,33.910000000000004,2.15,KNeighbors,3,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0029,0.0001,0.0019,0.0,32.2,3.9,32.9,0.84,LinearSVC,3,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1541,0.0005,0.0092,0.0,27.6,4.8500000000000005,50.29,1.58,RandomForest,3,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1294,0.0028,0.0038,0.0002,29.330000000000002,4.82,49.14,1.5599999999999998,XGB,3,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1324,0.0001,0.0021,0.0001,31.630000000000003,3.1300000000000003,32.18,0.66,MLP,3,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0025,0.0,0.002,0.0,25.85,2.7,27.16,0.65,GaussianNB,3,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.002,0.0001,0.0044,0.0001,25.88,4.2,29.45,4.1000000000000005,KNeighbors,4,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0032,0.0002,0.0019,0.0,32.769999999999996,1.8800000000000001,33.77,0.6,LinearSVC,4,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1508,0.0005,0.009,0.0001,30.45,2.44,40.660000000000004,1.1900000000000002,RandomForest,4,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0873,0.0017,0.0036,0.0001,29.310000000000002,1.24,40.660000000000004,1.3,XGB,4,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1328,0.0003,0.002,0.0,32.76,1.4500000000000002,34.2,0.69,MLP,4,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0025,0.0,0.002,0.0,27.560000000000002,3.64,29.310000000000002,0.89,GaussianNB,4,3,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0021,0.0001,0.0045,0.0001,25.259999999999998,3.53,45.26,1.7399999999999998,KNeighbors,5,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0031,0.0001,0.0019,0.0,28.15,3.62,34.48,2.71,LinearSVC,5,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1617,0.0006,0.0094,0.0001,24.099999999999998,4.6,83.76,1.41,RandomForest,5,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1474,0.0049,0.0045,0.0001,24.12,2.33,83.62,1.38,XGB,5,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1361,0.0009,0.002,0.0,29.880000000000003,3.2099999999999995,33.48,1.3599999999999999,MLP,5,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0025,0.0,0.002,0.0,23.53,4.05,28.439999999999998,2.09,GaussianNB,5,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0021,0.0001,0.0045,0.0001,28.199999999999996,4.62,44.97,2.12,KNeighbors,6,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.003,0.0001,0.0019,0.0,33.93,6.36,34.63,2.65,LinearSVC,6,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1614,0.0007,0.0087,0.0006,25.34,5.92,86.78,1.9,RandomForest,6,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1459,0.0049,0.0044,0.0001,21.88,7.380000000000001,86.06,1.83,XGB,6,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.1351,0.0003,0.002,0.0,32.18,6.510000000000001,37.21,2.12,MLP,6,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0025,0.0,0.002,0.0,25.88,3.08,29.020000000000003,1.77,GaussianNB,6,4,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0021,0.0001,0.0045,0.0001,48.84,5.2,58.77,2.07,KNeighbors,7,5,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
0.0031,0.0001,0.0019,0.0,48.29,2.56,50.14999999999999,1.38,LinearSVC,7,5,KGroups_max,Fvalue,False,0:04:31.450720,0:04:32.981569,Carcinom
