fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0044,0.0001,54.37,3.56,65.21000000000001,2.16,KNeighbors,2,2,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0024,0.0,0.0018,0.0001,59.63,5.79,61.839999999999996,2.56,LinearSVC,2,2,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1592,0.0002,0.0084,0.0005,53.190000000000005,7.049999999999999,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0801,0.0016,0.0033,0.0001,46.18,2.88,100.0,0.0,XGB,2,2,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1273,0.0005,0.0021,0.0001,58.45,9.28,62.86000000000001,1.9,MLP,2,2,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0021,0.0,0.0018,0.0,57.330000000000005,11.4,60.089999999999996,3.35,GaussianNB,2,2,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.002,0.0001,0.0044,0.0001,52.1,6.79,69.3,1.4000000000000001,KNeighbors,3,3,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0024,0.0,0.0019,0.0,56.71000000000001,5.800000000000001,61.53999999999999,2.73,LinearSVC,3,3,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1593,0.0006,0.0091,0.0006,49.75,6.550000000000001,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0732,0.0034,0.0034,0.0001,52.62,7.08,100.0,0.0,XGB,3,3,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1318,0.0004,0.0021,0.0001,56.720000000000006,2.45,64.03,1.71,MLP,3,3,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0022,0.0,0.0018,0.0,55.559999999999995,6.619999999999999,61.550000000000004,1.43,GaussianNB,3,3,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.002,0.0001,0.0044,0.0001,52.0,9.67,66.51,5.42,KNeighbors,4,4,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0025,0.0,0.0019,0.0001,57.29,7.470000000000001,68.13,2.85,LinearSVC,4,4,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1656,0.0015,0.0086,0.0007,54.94,8.88,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0805,0.0017,0.0036,0.0001,52.59,5.64,100.0,0.0,XGB,4,4,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1332,0.0004,0.0021,0.0001,56.120000000000005,4.859999999999999,72.8,2.36,MLP,4,4,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0022,0.0,0.0018,0.0,60.84,7.779999999999999,66.38,1.23,GaussianNB,4,4,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.002,0.0001,0.0044,0.0001,52.64,6.279999999999999,72.50999999999999,1.6,KNeighbors,5,5,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0025,0.0,0.0019,0.0,55.66,11.63,68.71000000000001,2.4299999999999997,LinearSVC,5,5,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1661,0.0016,0.0086,0.0007,49.75,7.180000000000001,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0779,0.0049,0.0038,0.0001,49.19,7.739999999999999,100.0,0.0,XGB,5,5,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1371,0.0003,0.0021,0.0001,52.669999999999995,5.09,75.87,4.09,MLP,5,5,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0022,0.0,0.0019,0.0,55.61000000000001,6.72,67.25,2.01,GaussianNB,5,5,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0021,0.0001,0.0045,0.0001,55.53,7.19,74.27,2.4299999999999997,KNeighbors,6,6,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0026,0.0,0.0019,0.0001,59.650000000000006,4.35,70.17999999999999,1.54,LinearSVC,6,6,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1652,0.0008,0.0084,0.0005,55.58,5.74,100.0,0.0,RandomForest,6,6,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.0796,0.0043,0.0039,0.0,56.08,7.8,100.0,0.0,XGB,6,6,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
0.1373,0.0002,0.0021,0.0001,59.06,4.68,79.53,1.39,MLP,6,6,KGroups_max,Fvalue,False,0:05:08.393917,0:05:10.142251,TOX_171
