dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,94.38,9.3,XGB,KGroups_max++,cosine_sim,False,0:03:00.102207,0:03:01.276780
CLL_SUB_111,75,71,86.48,7.19,XGB,KGroups_max++,cosine_sim,False,0:04:00.237369,0:04:01.613909
Carcinom,91,90,86.77,6.6000000000000005,XGB,KGroups_max++,cosine_sim,False,0:05:28.351306,0:05:30.024887
GLIOMA,39,33,80.0,12.25,XGB,KGroups_max++,cosine_sim,False,0:03:13.677476,0:03:14.756431
GLI_85,16,16,95.29,4.92,XGB,KGroups_max++,cosine_sim,False,0:03:20.337191,0:03:21.484863
Prostate_GE,41,35,95.1,4.88,XGB,KGroups_max++,cosine_sim,False,0:03:18.892441,0:03:20.028713
SMK_CAN_187,52,47,75.38,11.17,XGB,KGroups_max++,cosine_sim,False,0:04:25.122129,0:04:26.611378
TOX_171,19,19,67.24,5.3,XGB,KGroups_max++,cosine_sim,False,0:04:58.268547,0:04:59.821013
colon,81,64,90.0,10.87,XGB,KGroups_max++,cosine_sim,False,0:02:55.548795,0:02:56.501493
leukemia,47,41,100.0,0.0,XGB,KGroups_max++,cosine_sim,False,0:02:48.175312,0:02:49.072564
lung,85,76,95.1,4.859999999999999,XGB,KGroups_max++,cosine_sim,False,0:04:45.949647,0:04:47.445426
lung_discrete,29,19,84.95,5.779999999999999,XGB,KGroups_max++,cosine_sim,False,0:03:12.072488,0:03:13.091126
lymphoma,26,22,86.58,11.78,XGB,KGroups_max++,cosine_sim,False,0:03:36.207176,0:03:37.338031
nci9,84,82,61.67,12.64,XGB,KGroups_max++,cosine_sim,False,0:03:30.524511,0:03:31.610120
