dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,2,2,95.9,3.74,MLP,KGroups_max++,variance,False,0:02:41.121873,0:02:42.056811
CLL_SUB_111,12,9,73.0,5.3100000000000005,MLP,KGroups_max++,variance,False,0:03:17.139021,0:03:18.275087
Carcinom,19,9,74.13,4.05,MLP,KGroups_max++,variance,False,0:04:05.115976,0:04:06.502192
GLIOMA,4,4,82.0,8.37,MLP,KGroups_max++,variance,False,0:02:52.838701,0:02:53.813728
GLI_85,5,5,90.59,7.89,MLP,KGroups_max++,variance,False,0:02:58.841269,0:02:59.905320
Prostate_GE,19,15,93.24,6.45,MLP,KGroups_max++,variance,False,0:03:00.475997,0:03:01.515246
SMK_CAN_187,3,3,65.23,15.11,MLP,KGroups_max++,variance,False,0:03:29.897169,0:03:31.110578
TOX_171,8,7,57.31,6.0600000000000005,MLP,KGroups_max++,variance,False,0:03:41.657269,0:03:42.864506
colon,11,9,84.1,7.380000000000001,MLP,KGroups_max++,variance,False,0:02:40.045826,0:02:40.928811
leukemia,7,6,100.0,0.0,MLP,KGroups_max++,variance,False,0:02:37.881931,0:02:38.748868
lung,7,6,89.66,4.35,MLP,KGroups_max++,variance,False,0:03:34.053077,0:03:35.221776
lung_discrete,9,6,71.05,6.75,MLP,KGroups_max++,variance,False,0:02:55.722784,0:02:56.658664
lymphoma,9,6,73.95,8.34,MLP,KGroups_max++,variance,False,0:03:06.681791,0:03:07.680469
nci9,11,8,40.0,12.36,MLP,KGroups_max++,variance,False,0:03:03.035400,0:03:03.990477
