fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,51.9,9.48,60.95,1.59,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0017,0.0,53.33,4.08,55.82,1.6199999999999999,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1486,0.0008,0.0087,0.0007,53.239999999999995,10.17,60.95,1.59,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0688,0.0005,0.0031,0.0001,51.9,9.48,60.95,1.59,XGB,2,2,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0965,0.0003,0.002,0.0001,53.239999999999995,10.17,60.27,1.55,MLP,2,2,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0019,0.0,53.239999999999995,7.24,57.18,2.4,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.002,0.0001,0.0036,0.0001,58.76,7.6499999999999995,70.88,2.22,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0024,0.0,0.0018,0.0001,62.86000000000001,8.66,68.14,2.98,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1492,0.0004,0.0082,0.0006,58.95,6.21,79.79,1.51,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.072,0.0018,0.0033,0.0001,58.86,9.73,79.79,1.51,XGB,3,3,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1003,0.0003,0.002,0.0,58.86,4.97,75.68,1.94,MLP,3,3,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0019,0.0,43.81,10.92,55.48,1.76,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.002,0.0001,0.0036,0.0001,52.1,13.91,64.4,3.49,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0024,0.0,0.0018,0.0001,60.38,8.24,69.53,3.65,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1499,0.0004,0.008,0.0001,65.62,11.08,89.73,2.4,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0726,0.0012,0.0035,0.0001,62.86000000000001,10.77,89.73,2.4,XGB,4,4,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1024,0.0003,0.002,0.0,61.519999999999996,6.99,80.15,3.44,MLP,4,4,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0019,0.0,49.33,11.05,60.940000000000005,7.1499999999999995,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.002,0.0001,0.0036,0.0001,69.62,8.94,77.74,1.72,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0025,0.0,0.0019,0.0001,71.14,6.13,79.42,5.12,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1505,0.0002,0.0082,0.0005,64.19,9.82,95.89999999999999,1.5,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0716,0.002,0.0038,0.0002,61.42999999999999,8.95,95.56,1.49,XGB,5,5,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1043,0.0002,0.002,0.0,75.24,6.710000000000001,88.68,3.5999999999999996,MLP,5,5,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0019,0.0,51.9,18.57,55.47,3.9600000000000004,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.002,0.0001,0.0036,0.0001,69.71000000000001,6.84,74.99,3.61,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0025,0.0,0.0019,0.0,66.86,10.040000000000001,82.19,3.53,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1513,0.0017,0.0085,0.0006,68.38,8.110000000000001,100.0,0.0,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0696,0.0021,0.004,0.0002,70.95,13.780000000000001,98.98,0.9299999999999999,XGB,6,6,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1042,0.0005,0.002,0.0001,69.62,11.15,91.77,2.6,MLP,6,6,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0019,0.0,52.1,13.91,63.029999999999994,7.430000000000001,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.002,0.0001,0.0036,0.0001,68.19,11.600000000000001,75.31,4.84,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0026,0.0,0.0019,0.0,68.28999999999999,11.29,85.96000000000001,3.55,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1506,0.0007,0.0086,0.0008,62.67,13.74,98.97,0.9400000000000001,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0693,0.0011,0.0043,0.0002,69.52000000000001,11.63,98.97,0.9400000000000001,XGB,7,7,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.1044,0.0008,0.002,0.0001,73.81,9.370000000000001,92.12,1.01,MLP,7,7,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
0.0023,0.0,0.0019,0.0,73.9,7.76,78.06,3.01,GaussianNB,7,7,KGroups_max,gini_importance,False,0:03:34.311265,0:03:35.649078,lung_discrete
