fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.0048,0.0001,38.54,5.489999999999999,53.02,2.32,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0028,0.0001,0.002,0.0001,43.09,1.6400000000000001,44.11,1.55,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.151,0.0001,0.0101,0.0002,37.39,10.290000000000001,89.95,1.95,RandomForest,2,2,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1038,0.0017,0.0043,0.0001,35.089999999999996,8.85,89.8,2.15,XGB,2,2,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1414,0.0007,0.0026,0.0,43.13,4.760000000000001,48.42,1.3299999999999998,MLP,2,2,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0027,0.0,0.0021,0.0,42.52,5.76,48.86,4.0,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0024,0.0,0.005,0.0001,43.7,7.5200000000000005,60.919999999999995,2.34,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0031,0.0,0.0021,0.0,47.71,3.44,52.59,1.35,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1536,0.0007,0.0103,0.0002,47.699999999999996,6.52,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1032,0.0006,0.0045,0.0001,42.55,3.53,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1481,0.0003,0.0025,0.0,49.46,7.960000000000001,56.32,1.72,MLP,3,3,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0026,0.0,0.0021,0.0,49.39,10.2,56.61000000000001,3.74,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0023,0.0001,0.0048,0.0001,52.910000000000004,6.29,62.5,2.21,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0032,0.0001,0.0021,0.0001,52.86,8.08,57.47,2.1399999999999997,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1576,0.0004,0.0102,0.0001,54.64,5.8500000000000005,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1009,0.0025,0.0045,0.0002,48.89,9.950000000000001,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1515,0.0005,0.0025,0.0,56.3,5.67,65.64999999999999,2.65,MLP,4,4,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0027,0.0001,0.0021,0.0,52.339999999999996,8.709999999999999,63.79,3.58,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0023,0.0,0.0047,0.0001,60.39,8.7,72.99,3.2,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0032,0.0001,0.0019,0.0,62.69,5.7700000000000005,69.12,3.4099999999999997,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1593,0.001,0.0093,0.0005,63.260000000000005,6.260000000000001,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1038,0.0021,0.0047,0.0001,53.449999999999996,10.57,100.0,0.0,XGB,5,5,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1529,0.0003,0.0026,0.0,63.28,9.13,74.14,1.46,MLP,5,5,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0028,0.0,0.0023,0.0,60.370000000000005,4.43,71.56,4.279999999999999,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0024,0.0001,0.005,0.0001,55.17999999999999,6.83,66.24,0.66,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0035,0.0,0.0021,0.0,58.02,9.33,65.66,2.71,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1571,0.0016,0.0101,0.0002,58.589999999999996,8.68,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1001,0.0025,0.0046,0.0001,59.19,12.68,100.0,0.0,XGB,6,6,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1522,0.0004,0.0026,0.0001,62.62,8.200000000000001,75.86,1.69,MLP,6,6,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0026,0.0,0.0021,0.0,48.870000000000005,6.59,60.050000000000004,7.4399999999999995,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0022,0.0001,0.0046,0.0001,54.13,11.64,67.39,3.62,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0035,0.0001,0.002,0.0001,51.82,10.61,68.11,3.85,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1578,0.0006,0.0099,0.0004,59.830000000000005,7.5200000000000005,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1057,0.0014,0.0048,0.0001,54.64,4.6899999999999995,100.0,0.0,XGB,7,7,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1522,0.0005,0.0026,0.0001,55.24,8.37,79.17,1.6500000000000001,MLP,7,7,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0026,0.0,0.0021,0.0,58.67,6.5600000000000005,74.71,2.92,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0022,0.0001,0.0046,0.0001,52.290000000000006,6.03,67.38,2.3800000000000003,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0036,0.0001,0.002,0.0001,58.589999999999996,5.87,72.41,2.59,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.157,0.0008,0.0102,0.0001,58.620000000000005,7.6899999999999995,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1049,0.0029,0.005,0.0002,54.06999999999999,6.03,100.0,0.0,XGB,8,8,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1529,0.0002,0.0025,0.0,59.160000000000004,6.17,83.33,2.19,MLP,8,8,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0026,0.0,0.0021,0.0,55.730000000000004,7.28,65.22,5.1,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0022,0.0001,0.0046,0.0001,55.730000000000004,9.030000000000001,71.12,3.17,KNeighbors,9,9,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0038,0.0,0.0018,0.0,66.69,9.07,76.44,4.109999999999999,LinearSVC,9,9,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1619,0.0007,0.0099,0.0001,57.50999999999999,10.97,100.0,0.0,RandomForest,9,9,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1023,0.0016,0.0052,0.0001,62.07,9.98,100.0,0.0,XGB,9,9,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1547,0.0004,0.0024,0.0,64.4,8.55,85.35000000000001,2.3,MLP,9,9,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0026,0.0,0.002,0.0001,61.480000000000004,13.389999999999999,79.89,3.8699999999999997,GaussianNB,9,9,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0022,0.0001,0.0046,0.0001,58.15,10.89,71.13000000000001,3.49,KNeighbors,10,10,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0038,0.0001,0.0019,0.0001,66.12,3.44,80.75,1.9800000000000002,LinearSVC,10,10,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1607,0.0007,0.0097,0.0002,63.83,5.67,100.0,0.0,RandomForest,10,10,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1063,0.0032,0.0055,0.0001,62.67,8.9,100.0,0.0,XGB,10,10,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1553,0.0002,0.0025,0.0,64.44,7.17,87.07000000000001,2.55,MLP,10,10,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0027,0.0,0.0021,0.0,58.620000000000005,4.29,74.71,5.06,GaussianNB,10,10,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0022,0.0001,0.0046,0.0001,58.13,12.15,67.97,2.71,KNeighbors,11,11,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.004,0.0001,0.0018,0.0,59.830000000000005,13.23,77.45,3.9899999999999998,LinearSVC,11,11,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1618,0.0007,0.0098,0.0001,61.5,10.2,100.0,0.0,RandomForest,11,11,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1125,0.0031,0.0057,0.0001,58.69,13.600000000000001,100.0,0.0,XGB,11,11,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1547,0.0001,0.0025,0.0,58.69,12.989999999999998,88.8,1.3599999999999999,MLP,11,11,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0027,0.0,0.0021,0.0,58.07,7.57,72.41,3.82,GaussianNB,11,11,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.0023,0.0001,0.0047,0.0001,62.660000000000004,9.41,77.01,2.11,KNeighbors,12,12,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.004,0.0001,0.0018,0.0,71.28999999999999,10.6,88.07000000000001,1.5,LinearSVC,12,12,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1612,0.0006,0.0099,0.0001,66.10000000000001,2.9899999999999998,100.0,0.0,RandomForest,12,12,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1064,0.0015,0.0058,0.0001,67.78,6.4399999999999995,100.0,0.0,XGB,12,12,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
0.1567,0.0005,0.0025,0.0,69.58,8.81,95.26,0.97,MLP,12,12,KGroups_max++,mutual_info,False,0:05:45.817243,0:05:47.604491,Carcinom
