fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0044,0.0001,50.32,9.07,66.96,2.37,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0024,0.0,0.0018,0.0,40.339999999999996,5.08,49.41,1.59,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.1496,0.0003,0.0089,0.0001,45.04,8.01,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0588,0.0015,0.0036,0.0003,46.22,5.43,100.0,0.0,XGB,2,2,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.1277,0.0002,0.0025,0.0,43.9,8.77,57.02,3.06,MLP,2,2,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0022,0.0,0.0019,0.0,46.27,10.76,53.949999999999996,2.12,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0021,0.0001,0.0044,0.0001,55.010000000000005,5.25,67.25,2.71,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0025,0.0,0.0019,0.0001,53.779999999999994,7.7299999999999995,57.75,2.8000000000000003,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.1495,0.0005,0.0088,0.0001,49.68,4.18,99.85000000000001,0.33,RandomForest,3,3,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0601,0.0009,0.0038,0.0002,52.0,6.45,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.1322,0.0005,0.0025,0.0,57.879999999999995,2.81,64.33,1.05,MLP,3,3,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0022,0.0,0.0019,0.0,54.94,5.19,59.51,3.2800000000000002,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0021,0.0001,0.0044,0.0001,40.910000000000004,12.33,65.93,1.72,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0025,0.0001,0.0018,0.0,44.96,9.32,56.720000000000006,2.2399999999999998,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.1561,0.0009,0.0089,0.0003,39.190000000000005,10.77,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0638,0.0007,0.0039,0.0002,39.78,11.74,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.1348,0.0004,0.0024,0.0001,42.67,7.51,66.67,2.82,MLP,4,4,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0023,0.0001,0.0019,0.0,42.1,7.03,58.040000000000006,2.79,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
0.0021,0.0001,0.0044,0.0001,51.459999999999994,6.41,65.2,3.1300000000000003,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:05:14.534930,0:05:16.156995,TOX_171
