fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0035,0.0001,66.03,11.77,71.77,3.2300000000000004,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0022,0.0,0.0018,0.0,69.36,14.12,71.37,3.61,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.1477,0.0003,0.0082,0.0005,66.03,11.77,71.77,3.2300000000000004,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0197,0.0007,0.003,0.0001,61.41,5.52,71.37,3.32,XGB,2,2,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0853,0.0086,0.0019,0.0,66.03,11.77,71.77,3.2300000000000004,MLP,2,2,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0,0.0018,0.0,69.36,14.12,71.37,3.61,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0001,0.0035,0.0001,71.03,6.619999999999999,79.84,1.3,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0022,0.0,0.0018,0.0,69.36,3.4000000000000004,77.41,3.8899999999999997,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.1481,0.0003,0.0082,0.0005,72.69,6.69,84.69,1.72,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0212,0.0003,0.0032,0.0001,75.77000000000001,5.99,84.28,0.8200000000000001,XGB,3,3,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0922,0.0003,0.0019,0.0,77.44,6.819999999999999,81.84,2.11,MLP,3,3,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0,0.0018,0.0,77.44,6.819999999999999,77.41,1.08,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0001,0.0035,0.0001,72.56,4.38,78.2,4.05,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0022,0.0,0.0018,0.0,78.85,9.59,81.02000000000001,4.1000000000000005,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.149,0.0003,0.008,0.0001,75.64,6.39,89.09,2.41,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0219,0.0009,0.0034,0.0001,72.44,7.9399999999999995,87.49,2.32,XGB,4,4,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0946,0.0001,0.0019,0.0,75.38,13.59,84.26,1.83,MLP,4,4,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0021,0.0001,0.0018,0.0,81.92,11.16,81.83,3.37,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0001,0.0035,0.0001,72.31,10.09,75.79,3.35,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0022,0.0,0.0018,0.0,67.69,19.06,73.38,5.6000000000000005,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.1497,0.0007,0.0087,0.0009,72.31,15.18,89.92,2.02,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0231,0.0009,0.0036,0.0001,72.31,19.220000000000002,88.72,3.32,XGB,5,5,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0963,0.0002,0.0019,0.0,67.44,18.54,83.85000000000001,3.3000000000000003,MLP,5,5,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0021,0.0,0.0018,0.0,64.49000000000001,12.590000000000002,67.73,3.8699999999999997,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0001,0.0036,0.0001,81.92,15.120000000000001,86.67,4.02,KNeighbors,6,6,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0023,0.0,0.0018,0.0,75.51,16.85,83.84,5.220000000000001,LinearSVC,6,6,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.1492,0.0003,0.0083,0.0005,75.51,15.939999999999998,94.35,2.22,RandomForest,6,6,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0227,0.0009,0.0038,0.0,69.36,15.8,91.53,2.63,XGB,6,6,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0968,0.0009,0.0019,0.0,78.72,15.39,90.72,2.34,MLP,6,6,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0021,0.0,0.0018,0.0,78.72,15.39,81.83,4.17,GaussianNB,6,6,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.002,0.0001,0.0036,0.0001,67.69,11.65,83.06,3.65,KNeighbors,7,7,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0023,0.0,0.0018,0.0,77.44,11.41,84.27,3.36,LinearSVC,7,7,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.149,0.0003,0.0084,0.0006,75.9,7.7700000000000005,98.8,1.0999999999999999,RandomForest,7,7,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.023,0.0005,0.0041,0.0001,77.56,10.26,95.58,1.6500000000000001,XGB,7,7,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0975,0.0004,0.0019,0.0001,82.17999999999999,13.600000000000001,93.15,1.79,MLP,7,7,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
0.0021,0.0,0.0018,0.0,69.1,11.26,74.19,1.05,GaussianNB,7,7,KGroups_max,mutual_info,False,0:03:10.955986,0:03:12.183120,colon
