fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0019,0.0001,0.0035,0.0001,86.0,5.2299999999999995,89.28,5.86,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0022,0.0,0.0017,0.0,94.57,5.609999999999999,94.45,1.4200000000000002,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.1338,0.0003,0.0082,0.0,94.57,5.609999999999999,94.45,1.4200000000000002,RandomForest,2,2,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0133,0.0004,0.0028,0.0001,94.57,5.609999999999999,94.45,1.4200000000000002,XGB,2,2,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0908,0.0004,0.0021,0.0,94.57,5.609999999999999,94.45,1.4200000000000002,MLP,2,2,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.002,0.0,0.0018,0.0,81.05,17.1,80.58999999999999,4.33,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.002,0.0001,0.0035,0.0001,91.9,8.68,95.15,1.41,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0022,0.0,0.0017,0.0,93.24,6.67,96.53,2.11,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.1347,0.0003,0.0083,0.0,94.57,5.609999999999999,97.22,0.95,RandomForest,3,3,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0142,0.0005,0.003,0.0001,94.48,5.64,96.53,1.22,XGB,3,3,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0936,0.0004,0.0021,0.0,95.89999999999999,6.02,97.22,0.95,MLP,3,3,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.002,0.0,0.0018,0.0,93.24,6.67,95.49,0.95,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.002,0.0001,0.0035,0.0001,94.57,8.709999999999999,94.45,2.25,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0022,0.0,0.0017,0.0,92.0,11.93,98.28,1.72,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.1341,0.0003,0.0083,0.0,95.89999999999999,6.02,100.0,0.0,RandomForest,4,4,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.015,0.0004,0.0032,0.0001,94.48,5.64,98.27,1.22,XGB,4,4,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0957,0.0004,0.0021,0.0001,96.0,5.96,99.66000000000001,0.77,MLP,4,4,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.002,0.0001,0.0018,0.0,93.24,8.17,93.07,2.09,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.002,0.0001,0.0035,0.0001,96.0,5.96,97.92,1.46,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0022,0.0,0.0017,0.0,95.81,3.83,97.57000000000001,1.55,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.1349,0.0003,0.0083,0.0001,98.67,2.98,100.0,0.0,RandomForest,5,5,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0157,0.0003,0.0034,0.0001,97.33000000000001,5.96,98.61,0.77,XGB,5,5,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
0.0977,0.0002,0.0024,0.0002,98.67,2.98,99.66000000000001,0.77,MLP,5,5,KGroups_max++,Fvalue,False,0:02:43.843521,0:02:44.756069,leukemia
