fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.004,0.0001,90.59,5.26,91.47,1.6099999999999999,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0024,0.0,0.0018,0.0,90.59,5.26,90.29,1.68,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1514,0.0001,0.0096,0.0,88.24,7.199999999999999,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0214,0.0007,0.0036,0.0002,87.06,2.63,98.24000000000001,0.66,XGB,2,2,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1021,0.0003,0.0025,0.0,89.41,4.92,89.71000000000001,1.04,MLP,2,2,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0021,0.0,0.0019,0.0,89.41,4.92,88.82,1.68,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0021,0.0001,0.004,0.0001,88.24,5.88,89.71000000000001,1.47,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0,0.0018,0.0,89.41,4.92,90.29,1.68,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1515,0.0003,0.0096,0.0,85.88,6.710000000000001,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0215,0.0004,0.0035,0.0001,84.71,3.2199999999999998,100.0,0.0,XGB,3,3,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1042,0.0002,0.0025,0.0,88.24,4.16,90.88000000000001,1.23,MLP,3,3,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0021,0.0,0.0018,0.0,90.59,6.710000000000001,90.29,1.68,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0021,0.0001,0.0039,0.0001,84.71,3.2199999999999998,89.41,1.92,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0,0.0018,0.0,89.41,4.92,90.88000000000001,1.6099999999999999,LinearSVC,4,4,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1525,0.0005,0.0095,0.0001,88.24,9.3,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0217,0.0008,0.0036,0.0001,88.24,4.16,99.11999999999999,0.8099999999999999,XGB,4,4,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1053,0.0002,0.0025,0.0,87.06,4.92,91.18,2.33,MLP,4,4,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0022,0.0001,0.0018,0.0,87.06,2.63,89.71000000000001,1.7999999999999998,GaussianNB,4,4,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0021,0.0001,0.0039,0.0001,88.24,8.32,92.35,1.6099999999999999,KNeighbors,5,5,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0,0.0018,0.0,87.06,8.72,90.88000000000001,1.92,LinearSVC,5,5,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1528,0.0002,0.0095,0.0,89.41,6.4399999999999995,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0234,0.0008,0.0046,0.0002,85.88,5.26,99.71,0.66,XGB,5,5,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1083,0.0002,0.0026,0.0002,87.06,10.52,92.94,1.23,MLP,5,5,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.002,0.0,84.71,8.92,89.41,2.42,GaussianNB,5,5,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0024,0.0001,0.0044,0.0001,89.41,4.92,90.29,1.68,KNeighbors,6,6,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0025,0.0001,0.0019,0.0,85.88,6.710000000000001,91.47,1.92,LinearSVC,6,6,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.155,0.0004,0.0099,0.0,88.24,7.199999999999999,100.0,0.0,RandomForest,6,6,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0248,0.0004,0.0048,0.0,84.71,6.710000000000001,100.0,0.0,XGB,6,6,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1085,0.0003,0.0026,0.0,88.24,5.88,91.47,1.23,MLP,6,6,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.0019,0.0,90.59,8.92,90.88000000000001,2.42,GaussianNB,6,6,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0024,0.0,0.0044,0.0001,88.24,5.88,92.06,2.23,KNeighbors,7,7,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0025,0.0,0.0019,0.0,90.59,6.710000000000001,92.65,1.47,LinearSVC,7,7,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1552,0.0002,0.0099,0.0,88.24,5.88,100.0,0.0,RandomForest,7,7,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0246,0.0006,0.0051,0.0,88.24,5.88,99.71,0.66,XGB,7,7,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1097,0.0002,0.0026,0.0001,90.59,6.710000000000001,94.41000000000001,1.92,MLP,7,7,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.002,0.0,88.24,8.32,88.82,1.68,GaussianNB,7,7,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.0043,0.0001,84.71,8.92,88.82,2.87,KNeighbors,8,8,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0026,0.0001,0.0019,0.0,87.06,4.92,94.12,2.08,LinearSVC,8,8,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1547,0.0005,0.0099,0.0,87.06,4.92,100.0,0.0,RandomForest,8,8,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0248,0.0008,0.0053,0.0001,85.88,3.2199999999999998,100.0,0.0,XGB,8,8,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1103,0.0002,0.0026,0.0,85.88,5.26,95.59,1.47,MLP,8,8,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.002,0.0,87.06,6.4399999999999995,91.18,2.08,GaussianNB,8,8,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.0043,0.0001,88.24,7.199999999999999,93.24,1.97,KNeighbors,9,9,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0026,0.0001,0.002,0.0,89.41,6.4399999999999995,94.41000000000001,1.92,LinearSVC,9,9,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1551,0.0007,0.0098,0.0001,91.75999999999999,6.710000000000001,100.0,0.0,RandomForest,9,9,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0253,0.0011,0.0054,0.0001,87.06,4.92,100.0,0.0,XGB,9,9,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1103,0.0005,0.0026,0.0001,89.41,6.4399999999999995,96.47,1.32,MLP,9,9,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0023,0.0001,0.002,0.0,88.24,5.88,92.35,1.23,GaussianNB,9,9,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0024,0.0001,0.0043,0.0,90.59,8.92,92.35,1.23,KNeighbors,10,10,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0026,0.0001,0.002,0.0001,89.41,7.670000000000001,96.47,1.97,LinearSVC,10,10,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1562,0.0003,0.0098,0.0001,92.94,4.92,100.0,0.0,RandomForest,10,10,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0252,0.0009,0.0058,0.0,89.41,6.4399999999999995,100.0,0.0,XGB,10,10,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.1117,0.0001,0.0026,0.0,90.59,6.710000000000001,99.11999999999999,0.8099999999999999,MLP,10,10,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
0.0024,0.0,0.002,0.0,92.94,2.63,94.12,1.47,GaussianNB,10,10,KGroups_max,Fvalue,False,0:03:34.203186,0:03:35.987818,GLI_85
