dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,23,16,97.24,3.790000000000001,MLP,KGroups_max++,entropy,False,0:02:55.390189,0:02:56.367504
CLL_SUB_111,2,2,45.85,6.38,MLP,KGroups_max++,entropy,False,0:03:04.428922,0:03:05.495685
Carcinom,78,72,93.11,2.54,MLP,KGroups_max++,entropy,False,0:05:09.209322,0:05:10.798463
GLIOMA,14,14,84.0,11.4,MLP,KGroups_max++,entropy,False,0:03:05.426923,0:03:06.446733
GLI_85,2,2,69.41000000000001,13.41,MLP,KGroups_max++,entropy,False,0:02:51.563376,0:02:52.539706
Prostate_GE,19,19,98.0,4.47,MLP,KGroups_max++,entropy,False,0:03:19.498555,0:03:20.617122
SMK_CAN_187,2,2,64.64,11.85,MLP,KGroups_max++,entropy,False,0:04:09.354775,0:04:10.807144
TOX_171,12,9,55.58,5.74,MLP,KGroups_max++,entropy,False,0:03:50.830463,0:03:52.138421
colon,54,21,88.59,11.05,MLP,KGroups_max++,entropy,False,0:02:45.265327,0:02:46.206984
leukemia,22,21,100.0,0.0,MLP,KGroups_max++,entropy,False,0:02:50.236427,0:02:51.187698
lung,87,61,95.06,2.49,MLP,KGroups_max++,entropy,False,0:04:17.614884,0:04:19.225586
lung_discrete,99,39,91.71,5.79,MLP,KGroups_max++,entropy,False,0:03:09.493650,0:03:10.639033
lymphoma,90,39,90.63,7.79,MLP,KGroups_max++,entropy,False,0:03:25.233615,0:03:26.520598
nci9,84,54,68.33,10.87,MLP,KGroups_max++,entropy,False,0:03:21.976836,0:03:23.170393
