dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,9,8,100.0,0.0,RandomForest,KGroups_max++,gini_importance,False,0:02:56.252771,0:02:57.241879
CLL_SUB_111,69,52,85.57000000000001,6.77,RandomForest,KGroups_max++,gini_importance,False,0:03:53.354870,0:03:54.669904
Carcinom,71,61,91.36,4.1000000000000005,RandomForest,KGroups_max++,gini_importance,False,0:05:06.575192,0:05:08.162367
GLIOMA,8,8,86.0,15.17,RandomForest,KGroups_max++,gini_importance,False,0:03:09.745657,0:03:10.775850
GLI_85,25,20,97.65,3.22,RandomForest,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003
Prostate_GE,31,26,95.1,6.99,RandomForest,KGroups_max++,gini_importance,False,0:03:15.120016,0:03:16.220292
SMK_CAN_187,68,52,75.92999999999999,13.58,RandomForest,KGroups_max++,gini_importance,False,0:04:08.449088,0:04:09.901033
TOX_171,50,41,72.49,11.94,RandomForest,KGroups_max++,gini_importance,False,0:04:33.924697,0:04:35.446570
colon,10,9,88.59,7.26,RandomForest,KGroups_max++,gini_importance,False,0:02:51.704728,0:02:52.666606
leukemia,9,9,100.0,0.0,RandomForest,KGroups_max++,gini_importance,False,0:02:45.448774,0:02:46.368224
lung,40,36,97.04,2.07,RandomForest,KGroups_max++,gini_importance,False,0:04:36.135617,0:04:37.857321
lung_discrete,55,43,90.29,6.3,RandomForest,KGroups_max++,gini_importance,False,0:03:17.430087,0:03:18.790697
lymphoma,56,49,92.79,7.779999999999999,RandomForest,KGroups_max++,gini_importance,False,0:03:39.860341,0:03:41.189219
nci9,83,51,73.33,10.87,RandomForest,KGroups_max++,gini_importance,False,0:03:19.525289,0:03:20.813334
