dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,19,16,100.0,0.0,MLP,KGroups_max,gini_importance,False,0:03:12.075818,0:03:13.673798
CLL_SUB_111,65,48,89.21,5.11,MLP,KGroups_max,gini_importance,False,0:04:09.228721,0:04:11.286028
Carcinom,80,68,96.54,2.4299999999999997,MLP,KGroups_max,gini_importance,False,0:05:40.558097,0:05:43.261548
GLIOMA,64,51,92.0,10.95,MLP,KGroups_max,gini_importance,False,0:03:28.247360,0:03:29.959985
GLI_85,15,15,96.47,3.22,MLP,KGroups_max,gini_importance,False,0:03:28.821592,0:03:30.565336
Prostate_GE,46,36,96.05,4.17,MLP,KGroups_max,gini_importance,False,0:03:31.243360,0:03:33.028658
SMK_CAN_187,83,63,73.8,12.16,MLP,KGroups_max,gini_importance,False,0:04:35.507600,0:04:37.809727
TOX_171,82,61,83.11,8.63,MLP,KGroups_max,gini_importance,False,0:05:04.857839,0:05:07.345443
colon,99,62,88.33,13.94,MLP,KGroups_max,gini_importance,False,0:03:13.837145,0:03:15.464161
leukemia,8,8,100.0,0.0,MLP,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513
lung,62,52,96.55,2.79,MLP,KGroups_max,gini_importance,False,0:05:03.637824,0:05:06.128333
lung_discrete,37,31,91.81,2.88,MLP,KGroups_max,gini_importance,False,0:03:44.468470,0:03:46.305052
lymphoma,60,51,91.74,5.76,MLP,KGroups_max,gini_importance,False,0:04:06.710746,0:04:08.721705
nci9,61,40,70.0,4.5600000000000005,MLP,KGroups_max,gini_importance,False,0:03:51.242349,0:03:53.129193
