fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0038,0.0001,83.53,10.52,88.24,2.55,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0023,0.0001,0.0017,0.0,87.06,6.4399999999999995,87.06,1.6099999999999999,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1448,0.0006,0.0086,0.0,84.71,6.710000000000001,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0158,0.0005,0.003,0.0001,85.88,9.84,99.11999999999999,0.8099999999999999,XGB,2,2,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0996,0.0002,0.0023,0.0001,87.06,6.4399999999999995,87.06,1.6099999999999999,MLP,2,2,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.002,0.0,0.0018,0.0,85.88,7.89,86.76,1.04,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0038,0.0002,87.06,8.72,89.71000000000001,1.04,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0023,0.0,0.0017,0.0,85.88,6.710000000000001,89.41,0.66,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1453,0.0005,0.0086,0.0001,87.06,4.92,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0163,0.0005,0.0032,0.0001,89.41,4.92,99.71,0.66,XGB,3,3,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1022,0.0001,0.0023,0.0,87.06,6.4399999999999995,89.12,1.68,MLP,3,3,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.002,0.0,0.0018,0.0,88.24,7.199999999999999,89.71000000000001,1.04,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0038,0.0001,90.59,6.710000000000001,92.94,1.92,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0023,0.0,0.0017,0.0,89.41,8.72,88.82,4.72,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1459,0.0013,0.0086,0.0,95.28999999999999,2.63,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0166,0.0005,0.0033,0.0001,88.24,10.190000000000001,99.41,0.8099999999999999,XGB,4,4,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1035,0.0002,0.0023,0.0,90.59,6.710000000000001,95.59,1.04,MLP,4,4,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0018,0.0,89.41,6.4399999999999995,91.47,3.01,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0038,0.0001,94.12,5.88,95.59,1.04,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0024,0.0001,0.0019,0.0,92.94,4.92,96.17999999999999,0.8099999999999999,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1461,0.0005,0.0086,0.0,88.24,4.16,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0171,0.0005,0.0036,0.0001,84.71,5.26,99.71,0.66,XGB,5,5,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1041,0.0002,0.0023,0.0,94.12,4.16,95.0,0.8099999999999999,MLP,5,5,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0,0.0018,0.0,89.41,6.4399999999999995,93.82000000000001,1.6099999999999999,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0038,0.0001,89.41,8.72,94.41000000000001,1.92,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0023,0.0,0.0018,0.0,91.75999999999999,3.2199999999999998,97.35000000000001,1.23,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1466,0.0003,0.0086,0.0,89.41,6.4399999999999995,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0172,0.0005,0.0037,0.0001,85.88,12.889999999999999,100.0,0.0,XGB,6,6,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1055,0.0003,0.0024,0.0001,94.12,4.16,97.06,1.04,MLP,6,6,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0,0.0018,0.0,90.59,6.710000000000001,93.53,1.68,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0038,0.0001,88.24,9.3,93.82000000000001,1.23,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0024,0.0001,0.0019,0.0,94.12,0.0,97.06,1.7999999999999998,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1462,0.0004,0.0086,0.0,91.75999999999999,6.710000000000001,100.0,0.0,RandomForest,7,7,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0177,0.0005,0.0039,0.0001,85.88,10.69,100.0,0.0,XGB,7,7,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1059,0.0001,0.0025,0.0001,92.94,4.92,97.65,0.8099999999999999,MLP,7,7,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0,0.0019,0.0,91.75999999999999,6.710000000000001,92.35,2.18,GaussianNB,7,7,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0001,0.0039,0.0001,90.59,6.710000000000001,92.06,1.68,KNeighbors,8,8,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0024,0.0001,0.0019,0.0,90.59,7.89,98.24000000000001,1.23,LinearSVC,8,8,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1462,0.0005,0.0087,0.0,92.94,4.92,100.0,0.0,RandomForest,8,8,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0182,0.0006,0.004,0.0001,87.06,10.52,100.0,0.0,XGB,8,8,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1068,0.0001,0.0023,0.0,94.12,4.16,97.65,0.8099999999999999,MLP,8,8,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0021,0.0,0.0018,0.0,91.75999999999999,6.710000000000001,94.12,1.7999999999999998,GaussianNB,8,8,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0022,0.0001,0.0039,0.0001,92.94,4.92,94.41000000000001,1.23,KNeighbors,9,9,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.0024,0.0001,0.0019,0.0,90.59,3.2199999999999998,98.82,1.23,LinearSVC,9,9,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
0.1474,0.0005,0.0087,0.0,92.94,2.63,100.0,0.0,RandomForest,9,9,KGroups_max++,gini_importance,False,0:03:13.181106,0:03:14.261003,GLI_85
