fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,70.76,7.86,75.7,12.75,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0023,0.0001,0.0018,0.0,83.14,9.44,87.83999999999999,2.5,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.1465,0.0005,0.0095,0.0,80.28999999999999,11.709999999999999,88.53,2.71,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0191,0.0008,0.0033,0.0001,83.14,9.44,87.83999999999999,2.5,XGB,2,2,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0924,0.0025,0.0024,0.0,80.28999999999999,11.709999999999999,88.53,2.71,MLP,2,2,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0021,0.0,0.0018,0.0,83.14,9.44,87.83999999999999,2.5,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.002,0.0001,0.0037,0.0001,90.10000000000001,8.19,92.35,1.59,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0023,0.0001,0.0018,0.0,87.42999999999999,9.0,93.4,1.91,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.1471,0.0004,0.0095,0.0,91.62,6.04,95.14,1.4500000000000002,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0184,0.0008,0.0034,0.0001,90.29,6.3,94.45,1.8800000000000001,XGB,3,3,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0964,0.0004,0.0024,0.0,88.75999999999999,6.550000000000001,94.1,1.52,MLP,3,3,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
0.0021,0.0,0.0018,0.0,88.75999999999999,8.07,93.06,1.7399999999999998,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:06.595332,0:03:08.152513,leukemia
