fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0046,0.0001,41.39,1.96,57.32000000000001,1.21,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0028,0.0001,0.0019,0.0001,46.0,4.33,46.839999999999996,0.89,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1512,0.0005,0.0101,0.0,35.66,7.6499999999999995,99.14,0.6,RandomForest,2,2,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1057,0.0013,0.0042,0.0,36.809999999999995,4.02,98.99,0.8200000000000001,XGB,2,2,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1425,0.0005,0.0024,0.0,45.43,2.93,50.29,1.9800000000000002,MLP,2,2,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0025,0.0,0.0019,0.0,43.09,2.6,50.44,1.94,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0021,0.0001,0.0045,0.0002,51.23,7.9,59.919999999999995,1.8800000000000001,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0028,0.0001,0.0018,0.0,52.959999999999994,8.55,56.47,2.01,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1499,0.0006,0.01,0.0001,52.370000000000005,7.290000000000001,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1014,0.0015,0.0042,0.0001,50.1,10.22,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1476,0.0001,0.0024,0.0,56.42,10.65,59.34,2.68,MLP,3,3,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0026,0.0,0.002,0.0,48.89,5.800000000000001,59.199999999999996,2.58,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0022,0.0001,0.0045,0.0001,52.89,3.53,66.67,1.71,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.003,0.0,0.0018,0.0,50.59,7.26,60.78,1.41,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1564,0.0004,0.0098,0.0004,56.34,3.4799999999999995,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0995,0.0013,0.0043,0.0001,52.339999999999996,6.58,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1503,0.0003,0.0024,0.0,55.71,3.7800000000000002,68.39,1.29,MLP,4,4,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0025,0.0,0.002,0.0,56.86,10.9,68.82000000000001,1.6199999999999999,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0021,0.0001,0.0045,0.0001,52.300000000000004,3.73,67.53,2.17,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0031,0.0,0.0018,0.0,59.18,7.51,65.23,2.41,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1544,0.0005,0.0099,0.0001,58.64,7.32,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0997,0.0023,0.0045,0.0001,56.92,8.870000000000001,100.0,0.0,XGB,5,5,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1516,0.0003,0.0024,0.0,60.34,3.2300000000000004,73.13,1.44,MLP,5,5,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0025,0.0001,0.002,0.0,37.36,7.02,46.69,5.609999999999999,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0021,0.0001,0.0045,0.0001,59.230000000000004,6.9,70.83,3.18,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0031,0.0,0.0018,0.0,64.42,7.21,72.41,3.16,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1559,0.0001,0.0098,0.0001,64.97,4.859999999999999,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1016,0.0021,0.0046,0.0001,65.56,9.950000000000001,100.0,0.0,XGB,6,6,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1528,0.0002,0.0024,0.0001,64.39,2.9899999999999998,79.60000000000001,2.1,MLP,6,6,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0026,0.0001,0.002,0.0,56.97,10.01,74.42,2.58,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0022,0.0001,0.0046,0.0001,48.25,4.37,65.09,1.82,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0036,0.0001,0.0019,0.0001,55.75,7.6899999999999995,65.52,2.74,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.155,0.0004,0.01,0.0001,52.300000000000004,6.2,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1046,0.002,0.0048,0.0001,53.459999999999994,8.790000000000001,100.0,0.0,XGB,7,7,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.1521,0.0004,0.0025,0.0001,57.50999999999999,9.139999999999999,73.86,1.9900000000000002,MLP,7,7,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0025,0.0,0.002,0.0,50.0,2.4699999999999998,57.76,1.04,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0022,0.0001,0.0045,0.0001,55.230000000000004,6.819999999999999,68.25,3.8,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
0.0036,0.0001,0.0018,0.0,59.8,5.09,75.29,2.52,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:05:46.262716,0:05:48.024909,Carcinom
