fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0043,0.0001,50.32,9.07,66.96,2.37,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0024,0.0001,0.0017,0.0,40.339999999999996,5.08,49.41,1.59,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.1466,0.0003,0.0088,0.0,45.04,8.01,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0581,0.0013,0.0035,0.0001,46.22,5.43,100.0,0.0,XGB,2,2,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.1261,0.0003,0.0023,0.0,43.9,8.77,57.02,3.06,MLP,2,2,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0021,0.0001,0.0018,0.0,46.27,10.76,53.949999999999996,2.12,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.002,0.0001,0.0043,0.0001,51.449999999999996,15.129999999999999,64.03,3.74,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0024,0.0001,0.0017,0.0,44.97,9.92,52.92,2.85,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.1471,0.0007,0.0088,0.0,50.91,6.0,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0615,0.0015,0.0037,0.0002,49.08,11.33,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.1313,0.0004,0.0023,0.0,43.24,7.33,59.79,3.3000000000000003,MLP,3,3,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0021,0.0,0.0018,0.0,49.68,12.13,59.07,2.8899999999999997,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.002,0.0001,0.0043,0.0001,39.75,9.99,59.209999999999994,3.44,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0025,0.0001,0.0017,0.0,38.03,7.32,53.800000000000004,2.19,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.153,0.0003,0.0087,0.0,45.660000000000004,6.78,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0639,0.001,0.0039,0.0001,42.71,7.180000000000001,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.1336,0.0004,0.0023,0.0,40.92,8.48,63.01,0.86,MLP,4,4,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0021,0.0,0.0018,0.0,43.28,14.469999999999999,59.07,4.06,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
0.0021,0.0001,0.0044,0.0001,44.440000000000005,8.09,66.38,3.6799999999999997,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:05:09.610754,0:05:11.276412,TOX_171
