fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0042,0.0001,81.17999999999999,8.72,85.59,1.92,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.0019,0.0,82.35,9.3,83.53,3.19,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1519,0.0003,0.0097,0.0001,83.53,6.4399999999999995,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0219,0.0004,0.0039,0.0001,84.71,3.2199999999999998,99.11999999999999,1.32,XGB,2,2,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1023,0.0007,0.0025,0.0,83.53,8.72,84.11999999999999,1.6099999999999999,MLP,2,2,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0,0.0019,0.0,72.94,6.710000000000001,75.0,3.1199999999999997,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0001,0.0041,0.0001,82.35,10.190000000000001,85.88,1.32,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0025,0.0,0.0019,0.0,82.35,10.190000000000001,85.28999999999999,2.75,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1526,0.0002,0.0097,0.0001,88.24,7.199999999999999,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.022,0.0005,0.0041,0.0001,88.24,8.32,99.11999999999999,0.8099999999999999,XGB,3,3,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1047,0.0004,0.0025,0.0,82.35,8.32,85.59,2.18,MLP,3,3,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0,0.0019,0.0,80.0,10.69,82.06,2.83,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0001,0.0042,0.0001,83.53,2.63,86.18,1.68,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0025,0.0001,0.0019,0.0001,82.35,7.199999999999999,83.82,2.33,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1533,0.0007,0.0097,0.0,87.06,4.92,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0219,0.0002,0.0042,0.0001,83.53,7.670000000000001,100.0,0.0,XGB,4,4,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.107,0.0003,0.0025,0.0,85.88,6.710000000000001,88.24,1.04,MLP,4,4,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0001,0.0019,0.0,75.29,12.75,77.35,3.2199999999999998,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0001,0.004,0.0001,74.11999999999999,9.84,83.24000000000001,4.4799999999999995,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0,0.0018,0.0,81.17999999999999,16.32,85.59,2.42,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1532,0.0003,0.0097,0.0,88.24,7.199999999999999,100.0,0.0,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0227,0.0004,0.0043,0.0002,84.71,5.26,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1075,0.0004,0.0024,0.0001,83.53,10.52,87.35000000000001,2.23,MLP,5,5,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0022,0.0,0.0019,0.0,69.41000000000001,8.72,70.59,3.75,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0021,0.0001,0.004,0.0001,84.71,8.92,86.47,1.92,KNeighbors,6,6,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0,0.0018,0.0,82.35,5.88,88.53,1.6099999999999999,LinearSVC,6,6,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1526,0.0004,0.0096,0.0001,87.06,4.92,100.0,0.0,RandomForest,6,6,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0231,0.0004,0.0043,0.0002,84.71,3.2199999999999998,100.0,0.0,XGB,6,6,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1078,0.0005,0.0025,0.0,87.06,7.670000000000001,92.35,0.66,MLP,6,6,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0021,0.0,0.0019,0.0,76.47,5.88,82.35,2.75,GaussianNB,6,6,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0021,0.0001,0.0039,0.0001,80.0,10.69,88.82,2.23,KNeighbors,7,7,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0,0.0018,0.0,80.0,3.2199999999999998,87.35000000000001,4.109999999999999,LinearSVC,7,7,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1528,0.0003,0.0095,0.0,85.88,8.92,100.0,0.0,RandomForest,7,7,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0232,0.0011,0.0043,0.0001,83.53,10.52,99.71,0.66,XGB,7,7,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1096,0.0006,0.0027,0.0002,83.53,9.67,92.94,2.83,MLP,7,7,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0023,0.0,0.0019,0.0,77.64999999999999,4.92,81.17999999999999,3.66,GaussianNB,7,7,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.0044,0.0001,82.35,4.16,88.24,2.33,KNeighbors,8,8,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0026,0.0,0.002,0.0001,87.06,9.67,89.41,1.92,LinearSVC,8,8,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1553,0.0003,0.0099,0.0001,89.41,4.92,100.0,0.0,RandomForest,8,8,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0248,0.0012,0.0054,0.0001,85.88,9.84,100.0,0.0,XGB,8,8,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.111,0.0002,0.0026,0.0,83.53,4.92,94.41000000000001,1.23,MLP,8,8,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.002,0.0,82.35,9.3,84.11999999999999,1.92,GaussianNB,8,8,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.0044,0.0001,87.06,7.670000000000001,92.65,2.08,KNeighbors,9,9,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0026,0.0001,0.002,0.0,81.17999999999999,14.04,93.53,0.8099999999999999,LinearSVC,9,9,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1561,0.0005,0.0099,0.0001,91.75999999999999,6.710000000000001,100.0,0.0,RandomForest,9,9,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0254,0.0011,0.0055,0.0001,92.94,7.670000000000001,99.71,0.66,XGB,9,9,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1111,0.0003,0.0026,0.0,84.71,3.2199999999999998,96.47,0.8099999999999999,MLP,9,9,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0023,0.0001,0.002,0.0001,78.82000000000001,5.26,88.82,0.8099999999999999,GaussianNB,9,9,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.0044,0.0001,88.24,0.0,90.59,1.68,KNeighbors,10,10,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0026,0.0,0.002,0.0,83.53,4.92,93.53,3.05,LinearSVC,10,10,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1561,0.0002,0.0099,0.0001,92.94,7.670000000000001,100.0,0.0,RandomForest,10,10,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0267,0.0006,0.0059,0.0001,92.94,6.4399999999999995,100.0,0.0,XGB,10,10,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1117,0.0004,0.0026,0.0001,88.24,4.16,96.76,1.6099999999999999,MLP,10,10,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.002,0.0,82.35,5.88,85.28999999999999,2.08,GaussianNB,10,10,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.0045,0.0001,84.71,5.26,89.71000000000001,2.75,KNeighbors,11,11,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0026,0.0,0.002,0.0,89.41,4.92,93.82000000000001,3.35,LinearSVC,11,11,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1554,0.0006,0.0098,0.0,87.06,8.72,100.0,0.0,RandomForest,11,11,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0269,0.001,0.006,0.0001,84.71,6.710000000000001,100.0,0.0,XGB,11,11,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.1121,0.0004,0.0026,0.0001,91.75999999999999,3.2199999999999998,97.65,1.32,MLP,11,11,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0023,0.0001,0.002,0.0,78.82000000000001,8.92,80.88,1.7999999999999998,GaussianNB,11,11,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0024,0.0001,0.0044,0.0001,83.53,4.92,88.24,2.94,KNeighbors,12,12,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
0.0027,0.0,0.002,0.0,84.71,6.710000000000001,90.59,2.23,LinearSVC,12,12,KGroups_max,mutual_info,False,0:03:35.232637,0:03:37.016994,GLI_85
