fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.0041,0.0001,58.08,10.07,70.56,3.4799999999999995,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.0025,0.0,0.0019,0.0,67.95,12.04,70.56,4.21,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.1488,0.0002,0.0098,0.0,51.92,13.350000000000001,72.59,2.9499999999999997,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.0221,0.0002,0.0041,0.0001,62.949999999999996,10.6,72.59,2.9499999999999997,XGB,2,2,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.092,0.0048,0.0026,0.0,64.62,8.5,72.19,2.4699999999999998,MLP,2,2,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.0022,0.0,0.0019,0.0,67.95,12.04,70.56,4.21,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.0023,0.0001,0.0041,0.0001,73.08,16.24,79.86999999999999,4.09,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.0025,0.0,0.0019,0.0,69.49,15.2,72.58,3.0300000000000002,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.1504,0.0004,0.0096,0.0006,77.82,12.16,82.69,2.88,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
0.0237,0.0003,0.0042,0.0001,71.41,15.329999999999998,82.28,2.46,XGB,3,3,KGroups_max,mutual_info,False,0:03:18.786313,0:03:20.437657,colon
