dataset_name,test_score,test_accuracy,test_accuracy_std
ALLAML,95.91,87.88,7.306599756384637
CLL_SUB_111,73.82,65.39333333333333,6.3839037169013375
Carcinom,95.47,85.12833333333333,7.271914236751329
GLIOMA,78.0,62.66833333333333,16.539810659940052
GLI_85,84.61999999999999,77.62666666666667,8.390918106301992
Prostate_GE,89.68,81.34333333333333,11.156301657210006
SMK_CAN_187,70.17999999999999,67.515,2.567440359579942
TOX_171,91.15,78.94,7.46399088959787
colon,84.74000000000001,77.10666666666667,6.143681849401603
leukemia,97.73,87.87833333333333,6.981313391237114
lung,94.1,84.01833333333333,15.746367729310355
lung_discrete,89.55,77.57666666666667,15.605531925143298
lymphoma,91.38,75.05833333333334,19.378225322940867
nci9,52.22,43.333333333333336,8.804811563382074
