dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24,97.24,100.0,94.48,98.57,97.24,98.57,98.57,98.57,98.57,98.57,98.57,100.0,98.57,98.57,98.57,98.57,98.57,98.57,98.57,95.81,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,100.0,98.57,97.24,98.57,98.57,98.67
BASEHOCK,95.58,95.58,93.23,72.81,91.22,84.95,92.17,90.82,92.12,92.22,92.57,93.63,92.82,92.87,92.72,92.22,91.92,92.12,92.88,92.32,77.82,93.13,91.27,93.98,93.18,93.78,93.68,93.88,93.73,93.43,93.88,93.43,93.43,93.58,93.53,93.33,93.48
CLL_SUB_111,63.16,63.16,81.98,53.239999999999995,61.19,60.4,65.77,64.86,64.9,68.42,73.99,71.23,72.92,66.60000000000001,67.47,67.63,70.32000000000001,65.85,70.28,70.24000000000001,49.6,79.29,80.2,80.24,79.29,78.38000000000001,78.38000000000001,76.55999999999999,77.42999999999999,75.57000000000001,77.39,75.69,73.91,73.83,75.69,74.78,80.08
COIL20,82.36,82.36,83.96000000000001,18.19,74.31,53.68000000000001,81.81,75.07000000000001,83.75,82.43,84.03,84.78999999999999,86.39,85.69,88.4,86.11,85.0,85.49,85.69,85.76,20.97,67.92,60.56,74.31,67.78,75.83,76.39,77.08,77.71000000000001,79.51,79.93,80.0,79.36999999999999,79.79,80.69,79.86,80.49
Carcinom,91.38,91.38,94.2,29.9,32.2,29.9,35.65,32.2,37.34,35.65,49.45,56.28999999999999,66.66,64.35,68.96,69.55,74.1,78.74,75.83,77.55,35.68,35.68,35.68,39.14,35.68,40.84,40.84,48.91,51.16,75.33,62.129999999999995,79.29,75.33,79.33,79.29,79.31,79.33
GLIOMA,76.0,76.0,78.0,54.0,80.0,74.0,82.0,82.0,86.0,84.0,82.0,88.0,84.0,92.0,86.0,82.0,86.0,86.0,80.0,86.0,54.0,82.0,80.0,80.0,80.0,80.0,80.0,80.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
GLI_85,94.12,94.12,97.65,94.12,96.47,94.12,95.29,96.47,97.65,95.29,97.65,97.65,96.47,98.82,95.29,97.65,96.47,96.47,98.82,95.29,92.94,96.47,95.29,95.29,94.12,95.29,95.29,95.29,95.29,95.29,95.29,95.29,95.29,95.29,95.29,96.47,95.29
Isolet,77.82,77.82,83.65,17.5,72.24000000000001,62.370000000000005,78.85,74.1,80.45,81.92,82.05,82.88,83.97,82.44,83.39999999999999,83.72,85.71,82.88,83.27,82.88,28.59,72.44,58.720000000000006,78.85,73.97,80.45,78.78,82.88,82.24000000000001,83.91,83.59,83.27,83.59,83.08,84.1,84.36,83.72
ORL,91.75,91.75,94.0,48.75,87.5,80.0,90.5,90.0,91.25,91.5,91.25,92.0,92.0,91.25,91.75,91.75,91.0,92.25,90.25,91.5,49.0,78.25,72.5,83.0,79.25,85.0,82.5,83.75,84.75,82.25,82.5,81.0,80.75,80.5,78.75,79.25,79.25
PCMAC,90.33,90.33,92.02,68.5,85.02,77.3,86.26,84.1,86.82,85.28,86.0,86.26,86.82,86.77,87.08,86.46000000000001,87.19,87.33999999999999,87.03,87.19,77.66,85.9,85.28,86.82,86.26,87.39,87.08,87.49,88.06,88.42,88.37,88.78,88.47,88.63,88.83,88.32,88.11
