dataset_name,KBest-gini,mRMR-gini,KGroups-gini,KBest-mutual_info,mRMR-mutual_info,KGroups-mutual_info,KBest-Fvalue,mRMR-Fvalue,KGroups-Fvalue
ALLAML,187,5980,184,194,52762,191,178,5899,186
CLL_SUB_111,277,9651,235,274,95570,252,246,9476,233
Carcinom,177,8358,310,132,96452,339,121,8051,255
GLIOMA,189,3775,200,208,31071,206,195,3711,193
GLI_85,241,18746,198,239,169047,210,192,18348,206
Prostate_GE,207,5163,199,211,49031,206,197,5073,200
SMK_CAN_187,381,17481,258,310,206086,279,262,17099,275
TOX_171,153,5195,280,191,31381,310,161,4988,288
colon,176,1871,182,187,14704,192,185,1803,188
leukemia,173,5977,179,185,57882,183,169,5883,178
lung,326,3308,277,309,37118,313,292,3111,271
lung_discrete,193,617,212,207,2685,220,206,540,216
lymphoma,223,3539,234,253,33639,244,228,3452,238
nci9,219,7911,219,276,79660,239,210,7861,185
